x,y,z
1290.6611,843.0934,1746.9129
1291.0743,844.0041,1746.9500
1291.7823,845.8730,1747.0243
1292.1155,846.8159,1747.0614
1292.7820,848.7016,1747.1357
1293.1152,849.6444,1747.1728
1293.7817,851.5301,1747.2471
1294.1149,852.4729,1747.2842
1294.6666,854.3937,1747.3585
1294.9175,855.3617,1747.3956
1295.4191,857.2978,1747.4698
1296.1715,860.2019,1747.5812
1296.8141,863.1295,1747.6926
1296.9807,864.1155,1747.7298
1297.3137,866.0876,1747.8040
1297.4803,867.0736,1747.8411
1297.8133,869.0457,1747.9154
1297.9799,870.0317,1747.9525
1298.2091,872.0168,1748.0268
1298.2901,873.0135,1748.0639
1298.4521,875.0069,1748.1382
1298.5331,876.0036,1748.1753
1298.6952,877.9970,1748.2496
1298.7762,878.9937,1748.2867
1298.8413,880.9909,1748.3610
1298.8362,881.9908,1748.3981
1298.8260,883.9908,1748.4724
1298.8209,884.9908,1748.5095
1298.8106,886.9908,1748.5838
1298.8055,887.9908,1748.6209
1298.6149,890.9823,1748.7323
1298.4325,892.9739,1748.8065
1298.3413,893.9698,1748.8437
1298.1590,895.9614,1748.9179
1298.0678,896.9573,1748.9551
1297.8044,898.9380,1749.0293
1297.6278,899.9223,1749.0664
1297.2746,901.8908,1749.1407
1297.0980,902.8751,1749.1778
1296.7449,904.8437,1749.2521
1296.5683,905.8280,1749.2892
1296.3917,906.8123,1749.3264
1296.1428,907.7803,1749.3635
1295.8821,908.7458,1749.4006
1295.6215,909.7112,1749.4377
1295.3608,910.6766,1749.4749
1295.1001,911.6420,1749.5120
1294.8394,912.6075,1749.5491
1294.5787,913.5729,1749.5863
1294.3180,914.5383,1749.6234
1294.0573,915.5037,1749.6605
1293.7333,916.4491,1749.6977
1293.3905,917.3885,1749.7348
1293.0477,918.3279,1749.7719
1292.7048,919.2673,1749.8090
1292.3620,920.2067,1749.8462
1292.0191,921.1461,1749.8833
1291.6763,922.0855,1749.9204
1291.3335,923.0248,1749.9576
1290.9906,923.9642,1749.9947
1290.5935,924.8811,1750.0318
1290.1710,925.7875,1750.0690
1289.7486,926.6939,1750.1061
1289.3261,927.6003,1750.1432
1288.9037,928.5067,1750.1803
1288.4812,929.4131,1750.2175
1287.6363,931.2258,1750.2917
1287.2139,932.1322,1750.3289
1286.7461,933.0150,1750.3660
1286.2471,933.8817,1750.4031
1285.7482,934.7483,1750.4403
1284.7504,936.4816,1750.5145
1284.2514,937.3483,1750.5516
1283.7525,938.2149,1750.5888
1283.2536,939.0815,1750.6259
1282.2190,940.7915,1750.7002
1281.2146,942.2331,1750.7654
1280.6429,943.0536,1750.8025
1280.0712,943.8740,1750.8397
1279.4995,944.6945,1750.8768
1278.9278,945.5150,1750.9139
1278.3561,946.3354,1750.9510
1276.5607,948.7356,1751.0624
1275.9205,949.5038,1751.0996
1275.2803,950.2719,1751.1367
1274.6400,951.0401,1751.1738
1273.9998,951.8083,1751.2110
1273.3596,952.5765,1751.2481
1272.7194,953.3447,1751.2852
1272.0792,954.1129,1751.3223
1271.4336,954.8763,1751.3595
1270.7297,955.5865,1751.3966
1270.0257,956.2967,1751.4337
