zid x y z sxx syy szz sxy sxz syz
61 1257.69 880.88 1787.93 -188278 -231577 -320374 -27192.3 -54374.5 20579.4
117 1292.01 767.1 1836.27 -124343 -118520 -286347 2693.64 -23945.1 12401.4
150 1270.73 919.186 1788.88 -154692 -181378 -223315 -16978.9 -45143 6611.34
185 1245 889.191 1777.21 -265972 -263481 -393157 -38977.5 -69006.4 17319
221 1292.51 854.216 1807.43 -242899 -233078 -381282 -30939.7 -49705.7 19094
260 1204.42 753.032 1804 -154970 -26870.8 -84358.1 -23375.6 -51897.2 10369.7
287 1180.19 824.895 1774.77 -218449 -140536 -267785 -59854.8 -22986.7 14092.2
322 1332.66 883.04 1828.93 -101214 -107304 -194370 -8088.09 -31945.5 13054.6
365 1222.61 884.989 1772.54 -200140 -188935 -289161 -31526.6 -70043.2 30409.6
396 1357.16 854.928 1850.55 6918.41 -24579 -107040 -16213.5 -9723.43 3230.7
447 1214.35 888.604 1773.11 -129114 -111270 -169814 -50090.9 -62615 27307.2
477 1282.64 864.99 1805.45 -155508 -178112 -265559 -21612.3 -42889 18426.3
541 1380.93 822.25 1862.84 -5334.74 -30735.3 -112103 -9430.91 -11455.4 4756.89
583 1287.62 769.97 1834.24 -143044 -117869 -281285 10157.4 -33031.2 15170.6
629 1373.79 786.206 1859.15 -84647 -108022 -229464 -23994.2 -24152.2 16745.1
675 1191.88 837.219 1766.81 -316389 -244690 -459293 -69195.5 -65406.8 52837.5
712 1222.47 876.518 1771.42 -190027 -224259 -338722 -37036.9 -57899.1 33423.4
774 1318.29 796.213 1833.14 -142496 -204950 -380056 -32079.5 -63028.5 45445.4
817 1175.29 899.958 1761.34 -120209 -96635.8 -100071 -70815 -14085.9 27411
865 1167.27 973.95 1739.24 -189478 -162560 -189602 -85997.7 -24486.4 20796.9
913 1225.55 892.446 1772.09 -194575 -196741 -277922 -44673.5 -63620.4 24125.9
947 1248.91 883.289 1794.71 -71239.9 -58577.2 -87900.4 -28756.2 -34629.1 9656.7
993 1312.34 839.61 1826.31 -110915 -137376 -236886 -29288.9 -39113.2 16910.2
1025 1279.34 894.578 1801.57 -97845.8 -133545 -150088 -26815 -39449.6 10046.9
1061 1161.96 1004.15 1730.26 -168270 -157005 -231501 -41295.2 -45688.7 1553.19
1101 1311.43 833.783 1826.97 -114357 -122798 -239321 -31253.7 -41676.4 17474.1
1139 1333.45 823.824 1833.86 -176371 -188608 -327304 -26101.8 -37261.3 17377.1
1192 1156.7 944.423 1747.66 -112201 -126880 -103970 -88602.3 -9708.81 25775
1243 1212.19 809.371 1777.9 -271333 -252073 -483166 -70254.1 -67188.7 37673.5
1296 1315.71 846.965 1826.31 -120970 -131427 -238004 -29590.3 -40664.7 16923.1
