x z szz sxx pp
1176.32 1753.03 -256352 -225727 0
1258.56 1791.89 -276867 -156866 0
1157.33 1755.77 -265514 -207871 0
1257.69 1787.93 -320374 -188278 0
896.673 1685.44 -818448 -603759 0
1264.52 1792.97 -266597 -173621 0
1176.68 1746.19 -449112 -321485 0
865.351 1672.71 -538242 -467961 0
1258.05 1783.13 -461896 -289381 0
1172.59 1756.65 -189817 -180488 0
1118.09 1715.21 -905997 -618973 0
1114.74 1711.64 -924302 -621531 0
1061.38 1703.04 -1.08408e+06 -734489 0
1215.07 1762.08 -484779 -286872 0
1159.84 1739.95 -559328 -381935 0
1270.73 1788.88 -223315 -154692 0
1276.87 1790.72 -244082 -182332 0
625.768 1690.34 -556984 -453280 0
1270.89 1790.83 -175740 -127909 0
1332.84 1832.15 -72229.9 -32020.7 0
1245 1777.21 -393157 -265972 0
1259.94 1789.48 -287200 -213349 0
1279.23 1799.22 -272044 -191745 0
1270.15 1790.11 -393421 -275866 0
1211.99 1763.79 -346717 -220975 0
1212.68 1759.38 -477452 -300043 0
1124.16 1718.31 -899306 -615545 0
1132.62 1720.97 -904037 -620379 0
1164.08 1742.47 -538916 -367199 0
890.711 1689.77 -708285 -533004 0
1215.12 1770.74 -305152 -212191 0
1159.74 1757.57 -273981 -222684 0
1283.66 1801.95 -248544 -149791 0
1211.32 1762.72 -422972 -260763 0
928.146 1676.46 -875329 -643253 0
1181.64 1747.49 -446727 -324951 0
1157.26 1734.97 -681423 -471304 0
1299.06 1809.98 -85972.8 -51214.6 0
1245.85 1782.92 -264922 -173320 0
1181.28 1754.34 -251383 -218869 0
1333.85 1823.05 -320043 -187659 0
830.91 1678.52 -461782 -416311 0
885.36 1686.86 -769843 -580373 0
1217.13 1760.08 -286840 -230046 0
1332.66 1828.93 -194370 -101214 0
1200.54 1758.39 -164392 -170214 0
1210.82 1768.03 -279317 -173546 0
1210.72 1769.26 -214742 -129231 0
1222.61 1772.54 -289161 -200140 0
1276.58 1796.58 -99353.1 -74903.9 0
1261.83 1784.15 -381598 -280924 0
1263.1 1786.61 -392974 -278466 0
1282.7 1798.61 -268311 -180077 0
1204.97 1755.23 -277050 -211343 0
1287.94 1804.7 -276587 -191727 0
1234.15 1771.15 -391289 -264032 0
1149.4 1751.94 -181698 -148289 0
1298.27 1808.03 -268201 -185006 0
1263.92 1797.24 -146428 -82332.5 0
1225.3 1769.28 -403580 -269259 0
1330.33 1818.12 -384465 -250463 0
1269.55 1794.38 -265176 -158365 0
1077.34 1703.39 -1.02782e+06 -697071 0
1214.35 1773.11 -169814 -129114 0
1212.36 1762.16 -185302 -163086 0
1252.27 1790.26 -200187 -106650 0
1304.05 1813.67 -142337 -88974.8 0
1218.36 1768.97 -271532 -198986 0
1319.01 1822.85 -87239.8 -41047.9 0
1253.03 1785.96 -264948 -162666 0
703.451 1678.85 -576807 -497215 0
1274.74 1795.68 -261194 -179978 0
1113.89 1717.75 -859329 -573987 0
1216.18 1765.71 -181293 -167942 0
1273.29 1801.17 -195882 -100914 0
1024.03 1696.16 -1.06608e+06 -744893 0
1127.87 1723.62 -805131 -533437 0
1158.8 1731.65 -724409 -502178 0
1330.4 1831.58 -69992.1 -17405.4 0
1205.15 1772.15 -110008 -157839 0
1281.16 1805.33 -144569 -87245.5 0
1156.14 1731.84 -671729 -467397 0
1294.06 1805.11 -254756 -163761 0
