x y z state theta
1299.99 867.761 1747.67 1 3.177
1301.25 884.53 1746.04 1 341.074
1293.69 907.921 1749.21 1 152.67
1293.67 907.95 1749.18 1 153.198
1299.64 902.911 1745.74 1 326.321
1301.24 887.336 1745.68 1 336.773
1293.28 909.397 1747.46 1 180.651
1301.07 890.952 1745.81 1 337.405
1296.32 891.569 1748.43 1 126.162
1296.94 906.754 1750.92 1 91.0306
1300.83 873.889 1745.83 1 336.425
1294.43 904.504 1749.11 1 148.044
1294.08 907.021 1745.77 1 210.679
1294.12 907.023 1745.77 1 211.068
1293.68 860.044 1745.85 1 206.381
1301.19 887.296 1747.49 1 359.905
1301.19 887.826 1746.03 1 340.705
1300.23 870.492 1745.48 1 327.966
1300.23 870.517 1745.44 1 327.418
1300.23 870.478 1745.45 1 327.537
1296.62 909.935 1750.9 1 96.3205
1301.28 883.005 1746.85 1 351.307
1301.24 883.017 1746.79 1 350.46
1300.99 876.435 1746.02 1 339.624
1300.17 868.495 1745.37 1 326.179
1300.21 868.529 1745.4 1 326.768
1298.79 860.869 1747.05 1 346.013
1299.63 864.939 1746.21 1 333.956
1299.83 867.831 1746.59 1 342.077
1299.77 865.755 1746.34 1 337.323
1300.28 870.748 1748.17 1 11.5964
1301.26 883.125 1745.54 1 335.319
1300.49 894.967 1748.29 1 12.7386
1300.29 869.263 1746.11 1 337.023
1299.52 864.544 1746.67 1 341.828
1300.27 869.415 1746.7 1 346.29
1301.14 879.153 1747.24 1 356.401
1301.05 890.53 1747.66 1 2.24214
1293.17 909.774 1747.47 1 180.477
1301.23 881.668 1746.65 1 348.664
1301.26 881.702 1746.66 1 348.879
1300.36 869.91 1745.74 1 332.36
1298.97 905.296 1745.75 1 318.36
1299.6 864.956 1746.24 1 334.204
1301.12 877.905 1745.36 1 332.503
1301.07 877.916 1745.35 1 332.108
1301.12 877.98 1745.34 1 332.369
1293.85 906.976 1746.81 1 192.428
1299.64 902.886 1745.77 1 326.782
1301.24 882.967 1747.02 1 353.609
