x z r
1299.83 1749.89 3.70012
1300.18 1749.56 3.78678
1301.29 1746.05 4.52706
1301.11 1747.57 4.11371
1300.2 1749.69 3.87648
1299.37 1749.93 3.39922
1300.92 1748.65 4.08347
1296.71 1744.97 2.54348
1296.55 1745.89 1.67263
1301.27 1747.17 4.28084
1297.9 1749.93 2.59585
1299.38 1750.05 3.49168
1296.95 1748.86 1.36579
1301 1747.53 4.00248
1296.55 1746.73 0.886326
1296.59 1747.92 0.587221
1296.51 1748.27 0.915309
1298.94 1749.99 3.15435
1296.6 1748.73 1.29076
1297.14 1749.49 1.99599
1296.69 1746.06 1.4724
1296.92 1748.94 1.43754
1301.1 1745.49 4.56798
1297.32 1749.6 2.12525
1301.29 1746.24 4.46941
1299.44 1750.08 3.54932
1301.01 1748.86 4.23284
1300.31 1749.37 3.79836
1296.62 1746.55 1.01997
1300.89 1749.06 4.18889
1299.47 1749.96 3.4802
1296.62 1748.03 0.650842
1300.88 1745.16 4.52767
1301.02 1746.72 4.10008
1296.44 1748.15 0.854043
1296.4 1747.15 0.696764
1297.35 1749.6 2.12937
1300.21 1749.45 3.76073
1301.13 1748.56 4.26149
1297.34 1749.38 1.90823
1297.62 1749.74 2.32817
1301.3 1745.1 4.92918
1301.15 1748.23 4.2128
1301.06 1748.58 4.20544
1301.29 1745.93 4.57135
1296.85 1745.17 2.331
1298.8 1750.18 3.22528
1300.49 1749.56 4.05265
1296.58 1746.37 1.2022
1296.44 1748.23 0.922783
1299.85 1749.83 3.68144
1299.15 1750.08 3.35363
1301.06 1746.71 4.13994
1300.87 1745.13 4.54095
1301.09 1748.46 4.20184
1301.03 1746.56 4.13908
1301.14 1746.85 4.19071
1296.57 1744.91 2.62528
1301.18 1747.67 4.1833
1296.67 1747.85 0.482328
1296.48 1746.08 1.51025
1301.06 1746.46 4.19016
1297.7 1749.61 2.2267
1297.37 1749.73 2.25769
1296.59 1746.85 0.767239
1296.44 1747.77 0.617319
1296.46 1745.77 1.81328
1301.15 1745.66 4.53571
1301.11 1745.36 4.63347
1297.72 1749.79 2.40089
1301.08 1748.31 4.16122
1296.68 1746.28 1.26265
1297.81 1749.7 2.34
1301.26 1747.64 4.26658
1299.1 1750.14 3.37041
1299.41 1749.84 3.36443
1297.84 1749.71 2.3639
1301.28 1746.65 4.36146
1296.43 1745.08 2.48361
1296.48 1746.24 1.365
1300.94 1748.84 4.16461
1297.85 1749.83 2.47976
1301.01 1746.68 4.09496
1296.5 1746.28 1.31921
1296.67 1748.48 1.03909
1296.67 1746.71 0.853997
1296.51 1748.46 1.07954
1296.69 1745.86 1.67222
1296.47 1747.73 0.577844
1296.45 1745.17 2.39226
1300.79 1749.11 4.11597
