x y z state
1296.32 877.389 1745.83 1
1296.32 877.454 1745.83 1
1296.3 877.401 1745.86 1
1301.03 888.399 1748.23 1
1301.02 888.388 1748.26 1
1296.4 877.372 1745.72 1
1296.37 877.413 1745.73 1
1296.36 877.715 1745.67 1
1296.3 877.629 1745.75 1
1296.34 877.657 1745.7 1
1296.31 877.605 1745.71 1
1300.94 888.001 1747.94 1
1301.16 887.88 1747.79 1
1296.24 877.482 1745.97 1
1301 887.77 1747.84 1
1296.27 877.549 1745.9 1
1296.26 877.577 1745.93 1
1301.04 887.864 1747.65 1
1301.06 887.895 1747.63 1
1301.12 887.979 1747.57 1
1300.81 876.741 1748.02 1
1300.78 876.683 1748.03 1
1300.86 892.037 1747.76 1
1300.84 891.956 1747.75 1
1300.85 891.996 1747.71 1
1301.11 888.044 1747.53 1
1300.74 891.957 1747.8 1
1300.8 891.929 1747.78 1
1300.79 876.582 1747.96 1
1300.78 876.643 1747.96 1
1299.6 902.401 1748.5 1
1299.56 902.376 1748.46 1
1296.29 877.59 1745.81 1
1296.3 877.525 1745.86 1
1299.67 902.261 1748.55 1
1300.95 887.977 1747.63 1
1296.35 877.43 1745.88 1
1300.96 887.762 1747.87 1
1300.77 876.586 1748.01 1
1296.27 877.586 1745.84 1
1299.64 902.417 1748.4 1
1300.94 887.794 1747.62 1
1297.82 888.78 1750.11 1
1297.85 888.72 1750.13 1
1297.86 888.745 1750.16 1
1297.81 888.757 1750.14 1
1300.59 890.623 1748.94 1
1301.01 887.786 1747.71 1
1301.07 888.161 1747.72 1
1301.12 887.88 1747.82 1
1301.09 887.862 1747.8 1
1301.05 887.989 1747.94 1
1301.06 887.869 1747.72 1
1296.24 877.472 1745.75 2
1296.28 877.495 1745.78 1
1298.83 903.504 1749.8 1
1296.25 877.323 1745.64 1
1296.28 877.301 1745.67 1
1301.11 887.943 1747.62 1
1301.14 887.952 1747.66 1
1301.17 887.931 1747.62 1
1300.68 890.53 1748.95 1
1299.62 902.296 1748.44 1
1299.68 902.312 1748.45 2
1300.97 892.021 1747.69 1
1300.94 891.972 1747.71 2
1300.95 892.035 1747.66 1
1300.95 887.971 1747.82 1
1296.37 877.517 1745.68 1
1296.34 877.508 1745.62 1
1296.28 877.446 1745.55 1
1296.29 877.415 1745.96 1
1296.35 877.581 1745.69 1
1296.41 877.617 1745.68 1
1296.25 877.283 1745.94 1
1301.02 887.896 1747.65 1
1301.02 887.839 1747.63 1
1301.06 887.897 1747.92 1
1296.28 877.391 1745.56 1
1296.47 877.525 1745.89 1
1297.41 878.945 1749.5 1
1300.52 890.531 1749.02 1
1297.44 878.779 1749.5 1
1299.57 902.474 1748.44 1
1299.66 902.199 1748.53 1
1301.15 887.878 1747.86 1
1295.91 895.062 1748.57 1
1300.84 891.913 1747.72 1
1299.66 902.388 1748.44 1
1299.64 902.356 1748.42 1
1299.61 902.336 1748.44 1
1296.42 877.463 1745.56 1
1300.56 890.508 1749 1
1301.04 888.065 1747.7 1
1301.04 888.076 1747.74 1
1300.97 887.8 1747.57 1
1300.58 890.547 1748.98 1
1300.64 890.545 1748.95 1
1296.24 877.414 1745.78 2
1296.28 877.374 1745.81 1
1296.26 877.385 1745.84 1
1301.07 887.826 1747.8 1
1299.64 902.361 1748.59 1
1301.12 887.91 1747.73 1
1296.2 893.848 1748.67 1
1296.3 877.687 1745.82 1
1296.34 877.685 1745.78 1
1300.92 887.934 1747.73 1
1300.88 876.739 1747.97 1
1295.91 895.109 1748.57 1
1295.89 895.098 1748.51 1
1299.67 902.369 1748.35 1
1300.94 888.278 1748.2 1
1301.01 888.477 1748.23 1
1300.64 890.597 1749.04 1
1296.37 877.093 1745.81 1
1296.4 877.188 1745.8 1
1296.42 877.148 1745.79 1
1300.78 876.802 1748 1
1296.8 865.286 1749.43 1
1298.81 903.449 1749.78 1
1299.68 902.224 1748.51 1
1299.62 902.271 1748.53 1
1297.8 888.823 1750.13 1
1300.81 876.679 1747.83 1
1300.8 876.627 1747.87 1
1300.72 876.654 1748.06 1
1296.83 865.411 1749.43 2
1296.91 865.409 1749.43 1
1296.85 865.451 1749.43 1
1300.89 888.314 1748.28 1
1296.23 877.402 1745.75 1
1296.23 877.454 1745.79 1
1295.86 895.176 1748.65 1
1300.91 891.917 1747.73 1
1296.37 877.561 1745.78 1
1296.39 877.585 1745.8 1
1296.4 877.616 1745.75 1
1300.55 890.574 1748.97 1
1300.71 891.944 1747.83 1
1300.93 888.241 1748.11 1
1300.51 890.595 1749.07 1
1300.55 890.604 1749 1
1300.93 888.382 1748.05 1
1297.43 878.889 1749.4 1
1301.17 887.961 1747.7 1
1300.94 888.375 1748.17 1
1300.94 888.399 1748.21 1
1300.77 891.993 1747.73 1
1300.72 891.984 1747.73 1
1301.06 888.035 1747.59 1
1300.74 876.844 1747.99 1
1297.5 878.855 1749.41 1
1301.08 888.071 1747.89 1
1301.06 887.945 1747.62 1
1301.06 887.999 1747.61 1
1297.33 878.758 1749.45 1
1296.23 877.5 1745.85 1
1299.62 902.33 1748.4 1
1299.65 902.324 1748.34 1
1299.68 902.345 1748.41 1
1300.93 887.835 1747.75 1
1296.24 877.242 1746.02 1
1298.8 903.731 1749.68 1
1297.45 878.854 1749.41 1
1296.22 893.815 1748.66 1
1300.74 887.906 1749.3 1
1298.7 903.573 1749.88 1
1299.9 880.394 1749.47 1
1298.86 903.608 1749.82 1
1296.43 877.641 1745.78 1
1301 887.89 1747.86 1
1296.31 877.427 1745.57 1
1296.28 877.456 1745.59 1
1296.27 877.41 1745.61 1
1299.62 902.286 1748.4 1
1299.59 902.295 1748.38 1
1300.92 891.984 1747.75 1
1297.8 888.879 1750.11 1
1297.77 888.896 1750.14 1
1301.17 888.017 1747.65 1
1297.42 878.871 1749.56 1
1300.51 890.616 1749.11 1
1300.81 891.854 1747.76 1
1299.86 879.236 1749.43 1
1296.24 877.353 1745.87 1
1297.83 888.921 1750.12 1
1300.97 888.353 1748.16 2
1300.99 888.336 1748.13 1
1300.75 876.835 1747.93 1
1299.87 880.187 1749.47 1
1299.72 876.963 1749.43 1
1300.8 876.782 1747.88 1
1296.22 893.789 1748.71 1
1296.24 877.554 1745.95 1
1301.01 887.912 1747.55 1
1296.26 877.583 1745.63 1
1296.3 877.571 1745.65 1
1300.58 890.505 1749.08 1
1300.98 888.259 1748.26 1
1296.75 865.432 1749.39 1
1295.88 895.212 1748.66 1
1301.02 887.762 1747.81 1
1300.96 888.305 1748.18 2
1301 888.4 1748.32 1
1301 888.442 1748.31 1
1301.11 887.87 1747.89 1
1301.09 887.926 1747.83 1
1298.88 903.527 1749.71 1
1297.33 878.83 1749.37 1
1296.43 877.67 1745.74 1
1300.76 876.789 1747.87 1
1296.47 877.459 1745.93 1
1300.98 888.304 1748.29 1
1296.4 877.654 1745.75 1
1296.31 877.323 1745.94 1
1296.36 877.34 1745.91 1
1299.68 902.255 1748.4 1
1296.76 865.475 1749.4 1
1297.86 888.851 1750.12 1
1297.82 888.862 1750.14 1
1296.43 877.636 1745.7 1
1300.9 888.436 1748.3 1
1298.94 903.513 1749.7 1
1300.89 888.304 1748.36 1
1301.1 888.13 1747.79 1
1297.78 888.88 1750.17 1
1300.74 876.765 1747.84 1
1301.02 887.882 1747.82 1
1300.71 890.57 1749.12 1
1301.06 887.933 1747.71 1
1298.81 903.57 1749.8 1
1300.83 876.552 1747.94 1
1300.97 891.955 1747.68 1
1301.12 888.063 1747.73 1
1300.88 891.975 1747.84 1
1301.16 887.866 1747.7 1
1300.61 890.52 1749.13 1
1301.2 887.89 1747.71 1
1298.77 903.638 1749.82 1
1301.04 887.861 1747.93 1
1300.93 891.938 1747.69 1
1301.12 888.009 1747.71 1
1300.55 890.524 1749.14 1
1297.58 878.779 1749.41 1
1296.33 877.465 1745.62 1
1300.99 887.961 1747.65 1
1301.03 887.961 1747.69 1
1301.14 887.899 1747.89 1
1301.01 888.248 1748.25 1
1300.96 887.932 1747.61 1
1301.01 887.853 1747.96 1
1297.39 878.868 1749.5 1
1300.71 876.721 1748.1 1
1301.05 887.966 1747.78 1
1301.01 887.997 1747.61 1
1297.9 888.842 1750.16 1
1300.87 892.026 1747.68 1
1300.87 891.974 1747.65 1
1295.88 895.078 1748.6 1
1296.34 877.466 1745.9 1
1301.01 888.29 1748.18 1
1299.59 877.017 1749.45 1
1297.37 878.81 1749.48 1
1296.54 877.424 1745.81 1
1301.01 887.963 1747.76 1
1300.64 890.457 1749.03 1
1296.48 877.118 1745.62 1
1301.05 887.975 1747.72 1
1296.26 877.683 1745.67 1
1301.04 887.924 1747.95 1
1300.8 876.803 1747.92 1
1296.42 877.439 1745.59 1
1299.96 880.206 1749.45 1
1296.32 877.283 1745.76 1
1296.53 877.36 1745.8 1
1300.9 888.254 1748.19 1
1297.46 878.843 1749.36 1
1300.76 891.976 1747.65 1
1296.8 865.369 1749.43 2
1295.85 895.147 1748.6 1
1300.83 876.754 1747.84 1
1296.25 877.266 1745.78 1
1296.26 877.616 1745.81 1
1296.3 877.517 1745.82 1
1301.13 887.855 1747.68 1
1300.93 888.335 1748.3 1
1296.34 877.499 1745.58 1
1296.28 877.407 1745.9 1
1300.98 888.303 1748.35 1
1300.61 890.647 1749.01 1
1299.57 902.397 1748.41 1
1301.01 887.986 1747.87 1
1299.83 880.203 1749.5 1
1300.89 891.931 1747.7 1
1300.89 888.393 1748.38 1
1299.67 902.384 1748.4 1
1300.75 892.014 1747.64 1
1300.98 887.942 1747.83 1
1301.08 887.881 1747.83 1
1300.59 890.646 1748.97 1
1300.94 888.308 1748.35 1
1296.45 877.131 1745.58 1
1300.8 876.74 1747.91 1
1299.63 902.394 1748.48 1
1296.42 877.328 1745.71 1
1296.2 893.838 1748.63 1
1301.11 888.106 1747.82 1
1300.65 890.669 1749 1
1300.86 891.921 1747.82 1
1301.1 887.818 1747.72 1
1296.25 877.434 1745.54 1
1298.9 903.458 1749.7 1
1295.94 895.118 1748.58 1
1301.03 888.028 1747.65 1
1301.16 888.073 1747.64 1
1300.62 890.467 1748.94 1
1296.24 877.627 1745.65 1
1297.48 878.811 1749.49 1
1296.26 877.51 1745.71 1
1300.89 888.281 1748.24 1
1297.78 888.843 1750.1 1
1300.98 887.95 1747.73 1
1300.79 892.073 1747.88 1
1301.08 888.127 1747.71 1
1300.84 876.636 1747.93 1
1300.64 890.643 1748.98 1
1300.66 890.534 1749.04 1
1301.19 887.915 1747.76 1
1301.13 887.896 1747.68 1
1300.57 890.471 1748.98 1
1300.92 888.282 1748.07 1
1300.75 888.012 1749.24 1
1300.9 888.404 1748.33 1
1300.83 876.636 1747.97 1
1300.64 890.622 1748.95 1
1295.82 895.163 1748.54 1
1297.46 878.937 1749.34 1
1297.49 878.814 1749.4 1
1300.98 888.398 1748.27 1
1299.65 876.95 1749.45 1
1301.18 887.933 1747.81 1
1299.66 902.368 1748.49 1
1295.89 895.197 1748.44 1
1296.31 877.486 1746.01 1
1300.65 890.463 1749.12 1
1299.67 902.35 1748.45 1
1300.92 888.365 1748.27 1
1296.49 877.278 1745.58 1
1301.03 887.942 1747.53 1
1300.94 888.399 1748.28 1
1300.86 891.935 1747.85 1
1299.65 902.322 1748.46 1
1300.81 887.966 1749.15 1
1299.66 902.401 1748.51 1
1301.15 887.939 1747.73 1
1296.3 877.461 1745.91 1
1301.13 887.83 1747.75 1
1301.06 888.014 1747.91 1
1300.92 888.312 1748.19 1
1300.97 888.469 1748.13 1
1299.66 902.386 1748.29 1
