x y z r disp
1299.85 880.304 1749.43 0.0408763 0.0451011
1296.5 877.193 1745.96 0.0386 0.0230513
1296.52 877.335 1745.78 0.0390136 0.0555071
1296.55 877.571 1745.7 0.0390914 0.0458463
1296.54 877.47 1745.72 0.0370574 0.042217
1300.87 888.339 1748.1 0.0434168 0.0334371
1296.5 877.208 1745.65 0.0431829 0.0319042
1300.68 876.662 1747.87 0.0377794 0.0440519
1296.55 877.544 1745.58 0.0381966 0.0501735
1297.54 878.777 1749.28 0.043397 0.0673146
1296.54 877.494 1745.65 0.043199 0.0415941
1296.46 877.48 1745.77 0.0411776 0.0502168
1296.5 877.099 1745.81 0.0385507 0.024761
1300.64 876.679 1747.99 0.0401372 0.0621265
1299.89 879.296 1749.32 0.0394252 0.0848905
1296.53 877.566 1745.5 0.0418712 0.0250199
1296.58 877.619 1745.61 0.0432182 0.0783772
1298.78 903.638 1749.64 0.0435985 0.0472689
1296.36 877.507 1745.72 0.042675 0.0200412
1296.56 877.527 1745.77 0.0369655 0.0551383
1296.5 877.312 1745.86 0.0414553 0.0439141
1296.55 877.253 1745.89 0.0410906 0.0675285
1297.58 878.89 1749.2 0.0374579 0.164026
1296.57 877.728 1745.61 0.0366254 0.0616833
1300.84 888.416 1748.21 0.037897 0.0432113
1300.7 876.745 1747.96 0.0380111 0.0548005
1296.5 877.571 1745.64 0.0384295 0.0541128
1296.52 877.38 1745.91 0.0364816 0.0308155
1300.61 888.314 1748.16 0.0393602 0.283669
1296.54 877.658 1745.52 0.0378002 0.0424531
1296.45 877.4 1745.79 0.040106 0.037902
1296.59 877.25 1745.74 0.0417313 0.103568
1298.74 903.586 1749.72 0.0403441 0.0526843
1296.52 877.598 1745.79 0.0405645 0.0235189
1296.55 877.4 1745.75 0.0369753 0.0499234
1296.45 877.252 1745.83 0.0378075 0.0348658
1298.74 903.667 1749.72 0.036553 0.0254127
1296.47 877.547 1745.71 0.0372459 0.0554692
1296.48 877.275 1745.75 0.0382417 0.0551232
1299.57 877.024 1749.25 0.0408765 0.159156
1300.58 876.801 1747.85 0.0371237 0.179122
1296.54 877.457 1745.8 0.0374677 0.0617839
1299.9 880.262 1749.39 0.0366732 0.051245
1296.53 877.215 1745.82 0.0367373 0.0492523
1296.55 877.387 1745.83 0.0425634 0.061708
1296.38 893.909 1748.58 0.0380851 0.148932
