x y z dx dy dz
1296.1 873.503 1745.44 0.0032487 0.000443405 0.00147936
1296.5 888.659 1745.78 -0.00361804 -0.00269183 -0.000596106
1296.16 873.273 1745.32 0.00397976 -0.000446214 0.00110127
1296.03 872.888 1746.1 0.00420473 -0.000248493 0.00017875
1296.19 873.509 1745.33 0.00436582 0.000271906 0.000939911
1296.04 872.991 1745.68 0.00582289 -0.000406499 0.00016564
1301.07 876.723 1744.81 -0.000335283 -0.00090529 0.00188997
1296.15 874.245 1745.39 0.00207037 -0.000317854 0.000130791
1296.12 872.774 1745.53 0.0122368 0.00175343 -0.00567351
1296.06 872.978 1745.56 0.00873051 -0.00131642 -0.00129028
1295.65 868.851 1747.84 0.000991885 0.000104127 -0.00190906
1295.94 872.051 1746.14 0.00238018 -0.000191294 0.000139265
1299.32 879.309 1749.72 -0.00473531 -0.000193474 -0.00698981
1296.12 872.923 1745.95 0.00478628 -0.000381216 0.000487023
1299.02 861.702 1744.74 -0.000319268 -0.00186378 -0.00108699
1296.14 873.065 1745.6 0.00617486 -0.000535829 0.00048214
1295.99 872.888 1745.45 0.00521408 -0.000670328 5.38449e-05
1295.99 873.623 1746.06 0.00213456 -0.000318444 -0.000115462
1296.05 872.577 1745.33 0.00156442 -0.00171534 0.000267911
1300.92 886.819 1748.24 -0.00269739 -0.000184911 -0.000499646
1295.85 871.998 1745.58 0.00197168 -0.000256813 0.000379771
1295.98 873.316 1746.22 0.00410061 -0.000139113 -0.000137638
1301.06 887.004 1748.09 -0.00206824 -0.000687706 -0.000443818
1296.18 873.444 1745.26 0.00344891 5.44585e-05 0.000866198
1296.14 873.335 1745.8 0.00569332 -0.000434091 0.000372795
1296.15 873.345 1746.59 0.00292536 -0.000136422 0.00038695
1295.89 872.6 1745.26 0.000972031 -0.00146028 0.00118383
1295.9 872.268 1745.97 0.0034969 -0.000135452 -8.6126e-05
1296.24 891.775 1748.18 0.00405414 0.000609711 -0.00210375
1296.06 874.285 1745.39 0.00175291 0.00124444 0.001238
1296.06 873.223 1746.46 0.00329396 -0.000137707 0.000162661
1296.18 873.638 1746.7 0.00273783 -0.000113839 0.000403854
1295.95 873.235 1745.57 0.00319518 -0.000993883 0.00190947
1296.04 873.383 1745.27 0.00298316 3.43761e-05 0.00251169
1295.91 872.71 1745.5 0.00571622 -0.00114125 0.00295611
1295.9 872.685 1745.58 0.00240538 -0.000598221 0.000307471
1296.11 874.297 1745.61 0.00209109 -9.45442e-05 5.33766e-05
1295.86 872.484 1745.39 0.00337638 0.00121501 0.000215036
1296.11 873.063 1745.68 0.00588412 -0.000468861 0.000370743
1296.18 873.564 1746.37 0.00382497 -0.000226565 0.000419187
1295.91 872.17 1745.67 0.00421731 -0.000265536 -6.93501e-05
1296.05 872.323 1745.96 0.00367222 -0.000512636 0.000427665
1295.95 873.154 1746.03 0.00472539 -0.000192246 -0.000222027
1296.34 891.995 1748.05 0.00437016 0.000656929 -0.000852547
1296.17 873.524 1746.79 0.00239772 -7.60129e-05 0.000398117
1295.58 870.564 1744.83 -0.00144825 -0.00131205 -0.00249067
1296.2 873.686 1745.56 0.00707479 -0.000257756 0.000412737
1296.17 873.409 1746.35 0.00377475 -0.000239272 0.000441399
1296.09 873.046 1746.81 0.00269007 -0.000354793 0.000748369
1295.96 872.473 1745.71 0.00491557 -0.000361361 3.7926e-05
1301.14 877.869 1744.98 0.000313131 0.000949886 -0.00231609
1296.11 873.783 1745.15 0.00173509 0.00088143 0.00124256
1295.89 872.769 1746.27 0.00345893 -3.26878e-05 -0.000277329
1298.93 862.239 1745.81 -0.00276468 0.000483185 -0.000571348
1296.19 873.478 1745.62 0.00828089 -0.000757959 0.000390692
1295.9 872.033 1746.08 0.00254944 -0.000109729 7.19767e-06
1295.84 872.236 1746.26 0.00245451 0.000100499 -0.000235757
1295.69 868.998 1747.72 0.00388033 -0.000309424 -0.00186576
1296.15 873.936 1745.5 0.00301754 -2.52347e-05 0.000145097
1295.99 872.265 1745.48 0.0116749 -0.00109386 -0.00100307
1295.99 873.615 1745.32 0.00294202 0.000742625 0.00314095
1296.38 875.911 1747.16 0.00298744 0.00045061 0.000231442
1296.04 872.32 1745.51 0.00962562 -0.00131339 -0.00140304
1296.02 873.318 1746.69 0.00258317 -2.27081e-05 -2.03264e-05
1295.88 872.578 1745.34 0.0020123 -0.00193039 0.00128578
1296.09 873.418 1746.85 0.00213435 -1.65213e-05 0.000157646
1295.97 874.088 1745.2 0.000991437 0.000982892 0.00162408
1296.09 872.734 1746.08 0.00415583 -0.000456508 0.000406502
1295.98 872.279 1745.39 0.00523069 -0.00383433 0.000863438
1295.89 872.908 1745.35 0.00182547 -0.000710266 0.0025478
1295.71 868.949 1747.79 0.00346596 -0.000313162 -0.00285814
1295.85 872.468 1745.82 0.00450728 -8.54375e-05 -0.000314792
1300.89 878.368 1745.35 -0.00612016 0.000988863 -0.0011971
1295.87 872.849 1745.65 0.00262347 -0.00212846 -0.000757284
1298.86 862.341 1745.96 -0.00498601 0.0031307 0.00073012
1295.94 873.288 1746.14 0.00235946 -0.000350345 -0.000354995
1295.97 872.852 1745.62 0.00590079 -0.000362545 -3.46234e-05
