x y z state
1298.86 861.689 1745.59 1
1296.32 891.569 1748.43 1
1296.14 874.422 1745.41 1
1301.02 877.582 1745.44 1
1301.24 885.737 1747.33 1
1296.52 880.639 1747.23 1
1295.07 866.969 1745.45 1
1294.79 865.393 1746.29 1
1295.45 869.106 1745.38 1
1300.01 867.763 1746.19 1
1296.13 874.356 1745.43 1
1295.32 868.669 1745.67 1
1300.36 869.91 1745.74 1
1299.37 904.026 1746.55 1
1299.42 903.985 1746.53 1
1301.07 877.916 1745.35 1
1301.12 877.979 1745.34 2
1301.1 877.931 1745.39 1
1296.13 873.289 1745.34 1
1299.1 862.566 1745.39 1
1296.15 891.703 1748.31 1
1296.2 891.671 1748.3 1
1296.2 891.703 1748.27 1
1300.98 877.474 1745.3 1
1296.08 873.066 1746.93 1
1301.05 876.778 1745.62 1
1301 886.596 1747.8 1
1298.85 862.186 1746.18 1
1297.12 869.959 1749.47 1
1295.7 871.365 1746.33 1
1295.62 868.873 1747.84 1
1298.85 862.264 1745.42 1
1298.89 862.294 1745.38 1
1296.33 876.392 1745.98 1
1298.83 861.689 1745.57 1
1295.36 867.521 1746.54 1
1295.39 867.5 1746.6 1
1295.37 867.493 1746.57 1
1295.36 867.534 1746.59 1
1300.5 894.499 1748.22 1
1300.5 894.514 1748.27 1
1300.9 892.937 1747.78 1
1300.87 892.971 1747.77 1
1300.89 892.994 1747.72 1
1298.57 882.704 1750.11 1
1295.61 870.422 1747.77 1
1296.38 886.694 1746.72 1
1295.08 867.01 1745.44 1
1294.76 865.392 1746.28 1
1300.9 878.146 1745.73 1
1295.99 872.913 1745.48 1
1295.41 869.123 1745.72 1
1295.42 869.081 1745.39 1
1295.46 869.052 1745.38 1
1299.75 865.744 1745.39 1
1299.98 867.741 1746.23 1
1295.1 867.102 1746.21 1
1295.1 867.083 1746.17 1
1295.07 867.053 1746.18 1
1296.1 873.404 1747.28 1
1296.11 873.401 1747.33 1
1295.46 868.495 1748 1
1300.15 868.112 1746.11 1
1296.06 874.724 1745.37 1
1294.73 865.082 1745.53 1
1296.03 872.44 1746.79 1
1301.06 878.513 1745.65 1
1301.04 878.573 1745.62 1
1301.01 878.535 1745.62 1
1295.98 873.352 1746.19 1
1296.38 880.322 1747.04 1
1301.09 877.181 1745.58 1
1301.09 877.251 1745.59 1
1301.09 886.737 1747.87 1
1295.58 869.24 1745.54 1
1300.65 894.698 1748.59 1
1295.84 871.576 1745.97 1
1295.83 871.901 1745.33 1
1295.89 871.91 1745.32 1
1295.87 871.88 1745.38 1
1295.9 871.872 1745.34 1
1295.35 868.923 1746.74 1
1298.92 862.143 1745.33 1
1296.11 891.956 1747.93 1
1295.72 871.596 1745.6 1
1300.04 867.388 1745.86 1
1301.18 887.403 1747.96 1
1295.71 869.153 1748.33 1
1301.05 877.246 1746.31 1
1298.5 885.602 1750.04 1
1295.67 871.035 1746.39 1
1295.95 873.258 1745.53 1
1301 879.057 1745.36 1
1297.8 895.2 1750.52 1
1296.09 874.323 1745.62 1
1295.54 870.102 1745.45 1
1295.55 870.139 1745.47 1
1299.88 867.428 1746.51 1
1295.74 870.828 1745.36 1
1295.26 868.259 1746.55 1
1299.96 867.094 1745.79 1
1295.94 873.866 1746.27 1
1301.11 877.611 1745.37 1
1296.12 891.622 1748.22 1
1296.38 875.919 1747.13 1
1296.18 876.231 1745.93 1
1295.65 870.78 1745.41 1
1295.9 872.537 1745.33 1
1296.42 876.357 1746.15 1
1295.2 867.961 1746.32 1
1296.24 877.495 1745.41 1
1299.43 904.053 1746.62 2
1298.97 861.859 1745.51 1
1301 888.347 1747.8 1
1297.67 895.058 1750.5 1
1295.85 868.614 1748.37 1
1296.01 874.576 1746.93 1
1298.63 885.79 1750.09 1
1296.05 872.706 1747.18 1
1296.27 877.405 1748 1
1296.15 876.13 1746.1 1
1296.28 877.385 1747.96 1
1299.94 867.522 1746.19 1
1295.93 871.396 1745.38 1
1301.15 878.96 1745.82 1
1300.47 894.615 1748.06 1
1295.55 870.202 1745.47 1
1301.02 877.471 1745.44 1
1295.06 867.079 1745.7 1
1295.56 870.297 1745.74 1
1296.44 884.2 1747.11 1
1295.65 870.992 1746.23 1
1295.87 873.044 1747.01 1
1300.98 887.223 1747.99 1
1299.58 864.661 1745.6 1
1298.96 862.376 1745.93 1
1300.52 894.555 1748.34 1
1300 867.73 1746.18 1
1300.9 876.775 1745.6 1
1299.96 866.986 1745.96 1
1301.18 887.386 1747.92 1
1295.42 868.499 1746.39 1
1295.48 869.709 1745.88 1
1295.48 869.749 1745.88 1
1301.19 879.592 1745.4 1
1301.21 879.57 1745.44 1
1301.19 879.56 1745.38 1
1301.24 880.486 1745.63 1
1295.87 869.109 1748.14 1
1296.22 876.433 1747.27 1
1296.17 876.463 1747.3 1
1295.84 872.634 1746.8 1
1295.81 872.642 1746.83 1
1295.84 872.666 1746.77 1
1295.41 898.329 1747.66 1
1295.43 869.358 1747.5 1
1296.05 874.252 1745.41 1
1296.02 874.293 1745.39 1
