x y z dx dy dz
1301.11 876.668 1744.78 0.00121064 0.00100747 -0.00342908
1301.13 877.116 1744.81 -9.3592e-05 -0.000966043 0.00322217
1301.16 877.568 1744.82 0.000717478 0.00046973 -0.00347664
1301.13 877.116 1744.97 0.000314727 -0.00112366 0.00348199
1301.16 877.569 1744.98 0.00129265 0.00184087 -0.00819984
1301.18 878.017 1745.01 -0.000313465 -0.000527939 0.00581989
1301.36 877.568 1744.89 0.000575902 0.000453069 -0.0022338
1301.16 877.568 1745.15 -0.000157688 0.000493341 -0.00328067
1301.18 878.017 1745.18 0.00134242 -0.00123242 0.00661486
1301.36 877.568 1745.07 0.000104171 0.00025871 -0.00203001
1299.08 861.798 1744.72 0.00110393 -0.00342931 -0.00368215
1299.17 862.256 1744.75 0.000602658 0.00338881 0.00175954
1301.18 878.018 1745.34 0.000715088 -0.000435802 0.00250581
1301.21 878.469 1745.35 0.000860615 0.000514281 -0.00176908
1298.98 861.339 1744.88 -0.00165904 -0.0123011 -0.0025009
1299.08 861.834 1744.9 0.00400756 0.0321579 0.0049388
1299.17 862.244 1744.91 -0.000423916 -0.00799977 -0.00123494
1299.27 861.806 1744.83 0.000604338 0.00453021 0.00060276
1299.08 861.803 1745.07 0.00155485 0.000798081 0.00156401
1299.17 862.246 1745.08 -0.000378101 -0.00637511 0.000954508
1299.26 862.706 1745.1 0.00120773 0.00336897 -0.000541631
1299.27 861.804 1745.02 0.00113318 0.00200271 0.000664893
1295.83 873.063 1745.43 -0.000513008 -7.89039e-05 0.00311002
1295.32 869.01 1745.11 -0.000442252 0.00079062 0.0033163
1295.39 869.459 1745.12 0.000819514 -0.000565438 -0.00250656
1295.45 869.91 1745.14 -0.000775855 -0.00033621 0.00368438
1295.83 873.062 1745.26 -0.000204812 -0.000633716 0.00702147
1295.87 873.514 1745.27 0.00165541 0.000854333 0.00101593
1295.92 873.965 1745.29 0.00050235 0.000992268 0.0029981
1295.19 869.459 1745.09 0.000453104 -0.000423328 -0.00192387
1295.19 868.108 1744.9 -0.00025994 -0.000148243 0.00260445
1295.26 868.558 1744.92 -9.53762e-05 -0.000531442 -0.00282655
1295.32 869.01 1744.94 -4.14096e-05 0.000500664 0.00511368
1295.39 869.458 1744.94 0.000456421 -0.00141829 -0.00886378
1295.45 869.911 1744.98 -0.000523839 0.00132598 0.00810422
1295.51 870.359 1744.98 0.000705323 -0.00177027 -0.00653196
1295.57 870.81 1745.01 -0.00143508 -0.000326567 0.0037108
1295.83 873.063 1745.09 -0.000139699 0.000390832 0.00299563
1295.92 873.965 1745.13 0.000469763 0.00133281 0.00388725
1295.19 869.459 1744.91 6.40145e-05 -0.000606653 -0.00328441
1295.25 869.91 1744.93 5.95254e-05 0.0002498 0.00354927
1295.31 870.36 1744.94 1.56482e-05 -0.00078147 -0.00352369
1295.37 870.81 1744.96 -0.000715173 -0.00036041 0.00293524
1295.33 869.008 1744.77 0.000189971 -0.000900825 0.00385221
1295.39 869.459 1744.77 -0.000992382 -0.000841648 -0.0116221
1295.45 869.912 1744.82 -0.000191375 0.00175806 0.0143259
1295.51 870.358 1744.8 -0.00127475 -0.00271241 -0.0192116
1295.57 870.812 1744.85 -0.0018619 0.00116757 0.0145297
1295.63 871.263 1744.85 0.000498561 0.00148335 -0.00607435
1295.68 871.71 1744.87 -0.000853842 -0.00126621 0.00263255
1295.92 873.966 1744.96 -0.00103889 0.00184285 0.00353261
1295.19 869.459 1744.72 -0.000586245 -0.000143565 -0.00352499
1295.25 869.91 1744.75 0.000156795 0.00013973 0.003844
1295.31 870.359 1744.76 -0.00108772 -0.000954022 -0.00517876
1295.37 870.811 1744.78 -0.000506728 0.00027711 0.00504645
1295.42 871.261 1744.79 -0.000170332 0.0001196 -0.0026366
1295.39 869.46 1744.61 -0.00116158 0.00066868 -0.00300995
1295.51 870.359 1744.64 -0.00127294 -0.00146971 -0.00767351
1295.57 870.812 1744.69 0.000745473 0.00137296 0.0157668
1295.63 871.259 1744.68 -0.000891711 -0.00214325 -0.00981347
1295.68 871.712 1744.71 -0.000527406 -0.000125027 0.0041798
1295.73 872.162 1744.72 0.000276932 -0.000364397 -0.00204393
1295.88 873.513 1744.77 -0.000765308 -0.00012385 -0.00424257
1295.92 873.965 1744.79 -0.00170026 0.000845095 0.0032897
1295.96 874.416 1744.8 -0.000334536 0.00128722 -0.00247987
1295.31 870.36 1744.58 -0.000758948 -0.000287538 -0.00375068
1295.37 870.811 1744.6 0.000735827 0.000313215 0.00349965
1295.43 871.26 1744.61 -0.000290339 -0.000819435 -0.00305056
1295.63 871.261 1744.51 -0.000674896 -0.00059413 -0.00440843
1295.68 871.712 1744.54 0.00033732 0.000681902 0.00359434
1295.74 872.161 1744.55 -0.00012254 -0.000913014 -0.00291671
