x z sxx syy szz sxy sxz syz
1316.54 1761.8 -908457 -998751 -1.76556e+06 -170294 -342672 56101.3
1316.54 1761.8 -908182 -999620 -1.765e+06 -169654 -342725 55994.3
1316.54 1761.8 -907289 -999276 -1.76282e+06 -169088 -342596 55892.2
1316.54 1761.81 -906846 -999738 -1.7617e+06 -168561 -342644 55795.9
1314.78 1761.45 -903059 -992319 -1.74648e+06 -170586 -341211 54611.9
1315.64 1762.23 -905360 -989453 -1.74434e+06 -168457 -340697 55796.4
1315.64 1762.23 -904667 -989799 -1.74357e+06 -168070 -340704 55696.7
1315.64 1762.24 -903399 -989344 -1.74108e+06 -167594 -340559 55546.6
1315.64 1762.24 -902413 -989254 -1.73944e+06 -167096 -340518 55412.7
1315.64 1762.24 -901773 -989694 -1.73881e+06 -166659 -340419 55281.4
1316.54 1763.06 -904619 -986544 -1.73564e+06 -164208 -339894 56656.1
1316.54 1763.06 -903295 -986007 -1.73341e+06 -163914 -339752 56497.5
1316.54 1763.06 -901984 -985882 -1.73157e+06 -163502 -339724 56315.1
1316.54 1763.06 -900784 -985905 -1.73013e+06 -163058 -339682 56150.8
1316.54 1763.06 -900796 -986777 -1.73051e+06 -162856 -339871 56077.2
1313.97 1761.76 -901170 -982937 -1.73247e+06 -171245 -339670 54474.6
1313.96 1761.77 -900483 -982931 -1.73065e+06 -170588 -339581 54393.7
1313.96 1761.77 -900228 -983635 -1.73014e+06 -170043 -339600 54327.9
1313.96 1761.77 -899049 -983261 -1.7279e+06 -169460 -339417 54225.2
1313.96 1761.78 -898504 -983550 -1.72688e+06 -169042 -339402 54116.7
1314.78 1762.57 -901992 -981142 -1.72215e+06 -165793 -338699 55312
1314.78 1762.57 -900126 -980170 -1.72023e+06 -165822 -338513 55136.6
1314.78 1762.58 -899163 -980598 -1.71999e+06 -165677 -338561 55016.1
1314.78 1762.58 -898063 -980426 -1.71896e+06 -165571 -338573 54880.8
1314.78 1762.58 -897305 -980719 -1.71831e+06 -165294 -338572 54759
1315.64 1763.42 -900437 -977596 -1.71208e+06 -161736 -337780 56025.5
1315.64 1763.42 -898842 -977004 -1.71084e+06 -161744 -337645 55918.9
1315.64 1763.43 -897239 -976601 -1.70951e+06 -161639 -337572 55734.1
1315.64 1763.43 -896750 -977280 -1.71016e+06 -161678 -337718 55615
1315.64 1763.43 -895589 -977055 -1.70912e+06 -161515 -337659 55490.8
1316.54 1764.32 -900280 -974985 -1.70546e+06 -158089 -337508 57074.5
1316.54 1764.32 -898781 -974112 -1.7027e+06 -157686 -337378 56925.8
1316.54 1764.32 -898042 -974455 -1.70217e+06 -157482 -337443 56842.5
1316.54 1764.32 -897303 -974965 -1.70232e+06 -157453 -337497 56648.7
1316.54 1764.32 -895463 -974316 -1.70038e+06 -157177 -337162 56429.7
1313.19 1762 -898839 -977166 -1.7176e+06 -169513 -338401 54181.8
1313.19 1762.01 -898145 -977101 -1.71575e+06 -168940 -338300 54100.3
1313.19 1762.01 -897162 -976850 -1.71397e+06 -168442 -338122 53978.3
1313.18 1762.02 -896545 -977104 -1.71299e+06 -168059 -338123 53885.4
1313.18 1762.02 -896451 -977803 -1.71301e+06 -167797 -338220 53830.9
1313.97 1762.83 -899445 -974929 -1.70518e+06 -163750 -337142 54900.8
1313.96 1762.83 -897495 -974256 -1.70455e+06 -164065 -337060 54744
1313.96 1762.84 -895941 -973937 -1.7036e+06 -164105 -337051 54618
1313.96 1762.84 -895141 -974195 -1.70395e+06 -164261 -337099 54464.4
1313.96 1762.85 -893882 -974027 -1.70286e+06 -164077 -337049 54343.3
1314.78 1763.7 -899075 -972019 -1.69331e+06 -158815 -336254 55593.8
1314.78 1763.7 -896193 -970676 -1.69348e+06 -159871 -336111 55406.1
1314.78 1763.71 -893826 -969502 -1.69211e+06 -160173 -335899 55258.3
1314.78 1763.71 -892662 -969668 -1.69282e+06 -160498 -335944 55096.2
1314.78 1763.71 -891396 -969431 -1.69179e+06 -160417 -335828 54948.7
1315.64 1764.61 -895832 -967415 -1.68635e+06 -156642 -335471 56312.8
1315.64 1764.62 -894587 -967293 -1.68617e+06 -156823 -335507 56237.7
1315.64 1764.62 -893464 -967136 -1.68607e+06 -157009 -335494 56123.8
1315.64 1764.62 -891725 -966496 -1.68422e+06 -156833 -335318 55951.2
1315.64 1764.62 -890414 -966259 -1.68352e+06 -156833 -335236 55765.8
1316.54 1765.57 -896469 -963331 -1.67582e+06 -152094 -335661 57658.6
1316.54 1765.57 -897025 -963817 -1.67525e+06 -151467 -335963 57672.4
1316.54 1765.57 -896708 -964009 -1.67427e+06 -151190 -336013 57566.7
1316.54 1765.58 -894986 -963707 -1.67326e+06 -151196 -335708 57337.3
1316.54 1765.58 -893101 -964070 -1.67407e+06 -151709 -335473 57012.3
1311.74 1761.39 -896641 -975899 -1.71142e+06 -170831 -338321 53178.5
1311.73 1761.4 -896298 -976367 -1.71088e+06 -170409 -338339 53094.2
1312.45 1762.17 -896896 -972086 -1.70492e+06 -168094 -337202 53938.1
1312.45 1762.18 -896799 -972473 -1.70319e+06 -167295 -337275 53902
1312.45 1762.18 -895967 -972257 -1.70083e+06 -166511 -337170 53815.9
1312.44 1762.19 -895437 -972424 -1.69981e+06 -166211 -337197 53694.6
1312.44 1762.19 -894824 -972649 -1.69898e+06 -165960 -337146 53574.2
1313.19 1763.01 -896630 -969442 -1.69246e+06 -162835 -336023 54530.3
1313.19 1763.02 -895589 -969420 -1.69249e+06 -163101 -336052 54404.6
1313.19 1763.02 -894068 -968882 -1.69129e+06 -163123 -335972 54236.8
1313.18 1763.03 -893387 -969370 -1.69159e+06 -163048 -336076 54135.5
1313.18 1763.03 -891824 -968752 -1.68977e+06 -162909 -335953 54000.4
1313.97 1763.9 -897701 -967796 -1.68032e+06 -157096 -335085 55210.6
1313.96 1763.9 -894317 -966455 -1.68223e+06 -158770 -335049 55034
1313.96 1763.91 -891669 -965122 -1.68114e+06 -159416 -334793 54830.2
1313.96 1763.91 -890267 -964707 -1.68093e+06 -159777 -334738 54677.2
1313.96 1763.92 -889020 -964659 -1.6807e+06 -159887 -334674 54495.6
1314.78 1764.83 -893929 -962647 -1.67174e+06 -155137 -334028 55768.3
1314.78 1764.83 -891184 -961687 -1.67249e+06 -156028 -333925 55636.7
1314.78 1764.83 -889491 -961201 -1.6728e+06 -156559 -333864 55489.7
1314.78 1764.84 -887760 -960506 -1.67158e+06 -156654 -333743 55341.1
1314.78 1764.84 -886210 -959855 -1.67007e+06 -156545 -333535 55180.7
1315.64 1765.81 -889727 -956786 -1.66416e+06 -153017 -333349 56716.8
1315.64 1765.81 -889096 -956845 -1.66327e+06 -152776 -333400 56632.5
1315.64 1765.81 -887853 -956170 -1.66134e+06 -152692 -333226 56477.8
1315.64 1765.81 -886581 -956057 -1.66041e+06 -152698 -333170 56253.3
1315.64 1765.81 -885146 -955670 -1.65927e+06 -152652 -332920 56063.2
1316.54 1766.83 -892685 -953895 -1.65333e+06 -147872 -334120 58141.1
1316.54 1766.83 -893902 -954173 -1.65131e+06 -146802 -334496 58181.4
