x z dx dz dmag
1299.83 1749.89 5.42168e-09 -5.03391e-08 5.06302e-08
1300.18 1749.56 1.39476e-08 -5.2578e-08 5.43966e-08
1301.29 1746.05 2.3675e-09 -5.97294e-08 5.97763e-08
1301.11 1747.57 -5.45098e-09 -1.34285e-07 1.34395e-07
1300.2 1749.69 8.14003e-09 -3.90408e-08 3.98803e-08
1299.37 1749.93 1.54682e-09 -4.46137e-08 4.46405e-08
1300.92 1748.65 1.45809e-08 -9.636e-08 9.74569e-08
1296.71 1744.97 -2.44728e-09 -5.64734e-08 5.65264e-08
1296.55 1745.89 5.33099e-09 -1.2517e-07 1.25283e-07
1301.27 1747.17 -1.47995e-08 -1.04533e-07 1.05575e-07
1297.9 1749.93 -3.30492e-09 -4.28291e-08 4.29564e-08
1299.38 1750.05 2.99015e-09 -4.32443e-08 4.33475e-08
1296.95 1748.86 -2.12098e-08 -7.37633e-08 7.67521e-08
1301 1747.53 -3.75611e-09 -1.54865e-07 1.54911e-07
1296.55 1746.73 4.46251e-09 -1.39246e-07 1.39318e-07
1296.59 1747.92 -1.30224e-09 -1.27701e-07 1.27708e-07
1296.51 1748.27 -9.25785e-09 -8.6828e-08 8.73202e-08
1298.94 1749.99 4.27062e-10 -3.13957e-08 3.13986e-08
1296.6 1748.73 -4.37255e-09 -5.83999e-08 5.85634e-08
1297.14 1749.49 -1.0251e-08 -4.73312e-08 4.84286e-08
1296.69 1746.06 7.92805e-09 -1.53787e-07 1.53991e-07
1296.92 1748.94 -1.96248e-08 -7.78104e-08 8.02471e-08
1301.1 1745.49 -1.68691e-09 -1.09377e-07 1.0939e-07
1297.32 1749.6 -8.51355e-09 -4.6292e-08 4.70683e-08
1301.29 1746.24 4.46281e-09 -6.11714e-08 6.1334e-08
1299.44 1750.08 2.61135e-09 -4.07795e-08 4.0863e-08
1301.01 1748.86 5.59081e-09 -4.10689e-08 4.14477e-08
1300.31 1749.37 1.40727e-08 -5.86464e-08 6.03112e-08
1296.62 1746.55 6.62571e-09 -1.41774e-07 1.41929e-07
1300.89 1749.06 3.1863e-09 -4.42113e-08 4.43259e-08
1299.47 1749.96 4.21558e-09 -4.1517e-08 4.17305e-08
1296.62 1748.03 -6.1481e-09 -1.28366e-07 1.28513e-07
1300.88 1745.16 -1.92762e-09 -9.33801e-08 9.34e-08
1301.02 1746.72 -7.22489e-09 -1.47913e-07 1.48089e-07
1296.44 1748.15 -7.23045e-09 -7.91683e-08 7.94978e-08
1296.4 1747.15 -2.53232e-09 -6.5433e-08 6.5482e-08
1297.35 1749.6 -8.10476e-09 -5.09571e-08 5.15976e-08
1300.21 1749.45 1.44353e-08 -4.38946e-08 4.62073e-08
1301.13 1748.56 1.90222e-09 -7.22534e-08 7.22785e-08
1297.34 1749.38 -1.52808e-08 -5.49049e-08 5.69917e-08
1297.62 1749.74 -7.26422e-09 -4.7213e-08 4.77685e-08
1301.3 1745.1 1.53419e-09 -4.27434e-08 4.27709e-08
1301.15 1748.23 8.29171e-09 -8.91056e-08 8.94906e-08
1301.06 1748.58 6.1171e-09 -8.54355e-08 8.56542e-08
1301.29 1745.93 -8.36091e-10 -6.42912e-08 6.42966e-08
1296.85 1745.17 3.61693e-10 -8.05314e-08 8.05322e-08
1298.8 1750.18 1.26915e-10 -3.58678e-08 3.58681e-08
1300.49 1749.56 -1.86002e-09 -4.33412e-08 4.33811e-08
1296.58 1746.37 6.95453e-09 -1.4907e-07 1.49232e-07
1296.44 1748.23 -1.02733e-08 -5.71718e-08 5.80875e-08
1299.85 1749.83 5.81939e-09 -4.43072e-08 4.46878e-08
1299.15 1750.08 1.56641e-09 -3.59758e-08 3.60099e-08
1301.06 1746.71 -4.95828e-09 -1.47131e-07 1.47215e-07
1300.87 1745.13 1.19064e-09 -9.21784e-08 9.21861e-08
1301.09 1748.46 9.67949e-09 -8.64991e-08 8.7039e-08
1301.03 1746.56 -4.94368e-09 -1.4284e-07 1.42925e-07
1301.14 1746.85 -1.6606e-09 -1.26376e-07 1.26387e-07
1296.57 1744.91 -3.63344e-09 -3.2322e-08 3.25256e-08
1301.18 1747.67 1.03737e-09 -1.20471e-07 1.20475e-07
1296.67 1747.85 -1.0054e-09 -1.36856e-07 1.3686e-07
1296.48 1746.08 7.3312e-09 -1.00663e-07 1.0093e-07
1301.06 1746.46 -3.80027e-09 -1.43603e-07 1.43653e-07
1297.7 1749.61 -7.47077e-09 -4.5892e-08 4.64961e-08
1297.37 1749.73 4.53868e-10 -3.55262e-08 3.55291e-08
1296.59 1746.85 6.64204e-09 -1.41439e-07 1.41595e-07
1296.44 1747.77 3.14399e-09 -9.59038e-08 9.59553e-08
1296.46 1745.77 1.71308e-09 -9.48994e-08 9.49148e-08
1301.15 1745.66 -7.99204e-10 -1.17419e-07 1.17422e-07
1301.11 1745.36 1.18256e-10 -1.00092e-07 1.00092e-07
1297.72 1749.79 -7.39189e-09 -4.64805e-08 4.70647e-08
1301.08 1748.31 1.00407e-08 -1.0187e-07 1.02364e-07
1296.68 1746.28 5.40952e-09 -1.56566e-07 1.56659e-07
1297.81 1749.7 -2.71853e-09 -3.06754e-08 3.07956e-08
1301.26 1747.64 -4.41528e-09 -7.11904e-08 7.13272e-08
1299.1 1750.14 4.6229e-10 -4.04894e-08 4.0492e-08
1299.41 1749.84 1.41694e-09 -3.08024e-08 3.08349e-08
1297.84 1749.71 -2.82534e-09 -3.00259e-08 3.01585e-08
1301.28 1746.65 -4.83277e-09 -6.10002e-08 6.11913e-08
1296.43 1745.08 -3.57383e-09 -5.3409e-08 5.35284e-08
1296.48 1746.24 6.95173e-10 -1.07062e-07 1.07064e-07
1300.94 1748.84 9.67327e-09 -7.28168e-08 7.34565e-08
1297.85 1749.83 -6.0392e-09 -4.35879e-08 4.40043e-08
1301.01 1746.68 -2.82287e-09 -1.52861e-07 1.52887e-07
1296.5 1746.28 3.10885e-09 -1.30266e-07 1.30303e-07
1296.67 1748.48 -7.96923e-09 -1.07292e-07 1.07588e-07
1296.67 1746.71 4.4863e-09 -1.6064e-07 1.60702e-07
1296.51 1748.46 -3.36652e-09 -4.60786e-08 4.62015e-08
1296.69 1745.86 4.75316e-09 -1.41906e-07 1.41985e-07
1296.47 1747.73 1.73166e-09 -1.07461e-07 1.07475e-07
1296.45 1745.17 -3.16185e-09 -5.88929e-08 5.89778e-08
1300.79 1749.11 1.32542e-08 -6.55009e-08 6.68285e-08
1300.27 1749.57 1.18543e-08 -5.99508e-08 6.11115e-08
1296.55 1746.34 9.66282e-09 -1.4036e-07 1.40692e-07
1301.19 1745.09 2.61009e-09 -5.06775e-08 5.07447e-08
1297.21 1749.48 -7.11847e-09 -5.42373e-08 5.47024e-08
1301.07 1747.39 -4.12921e-09 -1.54195e-07 1.5425e-07
1297.57 1749.75 -6.62396e-09 -4.65305e-08 4.69996e-08
1298.95 1750.02 6.81508e-10 -3.42979e-08 3.43047e-08
1299.55 1749.81 1.34596e-09 -3.34032e-08 3.34303e-08
1296.62 1747.23 8.55139e-09 -1.52808e-07 1.53047e-07
1296.61 1747.81 -4.12607e-10 -1.36018e-07 1.36019e-07
1296.64 1745.77 2.76388e-09 -1.34423e-07 1.34451e-07
1300.88 1748.98 8.01555e-09 -6.80274e-08 6.8498e-08
1301.09 1745.14 2.83102e-09 -7.62917e-08 7.63442e-08
1296.48 1747.79 2.74876e-10 -1.06053e-07 1.06053e-07
1296.92 1749.12 -1.38438e-08 -7.19013e-08 7.32219e-08
1301.29 1745.93 9.43379e-09 -5.94794e-08 6.02228e-08
1296.62 1748.3 -7.48966e-09 -1.1921e-07 1.19445e-07
1296.53 1747.33 8.494e-09 -1.25295e-07 1.25583e-07
1299.44 1750.01 3.64328e-09 -4.15879e-08 4.17471e-08
1297.31 1749.5 -1.23527e-08 -5.40252e-08 5.54195e-08
1300.82 1748.68 2.13321e-08 -9.93883e-08 1.01652e-07
1296.54 1746.91 9.22779e-09 -1.32012e-07 1.32334e-07
1301.11 1745.94 -2.79319e-09 -1.28395e-07 1.28426e-07
1298.16 1749.9 -3.88181e-09 -3.55021e-08 3.57136e-08
1298.83 1749.93 2.07607e-10 -2.38292e-08 2.38301e-08
1299.32 1749.96 2.83605e-09 -3.78652e-08 3.79713e-08
1296.66 1745.19 -3.01966e-10 -8.58222e-08 8.58228e-08
1297.12 1749.17 -2.23836e-08 -6.55308e-08 6.92482e-08
1296.41 1746.94 -2.43937e-09 -6.04479e-08 6.04971e-08
1296.67 1747.42 5.67793e-09 -1.49606e-07 1.49714e-07
1297.41 1749.77 -3.21647e-09 -4.3393e-08 4.35121e-08
1296.47 1747.25 8.57323e-09 -1.12338e-07 1.12664e-07
1301.29 1745.49 -5.26817e-09 -4.97444e-08 5.00225e-08
