x z sxx syy szz sxy sxz syz
1316.54 1761.8 -881328 -1.06015e+06 -1.82507e+06 -184068 -340377 64610.6
1316.54 1761.8 -880897 -1.06052e+06 -1.82399e+06 -184144 -340675 64355.8
1316.54 1761.8 -882952 -1.06556e+06 -1.83111e+06 -184924 -342188 64355.3
1316.54 1761.81 -879229 -1.06202e+06 -1.82235e+06 -184633 -342233 63735.6
1314.78 1761.45 -876626 -1.05503e+06 -1.80384e+06 -186057 -340866 62328.9
1315.64 1762.23 -879327 -1.05005e+06 -1.80712e+06 -183518 -337790 64140.4
1315.64 1762.23 -878729 -1.05179e+06 -1.80699e+06 -183295 -338348 63913.8
1315.64 1762.24 -875034 -1.04823e+06 -1.79824e+06 -182970 -338354 63330.6
1315.64 1762.24 -874720 -1.04893e+06 -1.79796e+06 -183186 -338748 63098
1315.64 1762.24 -873734 -1.05015e+06 -1.79879e+06 -182891 -339383 62903.4
1316.54 1763.06 -877914 -1.05143e+06 -1.81165e+06 -180934 -338207 65012
1316.54 1763.06 -875528 -1.05069e+06 -1.80886e+06 -181423 -338403 64475.3
1316.54 1763.06 -871652 -1.04676e+06 -1.79938e+06 -180949 -338304 63878.4
1316.54 1763.06 -869483 -1.04647e+06 -1.79695e+06 -180502 -338527 63611.9
1316.54 1763.06 -869197 -1.04704e+06 -1.79642e+06 -180660 -338862 63368.2
1313.97 1761.76 -878468 -1.04766e+06 -1.79842e+06 -184672 -337628 63220.5
1313.96 1761.77 -874800 -1.04431e+06 -1.79004e+06 -184451 -337707 62649.8
1313.96 1761.77 -874286 -1.04647e+06 -1.79071e+06 -184451 -338428 62419.8
1313.96 1761.77 -875082 -1.05e+06 -1.79404e+06 -185045 -339411 62232.9
1313.96 1761.78 -874846 -1.05105e+06 -1.79456e+06 -185481 -339955 62010.1
1314.78 1762.57 -873804 -1.04092e+06 -1.78739e+06 -182161 -336302 63359.4
1314.78 1762.57 -873483 -1.04162e+06 -1.78706e+06 -182328 -336665 63151.4
1314.78 1762.58 -872953 -1.04359e+06 -1.78742e+06 -182218 -337297 62928.6
1314.78 1762.58 -873183 -1.04554e+06 -1.78963e+06 -183374 -338146 62568.5
1314.78 1762.58 -872922 -1.04642e+06 -1.78982e+06 -183695 -338608 62346.1
1315.64 1763.42 -869957 -1.03608e+06 -1.78208e+06 -180409 -335442 63620
1315.64 1763.42 -869342 -1.03779e+06 -1.78191e+06 -180121 -335958 63407.7
1315.64 1763.43 -868250 -1.03874e+06 -1.78226e+06 -179619 -336457 63242.6
1315.64 1763.43 -867964 -1.03939e+06 -1.78193e+06 -179797 -336800 63023.2
1315.64 1763.43 -867702 -1.04011e+06 -1.78178e+06 -180021 -337175 62800.6
1316.54 1764.32 -871517 -1.04028e+06 -1.78979e+06 -177935 -335870 64621.3
1316.54 1764.32 -867093 -1.03854e+06 -1.78501e+06 -177815 -335912 64061.3
1316.54 1764.32 -866769 -1.03892e+06 -1.78414e+06 -177844 -336136 63845.9
1316.54 1764.32 -866465 -1.03937e+06 -1.78342e+06 -177913 -336387 63626.7
1316.54 1764.32 -866182 -1.03988e+06 -1.78286e+06 -178021 -336665 63404.5
1313.19 1762 -873234 -1.03657e+06 -1.77595e+06 -183768 -335728 62479.2
1313.19 1762.01 -872950 -1.0375e+06 -1.7761e+06 -184070 -336187 62275.8
1313.19 1762.01 -872747 -1.04126e+06 -1.78099e+06 -184109 -337274 62131
1313.18 1762.02 -873368 -1.04617e+06 -1.78513e+06 -184430 -338533 61940.7
1313.18 1762.02 -873182 -1.04732e+06 -1.78589e+06 -184909 -339095 61729.7
1313.97 1762.83 -872235 -1.03463e+06 -1.77435e+06 -182554 -335060 62791.6
1313.96 1762.83 -871997 -1.03826e+06 -1.77892e+06 -182455 -336068 62650.8
1313.96 1762.84 -871478 -1.04035e+06 -1.77947e+06 -182379 -336730 62433.9
1313.96 1762.84 -871241 -1.04127e+06 -1.77974e+06 -182702 -337184 62226.7
1313.96 1762.85 -871030 -1.04227e+06 -1.78021e+06 -183075 -337672 62016.8
1314.78 1763.7 -867643 -1.03098e+06 -1.77038e+06 -179525 -334295 63190.3
1314.78 1763.7 -867332 -1.03163e+06 -1.77004e+06 -179653 -334615 62994.6
1314.78 1763.71 -866755 -1.03351e+06 -1.77024e+06 -179462 -335190 62783.5
1314.78 1763.71 -866506 -1.03428e+06 -1.77024e+06 -179691 -335567 62579
1314.78 1763.71 -866284 -1.03513e+06 -1.77041e+06 -179963 -335974 62372
1315.64 1764.61 -865763 -1.03067e+06 -1.76991e+06 -176972 -333879 63627.8
1315.64 1764.62 -865431 -1.03112e+06 -1.76924e+06 -177025 -334118 63432.9
1315.64 1764.62 -865125 -1.03163e+06 -1.76872e+06 -177117 -334382 63234.3
1315.64 1764.62 -862887 -1.03127e+06 -1.76632e+06 -176647 -334559 62997.3
1315.64 1764.62 -862663 -1.03194e+06 -1.76616e+06 -176827 -334880 62791.9
1316.54 1765.57 -866387 -1.03192e+06 -1.77315e+06 -174627 -333581 64542.6
1316.54 1765.57 -865996 -1.03218e+06 -1.77215e+06 -174607 -333741 64345.2
1316.54 1765.57 -863412 -1.03122e+06 -1.76918e+06 -175085 -333849 63808.3
1316.54 1765.58 -863103 -1.03161e+06 -1.76847e+06 -175118 -334053 63608.7
1316.54 1765.58 -862813 -1.03206e+06 -1.76789e+06 -175183 -334278 63406.9
1311.74 1761.39 -873240 -1.04143e+06 -1.77513e+06 -185869 -337745 61394.3
1311.73 1761.4 -873140 -1.04535e+06 -1.78057e+06 -186142 -338930 61255.9
1312.45 1762.17 -871524 -1.03276e+06 -1.76706e+06 -183069 -334865 62192.8
1312.45 1762.18 -871277 -1.03378e+06 -1.76743e+06 -183407 -335342 61997.9
1312.45 1762.18 -871061 -1.0349e+06 -1.76801e+06 -183801 -335857 61799.5
1312.44 1762.19 -872030 -1.04144e+06 -1.77648e+06 -184159 -337481 61702.7
1312.44 1762.19 -871649 -1.04388e+06 -1.77788e+06 -184358 -338298 61481.2
1313.19 1763.01 -870318 -1.03043e+06 -1.76457e+06 -181794 -334119 62463.5
1313.19 1763.02 -870057 -1.03131e+06 -1.76469e+06 -182052 -334532 62271.6
1313.19 1763.02 -869905 -1.03511e+06 -1.7697e+06 -182054 -335591 62139.9
1313.18 1763.03 -869440 -1.03733e+06 -1.7706e+06 -182072 -336302 61925.1
1313.18 1763.03 -869279 -1.03844e+06 -1.77132e+06 -182487 -336810 61725.9
1313.97 1763.9 -865351 -1.02333e+06 -1.75476e+06 -179009 -332621 62754.3
1313.96 1763.9 -865199 -1.02705e+06 -1.75955e+06 -178906 -333616 62625.9
1313.96 1763.91 -864639 -1.02903e+06 -1.75993e+06 -178750 -334215 62420.8
1313.96 1763.91 -864436 -1.02991e+06 -1.7602e+06 -179029 -334620 62226.6
1313.96 1763.92 -864265 -1.03087e+06 -1.76066e+06 -179351 -335053 62030.4
1314.78 1764.83 -864355 -1.02097e+06 -1.75208e+06 -177469 -331690 63096.7
1314.78 1764.83 -863846 -1.02579e+06 -1.75704e+06 -176878 -332858 62961.6
1314.78 1764.83 -863573 -1.02642e+06 -1.75682e+06 -177018 -333155 62775
1314.78 1764.84 -863328 -1.02712e+06 -1.75676e+06 -177194 -333477 62586
1314.78 1764.84 -862257 -1.02817e+06 -1.75749e+06 -176738 -333993 62436.6
1315.64 1765.81 -862344 -1.02313e+06 -1.75521e+06 -174380 -331733 63560.7
1315.64 1765.81 -859948 -1.02246e+06 -1.75229e+06 -173752 -331789 63347.6
1315.64 1765.81 -859666 -1.02293e+06 -1.75179e+06 -173819 -332013 63163.5
