x y z
1300.9 885.075 1744.93
1300.96 884.925 1744.92
1300.95 885.375 1744.94
1301.07 885.075 1744.93
1301.12 884.925 1744.92
1301.06 885.526 1744.94
1301.12 885.375 1744.94
1301.11 885.826 1744.96
1301.23 885.075 1744.93
1301.29 884.925 1744.93
1301.23 885.526 1744.95
1301.28 885.375 1744.94
1301.22 885.976 1744.96
1301.28 885.826 1744.96
1301.27 886.276 1744.98
1301.34 885.075 1744.99
1301.34 884.925 1745.04
1301.33 885.526 1745.01
1301.34 885.375 1745.06
1301.33 885.976 1745.02
1301.33 885.826 1745.07
1301.32 886.426 1745.04
1301.32 886.276 1745.09
1301.31 886.727 1745.11
1301.34 885.075 1745.16
1301.34 884.925 1745.21
1301.33 885.526 1745.17
1301.33 885.375 1745.22
1301.32 885.976 1745.19
1301.33 885.826 1745.24
1301.32 886.426 1745.21
1301.32 886.276 1745.26
1301.3 886.877 1745.22
1301.31 886.727 1745.27
1301.29 887.177 1745.29
1301.34 885.075 1745.32
1301.34 884.925 1745.37
1301.33 885.526 1745.34
1301.33 885.375 1745.39
1301.32 885.976 1745.36
1301.32 885.826 1745.41
1301.31 886.426 1745.37
1301.32 886.276 1745.42
1301.3 886.877 1745.39
1301.3 886.727 1745.44
1301.29 887.327 1745.41
1301.29 887.177 1745.46
1301.28 887.628 1745.47
1301.33 885.075 1745.49
1301.33 884.925 1745.54
1301.33 885.526 1745.51
1301.33 885.375 1745.56
1301.32 885.976 1745.52
1301.32 885.826 1745.57
1301.31 886.426 1745.54
1301.31 886.276 1745.59
1301.3 886.877 1745.56
1301.3 886.727 1745.61
1301.29 887.327 1745.57
1301.29 887.177 1745.62
1301.27 887.778 1745.59
1301.28 887.628 1745.64
1301.26 888.078 1745.66
1301.33 885.075 1745.66
1301.33 884.925 1745.71
1301.33 885.526 1745.67
1301.33 885.375 1745.72
1301.32 885.976 1745.69
1301.32 885.826 1745.74
1301.31 886.426 1745.71
1301.31 886.276 1745.76
1301.3 886.877 1745.72
1301.3 886.727 1745.77
1301.28 887.327 1745.74
1301.29 887.177 1745.79
1301.27 887.778 1745.76
1301.27 887.628 1745.81
1301.25 888.228 1745.77
1301.26 888.078 1745.82
1301.24 888.529 1745.84
1301.33 885.075 1745.82
1301.33 884.925 1745.87
1301.32 885.526 1745.84
1301.32 885.375 1745.89
1301.32 885.976 1745.86
1301.32 885.826 1745.91
1301.31 886.426 1745.87
1301.31 886.276 1745.92
1301.29 886.877 1745.89
1301.3 886.727 1745.94
1301.28 887.327 1745.91
1301.29 887.177 1745.96
1301.27 887.778 1745.92
1301.27 887.628 1745.97
1301.25 888.228 1745.94
1301.25 888.078 1745.99
1301.23 888.679 1745.96
1301.24 888.529 1746.01
1301.22 888.979 1746.03
1301.33 885.075 1745.99
1301.33 884.925 1746.04
1301.32 885.526 1746.01
1301.32 885.375 1746.06
1301.31 885.976 1746.03
1301.32 885.826 1746.08
1301.3 886.426 1746.04
1301.31 886.276 1746.09
1301.29 886.877 1746.06
1301.3 886.727 1746.11
1301.28 887.327 1746.07
1301.28 887.177 1746.13
1301.26 887.778 1746.09
1301.27 887.628 1746.14
1301.25 888.228 1746.11
1301.25 888.078 1746.16
1301.23 888.679 1746.13
1301.23 888.529 1746.18
1301.21 889.129 1746.14
1301.21 888.979 1746.19
1301.19 889.429 1746.21
1301.32 885.075 1746.16
1301.33 884.925 1746.21
1301.32 885.526 1746.18
1301.32 885.375 1746.23
1301.31 885.976 1746.19
1301.31 885.826 1746.24
1301.3 886.426 1746.21
1301.3 886.276 1746.26
1301.29 886.877 1746.23
1301.29 886.727 1746.28
1301.28 887.327 1746.24
1301.28 887.177 1746.29
1301.26 887.778 1746.26
1301.27 887.628 1746.31
1301.24 888.228 1746.28
1301.25 888.078 1746.33
1301.23 888.679 1746.29
1301.23 888.529 1746.34
1301.21 889.129 1746.31
1301.21 888.979 1746.36
1301.18 889.58 1746.33
1301.19 889.429 1746.38
1301.17 889.88 1746.39
1301.32 885.075 1746.33
1301.32 884.925 1746.38
1301.32 885.526 1746.34
1301.32 885.375 1746.39
1301.31 885.976 1746.36
1301.31 885.826 1746.41
1301.3 886.426 1746.38
1301.3 886.276 1746.43
1301.29 886.877 1746.39
1301.29 886.727 1746.44
1301.27 887.327 1746.41
1301.28 887.177 1746.46
1301.26 887.778 1746.43
1301.26 887.628 1746.48
1301.24 888.228 1746.44
1301.25 888.078 1746.49
1301.22 888.679 1746.46
1301.23 888.529 1746.51
1301.2 889.129 1746.48
1301.21 888.979 1746.53
1301.18 889.58 1746.49
1301.19 889.429 1746.54
1301.16 890.03 1746.51
1301.16 889.88 1746.56
1301.14 890.33 1746.58
1301.32 885.075 1746.49
1301.32 884.925 1746.54
1301.31 885.526 1746.51
1301.32 885.375 1746.56
1301.31 885.976 1746.53
1301.31 885.826 1746.58
1301.3 886.426 1746.54
1301.3 886.276 1746.59
1301.29 886.877 1746.56
1301.29 886.727 1746.61
1301.27 887.327 1746.58
1301.28 887.177 1746.63
1301.26 887.778 1746.59
1301.26 887.628 1746.64
1301.24 888.228 1746.61
1301.25 888.078 1746.66
1301.22 888.679 1746.63
1301.23 888.529 1746.68
1301.2 889.129 1746.64
1301.21 888.979 1746.69
1301.18 889.58 1746.66
1301.19 889.429 1746.71
1301.15 890.03 1746.68
1301.16 889.88 1746.73
1301.13 890.48 1746.69
1301.14 890.33 1746.74
1301.11 890.781 1746.76
1301.32 885.075 1746.66
1301.32 884.925 1746.71
1301.31 885.526 1746.68
1301.31 885.375 1746.73
1301.3 885.976 1746.69
1301.31 885.826 1746.74
1301.29 886.426 1746.71
1301.3 886.276 1746.76
1301.28 886.877 1746.73
1301.29 886.727 1746.78
1301.27 887.327 1746.74
1301.27 887.177 1746.79
1301.25 887.778 1746.76
1301.26 887.628 1746.81
1301.24 888.228 1746.78
1301.24 888.078 1746.83
1301.22 888.679 1746.79
1301.22 888.529 1746.84
1301.2 889.129 1746.81
1301.2 888.979 1746.86
1301.18 889.58 1746.83
1301.18 889.429 1746.88
1301.15 890.03 1746.84
1301.16 889.88 1746.89
1301.13 890.48 1746.86
1301.13 890.33 1746.91
1301.1 890.931 1746.88
1301.11 890.781 1746.93
1301.08 891.231 1746.94
1301.32 885.075 1746.83
1301.32 884.925 1746.88
1301.31 885.526 1746.84
1301.31 885.375 1746.89
1301.3 885.976 1746.86
1301.3 885.826 1746.91
1301.29 886.426 1746.88
1301.29 886.276 1746.93
1301.28 886.877 1746.89
1301.28 886.727 1746.94
1301.27 887.327 1746.91
1301.27 887.177 1746.96
1301.25 887.778 1746.93
1301.26 887.628 1746.98
1301.24 888.228 1746.94
1301.24 888.078 1746.99
1301.22 888.679 1746.96
1301.22 888.529 1747.01
1301.2 889.129 1746.98
1301.2 888.979 1747.03
1301.17 889.58 1746.99
1301.18 889.429 1747.04
1301.15 890.03 1747.01
1301.16 889.88 1747.06
1301.12 890.48 1747.03
1301.13 890.33 1747.08
1301.09 890.931 1747.04
1301.1 890.781 1747.09
1301.06 891.381 1747.06
1301.07 891.231 1747.11
1301.04 891.682 1747.13
1301.31 885.075 1746.99
1301.31 884.925 1747.04
1301.31 885.526 1747.01
1301.31 885.375 1747.06
1301.3 885.976 1747.03
1301.3 885.826 1747.08
1301.29 886.426 1747.04
1301.29 886.276 1747.09
1301.28 886.877 1747.06
1301.28 886.727 1747.11
1301.26 887.327 1747.08
1301.27 887.177 1747.13
1301.25 887.778 1747.09
1301.25 887.628 1747.14
1301.23 888.228 1747.11
1301.24 888.078 1747.16
1301.21 888.679 1747.13
1301.22 888.529 1747.18
1301.19 889.129 1747.14
1301.2 888.979 1747.19
1301.17 889.58 1747.16
1301.18 889.429 1747.21
1301.15 890.03 1747.18
1301.15 889.88 1747.23
1301.12 890.48 1747.19
1301.13 890.33 1747.24
1301.09 890.931 1747.21
1301.1 890.781 1747.26
1301.06 891.381 1747.23
1301.07 891.231 1747.28
1301.03 891.832 1747.24
1301.04 891.682 1747.3
1301.01 892.132 1747.31
1301.31 885.075 1747.16
1301.31 884.925 1747.21
1301.3 885.526 1747.18
1301.31 885.375 1747.23
1301.3 885.976 1747.19
1301.3 885.826 1747.24
1301.29 886.426 1747.21
1301.29 886.276 1747.26
1301.28 886.877 1747.23
1301.28 886.727 1747.28
1301.26 887.327 1747.24
1301.27 887.177 1747.29
1301.25 887.778 1747.26
1301.25 887.628 1747.31
1301.23 888.228 1747.28
1301.24 888.078 1747.33
1301.21 888.679 1747.29
1301.22 888.529 1747.34
1301.19 889.129 1747.31
1301.2 888.979 1747.36
1301.17 889.58 1747.33
1301.18 889.429 1747.38
1301.14 890.03 1747.34
1301.15 889.88 1747.39
1301.12 890.48 1747.36
1301.13 890.33 1747.41
1301.09 890.931 1747.38
1301.1 890.781 1747.43
1301.06 891.381 1747.4
1301.07 891.231 1747.45
1301.03 891.832 1747.41
1301.04 891.682 1747.46
1300.99 892.282 1747.43
1301 892.132 1747.48
1300.97 892.583 1747.5
1301.31 885.075 1747.33
1301.31 884.925 1747.38
1301.3 885.526 1747.34
1301.3 885.375 1747.39
1301.29 885.976 1747.36
1301.3 885.826 1747.41
1301.29 886.426 1747.38
1301.29 886.276 1747.43
1301.27 886.877 1747.39
1301.28 886.727 1747.44
1301.26 887.327 1747.41
1301.26 887.177 1747.46
1301.25 887.778 1747.43
1301.25 887.628 1747.48
1301.23 888.228 1747.44
1301.23 888.078 1747.49
1301.21 888.679 1747.46
1301.21 888.529 1747.51
1301.19 889.129 1747.48
1301.19 888.979 1747.53
1301.17 889.58 1747.49
1301.17 889.429 1747.54
1301.14 890.03 1747.51
1301.15 889.88 1747.56
1301.12 890.48 1747.53
1301.12 890.33 1747.58
1301.09 890.931 1747.55
1301.1 890.781 1747.6
1301.06 891.381 1747.56
1301.07 891.231 1747.61
1301.02 891.832 1747.58
1301.03 891.682 1747.63
1300.99 892.282 1747.6
1301 892.132 1747.65
1300.96 892.733 1747.61
1300.97 892.583 1747.66
1300.93 893.033 1747.68
1301.31 885.075 1747.49
1301.31 884.925 1747.54
1301.3 885.526 1747.51
1301.3 885.375 1747.56
1301.29 885.976 1747.53
1301.29 885.826 1747.58
1301.28 886.426 1747.54
1301.29 886.276 1747.59
1301.27 886.877 1747.56
1301.27 886.727 1747.61
1301.26 887.327 1747.58
1301.26 887.177 1747.63
1301.24 887.778 1747.59
1301.25 887.628 1747.64
1301.23 888.228 1747.61
1301.23 888.078 1747.66
1301.21 888.679 1747.63
1301.21 888.529 1747.68
1301.19 889.129 1747.64
1301.19 888.979 1747.69
1301.16 889.58 1747.66
1301.17 889.429 1747.71
1301.14 890.03 1747.68
1301.15 889.88 1747.73
1301.11 890.48 1747.7
1301.12 890.33 1747.75
1301.08 890.931 1747.71
1301.09 890.781 1747.76
1301.05 891.381 1747.73
1301.06 891.231 1747.78
1301.02 891.832 1747.75
1301.03 891.682 1747.8
1300.99 892.282 1747.76
1301 892.132 1747.81
1300.95 892.733 1747.78
1300.96 892.583 1747.83
1300.92 893.183 1747.8
1300.93 893.033 1747.85
1300.89 893.483 1747.86
1301.3 885.075 1747.66
1301.3 884.925 1747.71
1301.3 885.526 1747.68
1301.3 885.375 1747.73
1301.29 885.976 1747.69
1301.29 885.826 1747.74
1301.28 886.426 1747.71
1301.28 886.276 1747.76
1301.27 886.877 1747.73
1301.27 886.727 1747.78
1301.26 887.327 1747.74
1301.26 887.177 1747.79
1301.24 887.778 1747.76
1301.24 887.628 1747.81
1301.22 888.228 1747.78
1301.23 888.078 1747.83
