x z pbsig pbstate
1299.83 1749.92 502.537 3
1299.85 1749.89 -76.7178 3
1300.16 1749.56 164.54 3
1300.22 1749.55 298.273 3
1300.15 1749.59 208.559 3
1300.19 1749.56 181.288 3
1300.16 1749.53 -434.187 3
1301.29 1746.05 354.07 3
1301.25 1746.04 1880.03 3
1301.29 1746.04 387.896 3
1296.74 1745 -262.99 3
1296.48 1748.25 -273.016 3
1301.15 1747.58 896.09 3
1301.09 1747.6 -201.544 3
1301.1 1747.55 442.337 3
1301.08 1747.55 603.643 3
1301.13 1747.57 65.4033 3
1300.2 1749.73 841.453 3
1299.39 1749.9 915.733 3
1299.35 1749.95 181.764 3
1299.39 1749.94 126.632 3
1299.4 1749.96 185.296 3
1299.4 1749.93 537.895 3
1299.36 1749.97 199.585 3
1300.93 1748.67 390.222 3
1300.96 1748.66 34.5458 3
1300.92 1748.6 508.138 3
1296.73 1744.94 -936.525 3
1296.7 1745.01 -676.553 3
1296.71 1744.94 -1580 3
1296.51 1745.88 -202.119 3
1296.57 1745.87 437.753 3
1296.58 1745.92 -268.684 3
1296.92 1748.88 -58.2085 3
1296.56 1747.95 716.888 3
1298.96 1749.96 -379.947 3
1297.16 1749.47 198.437 3
1297.12 1749.49 85.1967 3
1296.69 1746.09 -47.1645 3
1301.07 1745.49 40.0634 3
1301.12 1745.5 23.2776 3
1299.45 1749.98 47.1168 3
1296.6 1748.02 0.210044 3
1296.4 1747.13 33.8255 3
1297.6 1749.75 58.3619 3
1296.55 1746.38 180.969 3
1299.12 1750.1 135.481 3
1301.04 1746.68 442.6 3
1301.06 1746.57 280.721 3
1301.16 1746.84 -26.3403 3
1301.17 1746.88 1005.51 3
1296.53 1744.91 -23.9589 3
1301.21 1747.68 312.052 3
1301.04 1746.43 533.643 3
1297.72 1749.62 616.528 3
1301.14 1745.39 199.46 3
1296.66 1746.24 -145.032 3
1296.43 1745.07 79.8459 3
1296.46 1745.06 595.978 3
1297.85 1749.82 35.2009 3
