x z
1299.83 1749.89
1300.18 1749.56
1301.29 1746.05
1301.11 1747.57
1300.2 1749.69
1299.37 1749.93
1300.92 1748.65
1296.71 1744.97
1296.55 1745.89
1301.27 1747.17
1297.9 1749.93
1299.38 1750.05
1296.95 1748.86
1301 1747.53
1296.55 1746.73
1296.59 1747.92
1296.51 1748.27
1298.94 1749.99
1296.6 1748.73
1297.14 1749.49
1296.69 1746.06
1296.92 1748.94
1301.1 1745.49
1297.32 1749.6
1301.29 1746.24
1299.44 1750.08
1301.01 1748.86
1300.31 1749.37
1296.62 1746.55
1300.89 1749.06
1299.47 1749.96
1296.62 1748.03
1300.88 1745.16
1301.02 1746.72
1296.44 1748.15
1296.4 1747.15
1297.35 1749.6
1300.21 1749.45
1301.13 1748.56
1297.34 1749.38
1297.62 1749.74
1301.3 1745.1
1301.15 1748.23
1301.06 1748.58
1301.29 1745.93
1296.85 1745.17
1298.8 1750.18
1300.49 1749.56
1296.58 1746.37
1296.44 1748.23
1299.85 1749.83
1299.15 1750.08
1301.06 1746.71
1300.87 1745.13
1301.09 1748.46
1301.03 1746.56
1301.14 1746.85
1296.57 1744.91
1301.18 1747.67
1296.67 1747.85
1296.48 1746.08
1301.06 1746.46
1297.7 1749.61
1297.37 1749.73
1296.59 1746.85
1296.44 1747.77
1296.46 1745.77
1301.15 1745.66
1301.11 1745.36
1297.72 1749.79
1301.08 1748.31
1296.68 1746.28
1297.81 1749.7
1301.26 1747.64
1299.1 1750.14
1299.41 1749.84
1297.84 1749.71
1301.28 1746.65
1296.43 1745.08
1296.48 1746.24
1300.94 1748.84
1297.85 1749.83
1301.01 1746.68
1296.5 1746.28
1296.67 1748.48
1296.67 1746.71
1296.51 1748.46
1296.69 1745.86
1296.47 1747.73
1296.45 1745.17
1300.79 1749.11
1300.27 1749.57
1296.55 1746.34
1301.19 1745.09
1297.21 1749.48
1301.07 1747.39
1297.57 1749.75
1298.95 1750.02
1299.55 1749.81
1296.62 1747.23
1296.61 1747.81
1296.64 1745.77
1300.88 1748.98
1301.09 1745.14
1296.48 1747.79
1296.92 1749.12
1301.29 1745.93
1296.62 1748.3
1296.53 1747.33
1299.44 1750.01
1297.31 1749.5
1300.82 1748.68
1296.54 1746.91
1301.11 1745.94
1298.16 1749.9
1298.83 1749.93
1299.32 1749.96
1296.66 1745.19
1297.12 1749.17
1296.41 1746.94
1296.67 1747.42
1297.41 1749.77
1296.47 1747.25
1301.29 1745.49
1296.54 1746.6
1301.22 1747.11
1300.41 1749.52
1299.09 1750.12
1301.1 1745.78
1296.61 1744.91
1296.53 1745.35
1296.62 1745.57
1301.2 1746.44
1296.46 1747.16
1296.68 1746.38
1296.43 1745.37
1301.14 1745.49
1296.62 1747.85
1301.23 1747.53
1298.24 1750.14
1299.42 1750.12
1296.45 1746.79
1301.05 1745.3
1296.65 1748.88
1301.1 1746.22
1296.68 1746.07
1297.16 1749.28
1298.61 1749.91
1297.24 1749.44
1298.55 1749.99
1301.24 1745.71
1301.01 1746.65
1301.04 1746.76
1296.44 1746.93
1300.43 1749.23
1296.55 1748.14
1298.22 1750.03
1296.67 1746.98
1297.11 1749.49
1300.97 1748.06
1301.27 1747.33
1296.89 1749.01
1299.15 1750.18
1300.72 1748.84
1301.27 1747.29
1296.51 1747.65
1296.92 1749.27
1301.08 1746.79
1296.57 1748.15
1298.16 1749.85
1301.14 1746.08
1296.57 1747.02
1301.23 1745.41
1296.83 1748.57
1297.26 1749.53
1300.59 1749.44
1300.21 1749.55
1301.11 1745.74
1301.14 1747.96
1297 1749.2
1296.4 1747.21
1296.61 1746.96
1296.83 1744.91
1299.71 1750.03
1297.58 1749.57
1296.62 1748.64
1301.09 1745.88
1297.29 1749.68
1301.03 1745.49
1297.17 1749.56
1300.35 1749.42
1297.76 1749.72
1296.97 1749.26
1296.56 1748.61
1301.03 1745.57
1301 1747.29
1301.21 1745.84
1297.64 1749.59
1301.08 1746.83
1299.61 1749.78
1301.16 1746.73
1296.84 1749.12
1297.93 1749.8
1297.41 1749.66
1296.54 1746.27
1301.29 1745.46
1296.68 1746.18
1299.25 1749.94
1300 1749.59
1296.67 1746.58
1301.14 1745.57
1296.68 1746.09
1296.67 1747.26
1297.19 1749.56
1297.5 1749.57
1297.74 1749.63
1296.44 1747.85
1300.38 1749.37
1299.63 1749.9
1296.9 1749.14
1301.2 1747.26
1297.79 1749.97
1296.62 1748.37
1296.93 1748.85
1296.63 1746.62
1301.08 1748.71
1297.37 1749.65
1296.66 1747.5
1296.48 1746.28
1296.46 1748.36
1301.01 1746.03
1299.38 1750.07
1301.06 1745.7
1301.02 1745.77
1296.45 1746.72
1296.46 1745.03
1296.55 1744.98
1296.47 1747.95
1299.48 1749.83
1301.21 1747.37
1296.64 1747.52
1296.68 1746.56
1296.59 1745.17
1301.06 1747.06
1297.89 1749.92
1301.14 1745.37
1298.64 1750.21
1301.02 1746.07
1300.52 1749.14
1301.16 1747.51
1300.92 1748.68
1296.85 1748.84
1299.66 1749.99
1300.52 1749.13
1296.4 1746.67
1296.53 1746.45
1301.01 1746.4
1296.52 1746.38
1300.97 1748.29
1298.95 1749.95
1296.62 1747.81
1301.02 1746.55
1301.1 1745.71
1301.1 1746.35
1296.61 1748.11
1296.99 1748.91
1297.64 1749.68
1301.02 1745.64
1301.19 1747.11
1300.5 1749.54
1300.73 1748.97
1296.89 1749.07
1296.41 1746.89
1300.52 1749.3
1298.46 1750.18
1296.47 1747.61
1296.71 1748.78
1296.43 1746.42
1296.62 1747.42
1301.01 1746.83
1297.26 1749.6
1297.18 1749.45
1301.02 1745.85
1296.67 1745.22
1300.21 1749.68
1298.31 1749.99
1301.25 1747.95
1301.14 1746.16
1296.61 1746.58
1299.39 1749.87
1299.77 1749.91
1300.76 1749.21
1301.19 1746.17
1296.55 1747.92
1300.54 1749.37
1300.29 1749.52
1297.49 1749.76
1296.5 1746.28
1301.12 1747.51
1296.41 1746.69
1300.27 1749.73
1298.36 1750.02
1301.1 1745.51
1300.42 1749.41
1299.46 1750.05
1296.69 1746.13
1296.89 1748.86
1299.71 1750.04
1300.4 1749.45
1298.69 1750.01
1301.09 1746.58
1296.64 1745.27
1301.08 1746.92
1296.52 1746.02
1298.76 1749.99
1296.63 1746.03
1296.59 1746.73
1301.16 1746.59
1301.28 1746.72
1297.27 1749.58
1296.43 1745.18
1296.81 1749.14
1299.79 1749.95
1299.89 1749.82
1298.06 1750.08
1300.74 1749.08
1296.49 1746.84
1300.56 1749.08
1296.7 1745.24
1301.01 1746.54
1296.5 1745.15
1296.67 1746.98
1296.43 1745.1
1296.7 1748.39
1296.72 1748.72
1297.18 1749.58
