x y z dx dy dz
1278.57 937.489 1800.49 -0.541635 0.529478 -0.176817
1278.45 913.058 1802.38 -0.53474 0.535855 -0.172113
1277.25 949.092 1801.64 -0.545059 0.52738 -0.180975
1269.3 943.464 1795.71 -0.544539 0.524271 -0.172607
1268.05 954.943 1797.45 -0.54858 0.523049 -0.177238
1270.24 931.284 1795.89 -0.540579 0.527523 -0.169419
1260.02 949.803 1790.96 -0.547176 0.519141 -0.169419
1252.33 931.123 1786.34 -0.53927 0.520961 -0.158469
1253.04 919.488 1788.95 -0.535208 0.52475 -0.156852
1253.77 908.542 1792.24 -0.532486 0.529501 -0.156498
1254.58 897.715 1795.85 -0.529152 0.533426 -0.156521
1245.54 890.874 1793.65 -0.526254 0.533573 -0.152347
1255.27 886.549 1799.5 -0.526255 0.537083 -0.157462
1246.14 879.489 1797.35 -0.52291 0.536055 -0.153689
1255.74 875.187 1803.04 -0.523025 0.539539 -0.158243
1246.8 867.949 1801.01 -0.520909 0.539073 -0.154712
1247.5 856.469 1804.54 -0.518765 0.541519 -0.15647
1263.56 904.505 1797.85 -0.530915 0.533937 -0.162188
1265.28 882.142 1804.97 -0.525947 0.541362 -0.162891
1262.38 914.611 1794.65 -0.53409 0.529819 -0.161788
1264.8 893.717 1801.44 -0.528622 0.537723 -0.162631
1275.13 902.031 1803.46 -0.531202 0.53752 -0.169123
1279.18 925.389 1800.94 -0.53784 0.5328 -0.17424
1251.36 943.67 1785.04 -0.544238 0.517665 -0.161176
1260.92 937.425 1790.57 -0.542861 0.522435 -0.16533
1261.73 925.535 1792.11 -0.538107 0.526036 -0.163193
1271.25 919.382 1797.83 -0.537225 0.532198 -0.168624
1270.88 910.241 1799.57 -0.532861 0.53429 -0.16679
1279.01 849.672 1795.54 -0.516627 0.542862 -0.172078
1268.73 846.087 1790.72 -0.513516 0.539921 -0.167125
1271.67 857.387 1790.19 -0.517367 0.539189 -0.168018
1261.34 853.871 1785.54 -0.513889 0.536641 -0.163339
1264.24 865.156 1785.12 -0.517714 0.535675 -0.164389
1253.88 861.726 1780.63 -0.513825 0.533331 -0.159792
1251.03 850.382 1780.79 -0.509734 0.534027 -0.158769
1246.4 869.696 1775.9 -0.514026 0.529937 -0.156282
1282.06 860.904 1794.69 -0.519874 0.542027 -0.173719
1319.89 894.057 1803.49 -0.530202 0.549175 -0.199339
1323.05 905.217 1801.64 -0.533374 0.548262 -0.203672
1312.82 901.504 1797.25 -0.533103 0.544583 -0.195043
1315.82 912.588 1795.73 -0.53578 0.543423 -0.199448
1305.56 909.255 1791.38 -0.534965 0.539714 -0.191134
1248.68 944.227 1758.77 -0.535179 0.512209 -0.164011
1258.51 947.715 1764.16 -0.540321 0.514828 -0.170041
1255.88 936.001 1763.74 -0.534515 0.516073 -0.166143
1265.86 939.42 1768.34 -0.538716 0.518782 -0.171917
1263.09 927.598 1768.95 -0.534121 0.520102 -0.168197
1273.37 930.914 1772.93 -0.537441 0.523012 -0.174623
1269.76 918.952 1774 -0.533253 0.524397 -0.170401
1302.47 898.022 1793.19 -0.531682 0.541088 -0.187467
1308.28 920.582 1790.27 -0.537896 0.538384 -0.195463
1252.13 924.329 1764.83 -0.529707 0.517676 -0.16187
1275.65 942.844 1773.31 -0.542461 0.521722 -0.178546
1318.02 923.433 1794.84 -0.538621 0.542409 -0.203645
1295.12 905.926 1787.56 -0.533152 0.536649 -0.18387
1291.88 894.596 1789.6 -0.529847 0.537918 -0.180596
1299.19 886.833 1795.29 -0.528222 0.542245 -0.184417
1283.26 934.295 1777.14 -0.540185 0.52598 -0.181603
1285.04 946.146 1778.57 -0.545145 0.525076 -0.186276
1310.61 932.209 1790.4 -0.541344 0.537529 -0.200313
1277.13 954.374 1775.93 -0.547692 0.521123 -0.183413
1284.42 902.568 1784.27 -0.531264 0.533559 -0.177128
1281.1 891.183 1786.32 -0.52794 0.534991 -0.174063
1273.59 899.185 1781.24 -0.529177 0.530675 -0.170404
1331.54 946.388 1802.59 -0.542515 0.546695 -0.222833
1302.89 868.135 1803.33 -0.523214 0.547555 -0.185454
1270.32 887.77 1783.06 -0.525676 0.532747 -0.168035
1262.83 895.732 1778.16 -0.526715 0.528808 -0.164456
1287.67 914.088 1782.35 -0.534555 0.53197 -0.180443
1294.14 949.452 1784.13 -0.547035 0.528738 -0.193587
1300.71 929.13 1785.62 -0.540009 0.533819 -0.192123
1277.78 879.848 1788.05 -0.524702 0.536651 -0.171702
1299.59 856.957 1804.9 -0.520647 0.548777 -0.183392
1259.6 884.296 1779.53 -0.522327 0.530691 -0.162221
1331.16 934.415 1801.15 -0.540266 0.547046 -0.217756
1266.13 907.248 1776.07 -0.529651 0.526405 -0.167115
1255.32 903.554 1772.95 -0.526077 0.524589 -0.160442
1323.83 942.378 1797.89 -0.543106 0.542921 -0.214467
1258.53 915.198 1770.54 -0.52968 0.521701 -0.16352
1246.87 911.661 1766.59 -0.525269 0.519189 -0.157535
1302.91 941.167 1787.04 -0.544223 0.533138 -0.19721
1267.95 951.223 1769.88 -0.544676 0.517802 -0.176297
1276.99 910.706 1779.11 -0.532433 0.528902 -0.173476
1288.55 883.326 1791.64 -0.526457 0.539423 -0.177836
1306.28 879.281 1801.37 -0.526182 0.546576 -0.188306
1309.62 890.399 1799.25 -0.529251 0.545465 -0.191403
1335.27 921.857 1804.51 -0.536368 0.55078 -0.21758
1326.22 916.686 1800.44 -0.536666 0.547403 -0.208629
1295.82 875.656 1797.33 -0.525072 0.543577 -0.181593
1280.34 922.426 1777.47 -0.535899 0.527236 -0.177345
1298.11 917.387 1786.03 -0.536675 0.535091 -0.187584
1322.07 952.371 1799.48 -0.545545 0.541908 -0.217298
1313.87 944.821 1793.23 -0.544835 0.53802 -0.207244
1289.29 853.282 1800.27 -0.519071 0.545861 -0.177631
1249.28 880.939 1775.61 -0.518346 0.528714 -0.157316
1292.48 864.476 1799.04 -0.522005 0.54466 -0.179311
1285.24 872.099 1793.39 -0.523469 0.540748 -0.175357
1245.62 933.034 1759.14 -0.52988 0.513741 -0.160169
1274.71 868.606 1789.37 -0.520984 0.538055 -0.169829
1267.2 876.433 1784.35 -0.521681 0.534644 -0.166001
1290.61 925.811 1781.29 -0.538302 0.530457 -0.184568
1292.91 937.74 1781.76 -0.542421 0.529315 -0.188956
1256.72 873.044 1780.31 -0.518074 0.532154 -0.16077
1252.39 892.063 1774.8 -0.52248 0.526934 -0.158498
1303.37 953.258 1790.24 -0.548 0.53299 -0.202186
1326.07 925.806 1798.87 -0.538696 0.545737 -0.210744
1245.71 898.893 1770.09 -0.521786 0.523352 -0.155663
1320.01 933.461 1795.23 -0.54106 0.54186 -0.20823
1342.3 847.115 1769.82 -0.503975 0.541782 -0.205942
1334.49 854.317 1768.14 -0.506174 0.539791 -0.201523
1345.38 858.312 1767.72 -0.505914 0.540964 -0.208328
1336.77 865.823 1765.99 -0.508512 0.538723 -0.203648
1347.85 869.634 1765.62 -0.507967 0.54007 -0.210743
