id x y z
1 1250 850 1784.29
2 1350 850 1789.14
3 1250 950 1764.86
4 1350 950 1768.54
5 1250 850 1774.99
6 1350 850 1779.81
7 1250 950 1755.18
8 1350 950 1759.09
9 1250 850 1733.76
10 1350 850 1738.94
11 1250 950 1715
12 1350 950 1719.34
13 1250 850 1700
14 1250 950 1700
15 1350 850 1700
16 1350 950 1700
17 1250 850 1749.63
18 1250 950 1730.87
19 1350 850 1754.75
20 1295.91 850 1745.8
21 1293.27 850 1748.27
22 1295.91 850 1742.9
23 1290.63 850 1742.83
24 1290.62 850 1745.73
25 1350 950 1734.57
31 1250 850 1766.3
32 1250 950 1746.93
33 1350 850 1771.03
34 1350 950 1750.85
35 1278.8 950 1748.17
39 1272.44 950 1747.9
40 1278.87 950 1746.82
41 1272.49 950 1746.78
42 1291.05 850 1743.23
43 1291.05 850 1745.73
44 1295.49 850 1743.29
45 1291.05 850 1745.85
46 1295.49 850 1745.79
47 1291.06 850 1745.96
48 1295.48 850 1745.9
49 1291.08 850 1746.07
50 1295.47 850 1746.02
51 1291.1 850 1746.18
52 1295.46 850 1746.13
53 1291.13 850 1746.29
54 1295.44 850 1746.24
55 1291.16 850 1746.4
56 1295.41 850 1746.34
57 1291.2 850 1746.5
58 1295.37 850 1746.45
59 1291.25 850 1746.61
60 1295.33 850 1746.56
61 1291.3 850 1746.71
62 1295.29 850 1746.66
63 1291.35 850 1746.81
64 1295.24 850 1746.76
65 1291.42 850 1746.9
66 1295.18 850 1746.86
67 1291.49 850 1747
68 1295.12 850 1746.95
69 1291.56 850 1747.08
70 1295.05 850 1747.04
71 1291.64 850 1747.17
72 1294.98 850 1747.13
73 1291.72 850 1747.25
74 1294.9 850 1747.21
75 1291.81 850 1747.33
76 1294.82 850 1747.29
77 1291.9 850 1747.4
78 1294.73 850 1747.36
79 1291.99 850 1747.47
80 1294.64 850 1747.43
81 1292.09 850 1747.53
82 1294.54 850 1747.5
83 1292.19 850 1747.59
84 1294.44 850 1747.56
85 1292.3 850 1747.64
86 1294.34 850 1747.62
87 1292.4 850 1747.69
88 1294.24 850 1747.67
89 1292.51 850 1747.73
90 1294.13 850 1747.71
91 1292.63 850 1747.77
92 1294.02 850 1747.75
93 1292.74 850 1747.8
94 1293.91 850 1747.78
95 1292.86 850 1747.82
96 1293.79 850 1747.81
97 1292.97 850 1747.84
98 1293.68 850 1747.83
99 1293.09 850 1747.86
100 1293.56 850 1747.85
101 1293.21 850 1747.86
102 1293.44 850 1747.86
103 1293.33 850 1747.87
166 1272.35 950 1749.68
167 1275.43 950 1752.2
168 1278.73 950 1749.72
169 1278.3 950 1748.15
170 1278.34 950 1747.22
171 1272.99 950 1747.18
172 1272.95 950 1747.92
233 1272.86 950 1749.68
234 1272.86 950 1749.8
235 1272.87 950 1749.91
236 1272.88 950 1750.02
237 1272.9 950 1750.13
238 1272.93 950 1750.24
239 1272.97 950 1750.35
240 1273.01 950 1750.45
241 1273.06 950 1750.55
242 1273.12 950 1750.66
243 1273.18 950 1750.75
244 1273.26 950 1750.85
245 1273.33 950 1750.94
246 1273.42 950 1751.03
247 1273.51 950 1751.12
248 1273.61 950 1751.2
249 1273.71 950 1751.27
250 1273.81 950 1751.34
251 1273.93 950 1751.41
252 1274.04 950 1751.47
253 1274.16 950 1751.53
254 1274.29 950 1751.58
255 1274.42 950 1751.63
256 1274.55 950 1751.67
257 1274.68 950 1751.71
258 1274.82 950 1751.74
259 1274.96 950 1751.76
260 1275.1 950 1751.78
261 1275.24 950 1751.8
262 1275.38 950 1751.8
263 1275.53 950 1751.8
264 1275.67 950 1751.8
265 1275.81 950 1751.79
266 1275.95 950 1751.77
267 1276.09 950 1751.75
268 1276.23 950 1751.72
269 1276.37 950 1751.69
270 1276.5 950 1751.65
271 1276.64 950 1751.6
272 1276.76 950 1751.55
273 1276.89 950 1751.49
274 1277.01 950 1751.43
275 1277.13 950 1751.37
276 1277.24 950 1751.3
277 1277.35 950 1751.22
278 1277.45 950 1751.14
279 1277.55 950 1751.06
280 1277.64 950 1750.97
281 1277.73 950 1750.88
282 1277.81 950 1750.79
283 1277.88 950 1750.69
284 1277.95 950 1750.59
285 1278.01 950 1750.48
286 1278.06 950 1750.38
287 1278.11 950 1750.27
288 1278.14 950 1750.16
289 1278.18 950 1750.05
290 1278.2 950 1749.94
291 1278.22 950 1749.83
292 1278.23 950 1749.72
293 1250 850 1800
294 1250 950 1800
295 1350 850 1800
296 1350 950 1800
297 1253.85 850 1784.5
298 1257.69 850 1784.71
299 1261.53 850 1784.92
300 1265.38 850 1785.14
301 1269.22 850 1785.35
302 1273.07 850 1785.56
303 1276.91 850 1785.77
304 1280.76 850 1785.98
305 1284.6 850 1786.19
306 1288.45 850 1786.4
307 1292.3 850 1786.58
308 1296.14 850 1786.75
309 1299.99 850 1786.91
310 1303.84 850 1787.08
311 1307.68 850 1787.24
312 1311.53 850 1787.4
313 1315.38 850 1787.57
314 1319.23 850 1787.74
315 1323.07 850 1787.91
316 1326.92 850 1788.08
317 1330.77 850 1788.26
318 1334.61 850 1788.43
319 1338.46 850 1788.61
320 1342.31 850 1788.79
321 1346.15 850 1788.96
322 1250 853.821 1783.48
323 1250 857.642 1782.66
324 1250 861.462 1781.85
325 1250 865.283 1781.03
326 1250 869.104 1780.22
327 1250 872.925 1779.4
328 1250 876.745 1778.58
329 1250 880.567 1777.77
330 1250 884.395 1776.99
331 1250 888.233 1776.26
332 1250 892.076 1775.56
333 1250 895.918 1774.85
334 1250 899.76 1774.14
335 1250 903.602 1773.43
