x y z dx dy dz
1278.57 937.489 1800.49 -0.244815 0.186404 -0.0277211
1278.45 913.058 1802.38 -0.245551 0.201773 -0.0305811
1277.25 949.092 1801.64 -0.244606 0.180776 -0.0272687
1269.3 943.464 1795.71 -0.239643 0.181905 -0.029125
1268.05 954.943 1797.45 -0.242637 0.177361 -0.0290672
1270.24 931.284 1795.89 -0.237285 0.190143 -0.0298571
1260.02 949.803 1790.96 -0.235466 0.179981 -0.0327626
1252.33 931.123 1786.34 -0.226916 0.18777 -0.0344966
1253.04 919.488 1788.95 -0.227325 0.192563 -0.0338969
1253.77 908.542 1792.24 -0.231007 0.1995 -0.0331148
1254.58 897.715 1795.85 -0.231702 0.204851 -0.0331711
1245.54 890.874 1793.65 -0.227511 0.207214 -0.0356377
1255.27 886.549 1799.5 -0.23244 0.210971 -0.0330586
1246.14 879.489 1797.35 -0.229449 0.212936 -0.0347207
1255.74 875.187 1803.04 -0.233841 0.216186 -0.0333978
1246.8 867.949 1801.01 -0.229327 0.217846 -0.035349
1247.5 856.469 1804.54 -0.231352 0.222104 -0.0350256
1263.56 904.505 1797.85 -0.236558 0.203428 -0.0327491
1265.28 882.142 1804.97 -0.238546 0.214359 -0.0318205
1262.38 914.611 1794.65 -0.234091 0.196797 -0.0303654
1264.8 893.717 1801.44 -0.23835 0.20883 -0.0326153
1275.13 902.031 1803.46 -0.244305 0.205449 -0.0317081
1279.18 925.389 1800.94 -0.244521 0.195142 -0.0278855
1251.36 943.67 1785.04 -0.225954 0.183695 -0.0342261
1260.92 937.425 1790.57 -0.232251 0.18606 -0.0325007
1261.73 925.535 1792.11 -0.232399 0.19148 -0.0319255
1271.25 919.382 1797.83 -0.240719 0.198094 -0.0321886
1270.88 910.241 1799.57 -0.240251 0.201827 -0.0309809
1279.01 849.672 1795.54 -0.23234 0.222873 -0.0353061
1268.73 846.087 1790.72 -0.225376 0.222173 -0.0376501
1271.67 857.387 1790.19 -0.227167 0.218939 -0.0369248
1261.34 853.871 1785.54 -0.220784 0.218096 -0.0391388
1264.24 865.156 1785.12 -0.222913 0.214591 -0.0385613
1253.88 861.726 1780.63 -0.215707 0.214498 -0.0401832
1251.03 850.382 1780.79 -0.213864 0.217401 -0.0411613
1246.4 869.696 1775.9 -0.211818 0.210209 -0.0414858
1282.06 860.904 1794.69 -0.233356 0.219017 -0.0344721
1319.89 894.057 1803.49 -0.25005 0.217594 -0.0248936
1323.05 905.217 1801.64 -0.250703 0.214914 -0.0241635
1312.82 901.504 1797.25 -0.245197 0.212259 -0.0271542
1315.82 912.588 1795.73 -0.245622 0.209535 -0.0261541
1305.56 909.255 1791.38 -0.240314 0.207545 -0.0291128
1248.68 944.227 1758.77 -0.206011 0.184573 -0.0394248
1258.51 947.715 1764.16 -0.212628 0.185576 -0.037323
1255.88 936.001 1763.74 -0.211206 0.188148 -0.038383
1265.86 939.42 1768.34 -0.217008 0.189208 -0.036218
1263.09 927.598 1768.95 -0.21598 0.191946 -0.037033
1273.37 930.914 1772.93 -0.221037 0.19304 -0.0354667
1269.76 918.952 1774 -0.220206 0.195152 -0.0366188
1302.47 898.022 1793.19 -0.240142 0.210684 -0.0300382
1308.28 920.582 1790.27 -0.240472 0.205143 -0.0283505
1252.13 924.329 1764.83 -0.209917 0.190419 -0.0392817
1275.65 942.844 1773.31 -0.222515 0.190748 -0.0334558
1318.02 923.433 1794.84 -0.246425 0.207317 -0.0254297
1295.12 905.926 1787.56 -0.235104 0.205763 -0.0315821
1291.88 894.596 1789.6 -0.235434 0.208915 -0.0322477
1299.19 886.833 1795.29 -0.239766 0.213331 -0.0309681
1283.26 934.295 1777.14 -0.226101 0.194944 -0.0331575
1285.04 946.146 1778.57 -0.228923 0.192604 -0.0306554
1310.61 932.209 1790.4 -0.241346 0.203841 -0.0274746
1277.13 954.374 1775.93 -0.225179 0.18854 -0.0311494
1284.42 902.568 1784.27 -0.230377 0.204479 -0.0344531
1281.1 891.183 1786.32 -0.230456 0.207555 -0.035245
1273.59 899.185 1781.24 -0.225705 0.202736 -0.0366923
1331.54 946.388 1802.59 -0.252314 0.212227 -0.0199273
1302.89 868.135 1803.33 -0.244358 0.221697 -0.028915
1270.32 887.77 1783.06 -0.225895 0.206901 -0.0369304
1262.83 895.732 1778.16 -0.221514 0.20198 -0.0379803
1287.67 914.088 1782.35 -0.230161 0.201485 -0.033114
1294.14 949.452 1784.13 -0.234583 0.193777 -0.0281109
1300.71 929.13 1785.62 -0.235468 0.200884 -0.0298423
1277.78 879.848 1788.05 -0.230248 0.210888 -0.035845
1299.59 856.957 1804.9 -0.244328 0.224974 -0.0303211
1259.6 884.296 1779.53 -0.220434 0.20675 -0.0388877
1331.16 934.415 1801.15 -0.252235 0.212941 -0.0218165
1266.13 907.248 1776.07 -0.221463 0.198233 -0.03764
1255.32 903.554 1772.95 -0.21513 0.197949 -0.0392452
1323.83 942.378 1797.89 -0.248986 0.208302 -0.0218077
1258.53 915.198 1770.54 -0.214963 0.19454 -0.0382524
1246.87 911.661 1766.59 -0.209302 0.193224 -0.0401611
1302.91 941.167 1787.04 -0.237293 0.199728 -0.0279272
1267.95 951.223 1769.88 -0.218533 0.186956 -0.0344493
1276.99 910.706 1779.11 -0.225455 0.199546 -0.0358078
1288.55 883.326 1791.64 -0.234613 0.212249 -0.0338236
1306.28 879.281 1801.37 -0.244957 0.217656 -0.02879
1309.62 890.399 1799.25 -0.244937 0.215147 -0.0278435
1335.27 921.857 1804.51 -0.255066 0.218043 -0.0211559
1326.22 916.686 1800.44 -0.250986 0.213446 -0.0234746
1295.82 875.656 1797.33 -0.239604 0.216788 -0.0317984
1280.34 922.426 1777.47 -0.224869 0.197006 -0.0350683
1298.11 917.387 1786.03 -0.235291 0.202969 -0.0312756
1322.07 952.371 1799.48 -0.248053 0.206779 -0.0204525
1313.87 944.821 1793.23 -0.243749 0.203703 -0.0242233
1289.29 853.282 1800.27 -0.238543 0.224581 -0.0328037
1249.28 880.939 1775.61 -0.213807 0.206087 -0.0405745
1292.48 864.476 1799.04 -0.239402 0.220489 -0.0322179
1285.24 872.099 1793.39 -0.234382 0.215463 -0.0341981
1245.62 933.034 1759.14 -0.205156 0.186819 -0.0401518
1274.71 868.606 1789.37 -0.229349 0.21488 -0.0363042
1267.2 876.433 1784.35 -0.22481 0.211016 -0.0378051
1290.61 925.811 1781.29 -0.230014 0.198823 -0.032532
1292.91 937.74 1781.76 -0.231806 0.196923 -0.0304112
1256.72 873.044 1780.31 -0.218368 0.210787 -0.0397355
1252.39 892.063 1774.8 -0.215764 0.202209 -0.0393271
1303.37 953.258 1790.24 -0.240028 0.198095 -0.0247642
1326.07 925.806 1798.87 -0.24977 0.210921 -0.0232307
1245.71 898.893 1770.09 -0.21026 0.198498 -0.0402058
