x y z type diam age
1301.06 888.076 1747.78 1 0.0392868 3110.1
1301.04 888.06 1747.62 1 0.038202 3110.1
1301.02 888.06 1747.59 1 0.038202 3119.1
1300.93 887.863 1747.48 1 0.0421138 3127.1
1300.94 887.792 1747.49 1 0.0406658 3137.1
1300.93 887.83 1747.45 1 0.0370338 3150.1
1300.95 887.991 1747.52 1 0.0386414 3225.1
1300.98 887.977 1747.54 1 0.0404237 3229.1
1300.99 888.056 1747.56 1 0.0404237 3233.1
1300.99 888.041 1747.52 1 0.0404237 3234.1
1300.95 888.189 1747.58 1 0.0372405 3245.1
1300.96 888.195 1747.66 1 0.0428589 3251.1
1301.02 888.137 1747.72 1 0.0393976 3396.1
1300.7 887.923 1749.31 1 0.0370897 3789.1
1300.67 887.852 1749.29 1 0.0361329 3789.1
1300.68 887.966 1749.34 1 0.0396219 3790.1
1300.67 887.916 1749.27 1 0.0396219 3790.1
1300.71 887.973 1749.26 1 0.0365166 3790.1
1300.65 887.822 1749.27 1 0.0407784 3790.1
1300.69 887.847 1749.23 1 0.0407784 3790.1
1300.63 887.855 1749.28 1 0.0398974 3793.1
1300.95 888.165 1747.55 1 0.0379813 3820.1
1300.94 888.154 1747.51 1 0.0379813 3823.1
1300.95 888.197 1747.57 1 0.0379813 3833.1
1300.95 888.221 1747.6 1 0.0372405 3837.1
1300.95 888.191 1747.62 1 0.0372405 3843.1
1300.95 888.227 1747.63 1 0.0403634 3849.1
1301.01 888.163 1747.89 1 0.0393807 3932.1
1301.06 888.1 1747.92 1 0.0415223 4060.1
1301.02 888.118 1747.97 1 0.0415223 4062.1
1300.98 888.184 1747.91 1 0.0416633 4069.1
1300.92 888.185 1747.51 1 0.0360166 4071.1
1300.92 888.208 1747.54 1 0.0379813 4079.1
1301.01 887.945 1747.99 1 0.0380588 4083.1
1301.02 888.219 1747.79 1 0.0371228 4087.1
1301.01 888.266 1747.71 1 0.0413515 4095.1
1300.95 887.958 1747.45 1 0.0386414 4416.1
1300.97 887.695 1747.75 1 0.0402518 4450.1
1300.72 887.946 1749.28 2 0.0396219 3788.1
1300.77 887.941 1749.22 2 0.0380789 3788.1
1300.74 887.959 1749.24 2 0.0365166 3788.1
1300.71 887.899 1749.26 2 0.0407784 3789.1
