x y z type diam age
1301.06 888.076 1747.78 1 0.0392868 3110.1
1301.04 888.063 1747.62 1 0.038202 3110.1
1301.02 888.061 1747.59 1 0.038202 3119.1
1300.93 887.863 1747.48 1 0.0421138 3127.1
1300.94 887.793 1747.49 1 0.0406658 3137.1
1300.93 887.83 1747.45 1 0.0370338 3150.1
1300.95 887.992 1747.52 1 0.0386414 3225.1
1300.98 887.977 1747.54 1 0.0404237 3229.1
1300.99 888.056 1747.56 1 0.0404237 3233.1
1300.99 888.042 1747.52 1 0.0404237 3234.1
1300.95 888.189 1747.58 1 0.0372405 3245.1
1300.96 888.195 1747.66 1 0.0428589 3251.1
1301.01 888.136 1747.72 1 0.0393976 3396.1
1300.7 887.924 1749.31 1 0.0370897 3789.1
1300.67 887.853 1749.28 1 0.0361329 3789.1
1300.68 887.966 1749.34 1 0.0396219 3790.1
1300.67 887.916 1749.27 1 0.0396219 3790.1
1300.71 887.973 1749.26 1 0.0365166 3790.1
1300.65 887.82 1749.27 1 0.0407784 3790.1
1300.69 887.846 1749.23 1 0.0407784 3790.1
1300.63 887.855 1749.28 1 0.0398974 3793.1
1300.95 888.165 1747.55 1 0.0379813 3820.1
1300.94 888.153 1747.51 1 0.0379813 3823.1
1300.95 888.198 1747.57 1 0.0379813 3833.1
1300.95 888.222 1747.59 1 0.0372405 3837.1
1300.96 888.19 1747.62 1 0.0372405 3843.1
1300.95 888.227 1747.63 1 0.0403634 3849.1
1301.01 888.164 1747.9 1 0.0393807 3932.1
1301.06 888.1 1747.92 1 0.0415223 4060.1
1301.02 888.118 1747.97 1 0.0415223 4062.1
1300.98 888.184 1747.91 1 0.0416633 4069.1
1300.92 888.184 1747.51 1 0.0360166 4071.1
1300.92 888.209 1747.54 1 0.0379813 4079.1
1301.01 887.945 1747.99 1 0.0380588 4083.1
1301.02 888.221 1747.79 1 0.0371228 4087.1
1301.01 888.266 1747.71 1 0.0413515 4095.1
1300.95 887.958 1747.45 1 0.0386414 4416.1
1300.97 887.695 1747.75 1 0.0402518 4450.1
1296.65 909.76 1750.9 1 0.0373125 4614.1
1298.71 860.325 1746.52 1 0.0362871 4615.1
1297.16 909.576 1750.64 1 0.0377906 4616.1
1295.7 909.708 1751.13 1 0.038854 4618.1
1298.68 860.349 1746.52 1 0.0362871 4618.1
1295.57 909.645 1751.11 1 0.0365187 4622.1
1297.32 909.794 1750.45 1 0.0402094 4622.1
1297.11 909.749 1750.67 1 0.0368087 4623.1
1296.52 909.711 1750.98 1 0.0392067 4625.1
1297.69 909.705 1750.11 1 0.0365219 4625.1
1295.38 909.729 1751.11 1 0.0366665 4627.1
1295.57 909.606 1751.1 1 0.0365187 4628.1
1296.48 909.713 1750.95 1 0.0365209 4628.1
1297.52 909.561 1750.32 1 0.0364329 4629.1
1298.08 909.64 1749.34 1 0.0397618 4630.1
1297.35 909.709 1750.45 1 0.0371142 4630.1
1297.52 909.598 1750.33 1 0.0400882 4631.1
1295.6 909.606 1751.13 1 0.0365187 4631.1
1297.12 909.553 1750.64 1 0.0373684 4631.1
1295.51 909.847 1751.14 1 0.0388181 4631.1
1298.71 860.344 1746.37 1 0.0390986 4632.1
1295.34 909.715 1751.07 1 0.0366665 4633.1
1298.69 860.237 1746.49 1 0.036099 4633.1
1297.48 909.564 1750.33 1 0.0400882 4633.1
1298.72 860.368 1746.53 1 0.0362871 4635.1
1295.63 909.86 1751.14 1 0.0405095 4635.1
1298.68 860.348 1746.02 1 0.0379985 4636.1
1298.63 860.396 1747.37 1 0.0379385 4636.1
1298.67 860.398 1746.36 1 0.0363218 4636.1
1298.05 909.619 1749.36 1 0.0394962 4637.1
1295.37 909.689 1751.09 1 0.0366665 4638.1
1297.76 909.738 1749.95 1 0.0390518 4638.1
1298.05 909.599 1749.33 1 0.0397618 4640.1
1295.3 909.872 1751.12 1 0.0365714 4640.1
1298.68 860.348 1746.47 1 0.0362871 4641.1
1294.55 909.778 1750.9 1 0.037795 4642.1
1295.14 909.793 1751.07 1 0.0370792 4643.1
1298.71 860.321 1745.54 1 0.0382401 4644.1
1295.83 909.832 1751.1 1 0.0371181 4644.1
1297.92 909.594 1749.79 1 0.0404912 4644.1
1298.67 860.164 1746.32 1 0.0372045 4644.1
1297.25 860.365 1749.04 1 0.0386813 4645.1
1295.66 909.705 1751.1 1 0.0379971 4645.1
1298.69 860.378 1746.5 1 0.0362871 4646.1
1298.64 860.369 1747.34 1 0.0400217 4646.1
1296.92 860.367 1749.16 1 0.037869 4646.1
1297.86 909.578 1749.8 1 0.0377018 4646.1
1297.06 909.749 1750.66 1 0.0382263 4647.1
1297.59 909.712 1750.23 1 0.0435147 4647.1
1293.73 860.304 1746.48 1 0.0363717 4647.1
1296.63 909.729 1750.89 1 0.0384766 4648.1
1297.42 909.765 1750.37 1 0.0401712 4648.1
1298.62 860.4 1747.33 1 0.0360022 4648.1
1297.5 909.52 1750.33 1 0.0400882 4648.1
1295.59 909.872 1751.1 1 0.0377207 4648.1
1295.15 909.754 1751.05 1 0.0416635 4648.1
1294.51 909.784 1750.87 1 0.037795 4648.1
1297.66 860.386 1748.81 1 0.0360742 4650.1
1295.69 909.657 1751.08 1 0.0421678 4650.1
1298.66 860.142 1747 1 0.0377161 4651.1
1296.02 909.742 1751.1 1 0.0380103 4651.1
1295.06 909.711 1751.02 1 0.0430197 4651.1
1298.68 860.321 1745.83 1 0.0372572 4651.1
1296.3 909.768 1751.03 1 0.0391216 4652.1
1298.68 860.209 1746.46 1 0.0413677 4652.1
1298.15 909.665 1748.24 1 0.0419074 4652.1
1297.08 909.722 1750.65 1 0.0372886 4652.1
1297.39 909.789 1750.39 1 0.0401712 4652.1
1293.21 909.641 1746.75 1 0.0374111 4653.1
1297.68 860.355 1748.83 1 0.0364085 4653.1
1297.29 860.348 1749.05 1 0.0386813 4653.1
1298.73 860.411 1746.53 1 0.0379935 4653.1
1296.96 860.36 1749.15 1 0.037869 4653.1
1295.45 909.926 1751.14 1 0.0361818 4653.1
1295.66 909.67 1751.08 1 0.0386011 4654.1
1298.68 860.384 1746.33 1 0.0373326 4654.1
1297.71 909.67 1750.1 1 0.0365219 4655.1
1295 909.827 1751.06 1 0.0368025 4655.1
1294.31 909.718 1750.76 1 0.0380251 4655.1
1297.37 909.758 1750.38 1 0.0373439 4655.1
1298.72 860.375 1746.38 1 0.0366819 4655.1
1296.61 909.88 1750.91 1 0.0399313 4656.1
1295.99 909.762 1751.08 1 0.0420979 4656.1
1295.52 909.61 1751.09 1 0.0365187 4656.1
1297.8 860.253 1748.72 1 0.0376894 4656.1
1293.14 909.765 1748.91 1 0.0396833 4656.1
1298.3 860.266 1748.09 1 0.0365853 4657.1
1297.66 860.42 1748.82 1 0.0364085 4657.1
1296.29 909.877 1751.04 1 0.0421337 4657.1
1298.66 860.262 1746.48 1 0.0413677 4657.1
1293.54 909.738 1745.85 1 0.0396194 4657.1
1298.05 909.581 1749.36 1 0.0372945 4657.1
