x y z dx dy dz
1299.13 903.243 1745.6 0 0 0
1299.05 903.694 1745.62 0 0 0
1298.96 904.144 1745.64 0 0 0
1298.88 904.595 1745.65 0 0 0
1298.79 905.045 1745.67 0 0 0
1298.7 905.495 1745.69 0 0 0
1298.61 905.946 1745.7 0 0 0
1298.51 906.396 1745.72 0 0 0
1298.42 906.847 1745.74 0 0 0
1298.32 907.297 1745.76 0 0 0
1298.22 907.748 1745.77 0 0 0
1298.12 908.198 1745.79 0 0 0
1298.01 908.649 1745.81 0 0 0
1297.91 909.099 1745.82 0 0 0
1297.8 909.55 1745.84 0 0 0
1297.69 909.998 1745.86 -0.00128568 -0.002306 0.00038315
1299.03 905.045 1745.46 0 0 0
1298.94 905.495 1745.48 0 0 0
1298.85 905.946 1745.5 0 0 0
1298.75 906.396 1745.51 0 0 0
1298.66 906.847 1745.53 0 0 0
1298.56 907.297 1745.55 0 0 0
1298.46 907.748 1745.57 0 0 0
1298.36 908.198 1745.58 0 0 0
1298.25 908.649 1745.6 0 0 0
1298.14 909.099 1745.62 0 0 0
1298.04 909.55 1745.63 0 0 0
1297.92 909.998 1745.65 -0.000989333 -0.00236943 0.00033655
1298.81 907.297 1745.33 0 0 0
1298.71 907.748 1745.35 0 0 0
1298.61 908.198 1745.36 0 0 0
1298.5 908.649 1745.38 0 0 0
1298.39 909.099 1745.4 0 0 0
1298.29 909.55 1745.41 0 0 0
1298.18 909.997 1745.43 0.000550733 -0.00296535 9.05293e-05
1298.66 909.099 1745.16 0 0 0
1298.55 909.55 1745.18 0 0 0
1298.44 909.997 1745.2 0.00137602 -0.00334785 5.25309e-05
1299.13 904.144 1745.64 0 0 0
1299.05 904.595 1745.66 0 0 0
1298.96 905.045 1745.67 0 0 0
1298.87 905.495 1745.69 0 0 0
1298.78 905.946 1745.71 0 0 0
1298.68 906.396 1745.72 0 0 0
1298.59 906.847 1745.74 0 0 0
1298.49 907.297 1745.76 0 0 0
1298.39 907.748 1745.78 0 0 0
1298.29 908.198 1745.79 0 0 0
1298.18 908.649 1745.81 0 0 0
1298.08 909.099 1745.83 0 0 0
1297.97 909.55 1745.84 0 0 0
1297.86 909.998 1745.86 -0.00156199 -0.00214574 0.000397582
1299.09 905.495 1745.51 0 0 0
1299 905.946 1745.53 0 0 0
1298.91 906.396 1745.54 0 0 0
1298.81 906.847 1745.56 0 0 0
1298.71 907.297 1745.58 0 0 0
1298.61 907.748 1745.6 0 0 0
1298.51 908.198 1745.61 0 0 0
1298.4 908.649 1745.63 0 0 0
1298.3 909.099 1745.65 0 0 0
1298.19 909.55 1745.66 0 0 0
1298.08 909.997 1745.68 -0.000598489 -0.00257148 0.000233483
1298.95 907.297 1745.39 0 0 0
1298.85 907.748 1745.4 0 0 0
1298.74 908.198 1745.42 0 0 0
1298.64 908.649 1745.44 0 0 0
1298.53 909.099 1745.46 0 0 0
1298.42 909.55 1745.47 0 0 0
1298.31 909.997 1745.49 0.000912757 -0.00318136 1.53226e-05
1298.78 909.099 1745.25 0 0 0
1298.67 909.55 1745.27 0 0 0
1298.56 909.997 1745.29 0.00126077 -0.00339359 6.99721e-05
1299.21 904.595 1745.66 0 0 0
1299.13 905.045 1745.68 0 0 0
1299.04 905.495 1745.69 0 0 0
1298.95 905.946 1745.71 0 0 0
1298.85 906.396 1745.73 0 0 0
1298.76 906.847 1745.74 0 0 0
1298.66 907.297 1745.76 0 0 0
1298.56 907.748 1745.78 0 0 0
1298.46 908.198 1745.79 0 0 0
1298.35 908.649 1745.81 0 0 0
1298.25 909.099 1745.83 0 0 0
1298.14 909.55 1745.85 0 0 0
1298.03 909.997 1745.86 -0.000813415 -0.0025713 0.000233022
1299.06 906.396 1745.57 0 0 0
1298.96 906.847 1745.59 0 0 0
1298.87 907.297 1745.61 0 0 0
1298.76 907.748 1745.62 0 0 0
1298.66 908.198 1745.64 0 0 0
1298.56 908.649 1745.66 0 0 0
1298.45 909.099 1745.68 0 0 0
1298.34 909.55 1745.69 0 0 0
1298.23 909.997 1745.71 0.000521757 -0.00312126 -1.18079e-05
1298.98 907.748 1745.46 0 0 0
1298.88 908.198 1745.48 0 0 0
1298.78 908.649 1745.5 0 0 0
1298.67 909.099 1745.51 0 0 0
1298.56 909.55 1745.53 0 0 0
1298.45 909.997 1745.55 0.00100699 -0.00331139 2.08871e-05
1298.9 909.099 1745.34 0 0 0
1298.79 909.55 1745.36 0 0 0
1298.68 909.997 1745.38 0.00112691 -0.00343896 9.31244e-05
1299.21 905.495 1745.69 0 0 0
1299.11 905.946 1745.71 0 0 0
1299.02 906.396 1745.73 0 0 0
1298.92 906.847 1745.75 0 0 0
1298.83 907.297 1745.76 0 0 0
1298.73 907.748 1745.78 0 0 0
1298.62 908.198 1745.8 0 0 0
1298.52 908.649 1745.81 0 0 0
1298.41 909.099 1745.83 0 0 0
1298.31 909.55 1745.85 0 0 0
1298.2 909.997 1745.87 0.000389259 -0.00317694 -7.7439e-05
1299.12 906.847 1745.62 0 0 0
1299.02 907.297 1745.64 0 0 0
1298.92 907.748 1745.65 0 0 0
1298.82 908.198 1745.67 0 0 0
1298.71 908.649 1745.69 0 0 0
1298.61 909.099 1745.71 0 0 0
1298.5 909.55 1745.72 0 0 0
1298.39 909.997 1745.74 0.000731691 -0.00331329 -7.93593e-06
1299.02 908.198 1745.54 0 0 0
1298.92 908.649 1745.56 0 0 0
1298.81 909.099 1745.57 0 0 0
1298.7 909.55 1745.59 0 0 0
1298.59 909.997 1745.61 0.000754288 -0.00333655 6.45501e-05
1299.03 909.099 1745.43 0 0 0
1298.92 909.55 1745.45 0 0 0
1298.81 909.997 1745.47 0.00103072 -0.00348523 0.000109443
1299.29 905.045 1745.84 0 0 0
1299.21 905.495 1745.86 0 0 0
1299.11 905.946 1745.88 0 0 0
1299.02 906.396 1745.89 0 0 0
1298.92 906.847 1745.91 0 0 0
1298.83 907.297 1745.93 0 0 0
1298.73 907.748 1745.94 0 0 0
1298.63 908.198 1745.96 0 0 0
1298.52 908.649 1745.98 0 0 0
1298.42 909.099 1745.99 0 0 0
1298.31 909.55 1746.01 0 0 0
1298.2 909.997 1746.03 -0.000174976 -0.00306491 1.62693e-06
1299.31 905.946 1745.76 0 0 0
1299.21 906.396 1745.78 0 0 0
1299.12 906.847 1745.8 0 0 0
1299.02 907.297 1745.81 0 0 0
1298.92 907.748 1745.83 0 0 0
1298.82 908.198 1745.85 0 0 0
1298.71 908.649 1745.86 0 0 0
1298.61 909.099 1745.88 0 0 0
1298.5 909.55 1745.9 0 0 0
1298.39 909.997 1745.91 0.000232637 -0.00323526 7.09985e-06
1299.22 907.297 1745.69 0 0 0
1299.12 907.748 1745.71 0 0 0
1299.02 908.198 1745.73 0 0 0
1298.92 908.649 1745.74 0 0 0
1298.81 909.099 1745.76 0 0 0
1298.7 909.55 1745.78 0 0 0
1298.59 909.997 1745.79 0.000473499 -0.00333084 4.9704e-05
1299.13 908.649 1745.62 0 0 0
1299.03 909.099 1745.63 0 0 0
1298.92 909.55 1745.65 0 0 0
1298.81 909.997 1745.67 0.000686848 -0.00343898 9.79896e-05
1299.04 909.996 1745.53 0.000912715 -0.00356837 0.000148673
1299.46 904.144 1745.98 0 0 0
1299.38 904.595 1745.99 0 0 0
1299.29 905.045 1746.01 0 0 0
1299.2 905.495 1746.03 0 0 0
1299.11 905.946 1746.04 0 0 0
1299.02 906.396 1746.06 0 0 0
1298.92 906.847 1746.08 0 0 0
1298.82 907.297 1746.09 0 0 0
1298.72 907.748 1746.11 0 0 0
1298.62 908.198 1746.13 0 0 0
1298.52 908.649 1746.14 0 0 0
1298.41 909.099 1746.16 0 0 0
1298.3 909.55 1746.18 0 0 0
1298.19 909.997 1746.2 -0.000175732 -0.00326494 -0.000128997
1299.4 905.495 1745.93 0 0 0
1299.3 905.946 1745.94 0 0 0
1299.21 906.396 1745.96 0 0 0
1299.11 906.847 1745.98 0 0 0
1299.02 907.297 1745.99 0 0 0
1298.92 907.748 1746.01 0 0 0
1298.81 908.198 1746.03 0 0 0
1298.71 908.649 1746.04 0 0 0
1298.6 909.099 1746.06 0 0 0
1298.5 909.55 1746.08 0 0 0
1298.39 909.997 1746.1 -4.64157e-05 -0.00324843 -1.10329e-05
1299.32 906.847 1745.87 0 0 0
1299.22 907.297 1745.89 0 0 0
1299.12 907.748 1745.91 0 0 0
1299.02 908.198 1745.92 0 0 0
1298.91 908.649 1745.94 0 0 0
1298.81 909.099 1745.96 0 0 0
1298.7 909.55 1745.97 0 0 0
1298.59 909.997 1745.99 0.000195677 -0.00334273 3.2492e-05
1299.34 907.748 1745.79 0 0 0
1299.24 908.198 1745.81 0 0 0
1299.13 908.649 1745.83 0 0 0
1299.02 909.099 1745.84 0 0 0
1298.92 909.55 1745.86 0 0 0
1298.81 909.997 1745.88 0.000434698 -0.0034453 8.10525e-05
1299.25 909.099 1745.72 0 0 0
1299.14 909.55 1745.74 0 0 0
1299.03 909.996 1745.76 0.000615579 -0.00353606 0.000127309
1299.54 903.694 1746.13 0 0 0
1299.46 904.144 1746.14 0 0 0
1299.38 904.595 1746.16 0 0 0
1299.29 905.045 1746.18 0 0 0
1299.2 905.495 1746.19 0 0 0
1299.11 905.946 1746.21 0 0 0
1299.01 906.396 1746.23 0 0 0
1298.92 906.847 1746.25 0 0 0
1298.82 907.297 1746.26 0 0 0
1298.72 907.748 1746.28 0 0 0
1298.62 908.198 1746.3 0 0 0
1298.51 908.649 1746.31 0 0 0
1298.41 909.099 1746.33 0 0 0
1298.3 909.55 1746.35 0 0 0
1298.19 909.997 1746.36 -0.000633333 -0.00315019 -5.83592e-05
1299.48 905.045 1746.09 0 0 0
1299.39 905.495 1746.11 0 0 0
1299.3 905.946 1746.12 0 0 0
1299.21 906.396 1746.14 0 0 0
1299.11 906.847 1746.16 0 0 0
1299.01 907.297 1746.18 0 0 0
1298.91 907.748 1746.19 0 0 0
1298.81 908.198 1746.21 0 0 0
1298.71 908.649 1746.23 0 0 0
1298.6 909.099 1746.24 0 0 0
1298.49 909.55 1746.26 0 0 0
1298.38 909.997 1746.28 -0.000320264 -0.00327721 -3.55404e-05
1299.41 906.396 1746.05 0 0 0
1299.32 906.847 1746.07 0 0 0
