sector_deg yband sum_fn_N n_contacts
0 1 263218 584
0 2 -11819.7 922
0 3 33393.5 978
0 4 41383.8 865
0 5 27569.3 528
15 1 292181 543
15 2 6633.77 889
15 3 49228.6 992
15 4 -3161.85 908
15 5 58205.7 591
30 1 360507 513
30 2 -37482.1 834
30 3 -34463.1 951
30 4 -13238.5 906
30 5 208512 682
45 1 216061 491
45 2 -21402.5 780
45 3 -27099.2 956
45 4 -36106.6 890
45 5 438404 733
60 1 277862 474
60 2 -15518.1 697
60 3 37911.4 845
60 4 -38926.4 862
60 5 384967 788
75 1 290725 443
75 2 -38056.6 577
75 3 -104000 739
75 4 -33381.4 783
75 5 748426 797
90 1 105955 458
90 2 -2531.15 484
90 3 -4972.55 610
90 4 -19274.3 714
90 5 537956 781
105 1 326545 462
105 2 -4643.13 383
105 3 -6137.83 451
105 4 89.1182 629
105 5 607885 775
120 1 397194 452
120 2 -4666.67 341
120 3 -2602.15 326
120 4 -74547.8 522
120 5 233134 746
135 1 457576 494
135 2 -1893.53 281
135 3 -815.554 220
135 4 67164.6 420
135 5 271230 755
150 1 324991 537
150 2 468.028 242
150 3 -141.482 193
150 4 -11300.4 375
150 5 125303 717
165 1 360151 561
165 2 2746.76 240
165 3 332.342 159
165 4 6881.08 298
165 5 360654 655
180 1 242078 604
180 2 5940.95 252
180 3 511.387 166
180 4 4590.17 292
180 5 143995 652
195 1 253819 648
195 2 11605.9 282
195 3 370.8 172
195 4 2233.34 329
195 5 2.55482e+06 733
210 1 7.10453e+07 8866
210 2 28132.6 401
210 3 1321.63 235
210 4 2292.62 451
210 5 43967.8 469
225 1 6.05233e+07 29722
225 2 -89641.8 1010
225 3 5840.79 423
225 4 8686.06 656
225 5 5594.55 103
240 1 194432 7394
240 2 1.21169e+06 21061
240 3 23058.6 1494
240 4 25833.3 2279
240 5 0 0
255 1 0 0
255 2 804781 10954
255 3 3.37e+06 18329
255 4 10049.1 1158
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 7.16216e+07 4505
285 2 0 0
285 3 0 0
285 4 0 0
285 5 776638 7
300 1 4.92698e+07 25150
300 2 528.826 34
300 3 0 0
300 4 0 0
300 5 1.31457e+06 134
315 1 261072 14484
315 2 103724 27875
315 3 57949.9 9973
315 4 27339 1525
315 5 326505 604
330 1 105234 726
330 2 6769.89 2703
330 3 32521.7 7845
330 4 10446.6 1557
330 5 119983 587
345 1 290939 603
345 2 11292.6 923
345 3 -39364.1 986
345 4 -34230.4 887
345 5 -41467.1 535
