x y z type diam age
1296.39 886.982 1747.05 1 0.0375618 10727.1
1296.39 887.087 1747.12 1 0.0412676 10729.1
1296.38 886.921 1747.07 1 0.0375618 10729.1
1296.39 887.075 1747.04 1 0.0419902 10849.1
1301.03 888.069 1747.98 1 0.0415223 10869.1
1301.03 888.024 1748.04 1 0.0406243 10872.1
1301.01 888.143 1748 1 0.0421564 10899.1
1300.96 888.081 1748.04 1 0.0400794 10914.1
1300.96 888.06 1748 1 0.0427236 10919.1
1300.99 888.087 1747.98 1 0.0434492 10925.1
1301.07 888.174 1747.92 1 0.0416633 10927.1
1301.08 888.215 1747.93 1 0.0387306 10932.1
1301.05 888.203 1747.79 1 0.0360291 10935.1
1301.01 888.254 1747.75 1 0.0410586 10940.1
1301.01 888.292 1747.73 1 0.0363119 10947.1
1300.96 887.781 1747.95 1 0.0382426 10949.1
1300.96 887.808 1747.98 1 0.0371082 10959.1
1300.97 887.958 1748.03 1 0.0403597 11036.1
1300.94 888.254 1747.66 1 0.042365 11152.1
1300.92 888.216 1747.64 1 0.0372405 11165.1
1300.94 888.247 1747.62 1 0.0372405 11171.1
1300.92 888.232 1747.57 1 0.0372405 11175.1
1300.97 887.881 1748.02 1 0.038869 11186.1
1300.92 888.177 1747.63 1 0.0372405 11189.1
1300.94 887.959 1747.94 1 0.0361104 11215.1
1300.94 888.289 1747.68 1 0.0387588 11225.1
1300.92 887.919 1748.02 1 0.0393324 11243.1
1300.98 887.958 1747.96 1 0.0361104 11251.1
1301.07 888.096 1747.75 1 0.039381 11263.1
1299.63 902.505 1748.46 1 0.0372255 11378.1
1296.41 887.098 1747.17 1 0.0412676 11722.1
1296.39 887.121 1747.15 1 0.0389148 11723.1
1296.36 887.118 1747.12 1 0.0388323 11726.1
1296.39 886.961 1747.01 1 0.0390818 11879.1
1296.39 887.046 1747.21 1 0.0371789 11881.1
1296.42 887.008 1747.16 1 0.0398293 12119.1
1296.38 887.158 1747.16 1 0.0389148 12123.1
1296.38 887.104 1747.19 1 0.0412676 12124.1
1296.37 886.935 1747.16 1 0.0416855 12126.1
1296.41 887.042 1747.05 1 0.0427166 12160.1
1296.41 887.117 1747.11 1 0.0389148 12163.1
1296.43 887.111 1747.2 1 0.0428124 12163.1
1296.49 887.017 1747.11 1 0.042815 12163.1
1296.36 887.008 1747.21 1 0.0371789 12164.1
1296.44 887.071 1747.18 1 0.040507 12164.1
1296.45 887.049 1747.15 1 0.040507 12164.1
1296.44 887.045 1747.02 1 0.0428936 12164.1
1296.42 887.079 1747.01 1 0.0419902 12164.1
1296.44 887.085 1747.05 1 0.0427166 12165.1
1296.44 887.094 1747.12 1 0.0427166 12165.1
1296.45 887.071 1747.09 1 0.0427166 12165.1
1296.41 887.111 1747.04 1 0.0409046 12167.1
1296.4 886.913 1747.15 1 0.0400711 12167.1
1300.92 888.132 1747.56 1 0.0379813 12262.1
1296.4 886.933 1747.04 1 0.0390818 12616.1
1296.41 886.927 1747.1 1 0.0411875 12622.1
1296.42 886.909 1747.06 1 0.0385541 12630.1
1296.45 886.885 1747.09 1 0.03696 12650.1
1296.37 887.022 1747.25 1 0.0371789 13122.1
1296.39 887.187 1747.2 1 0.0389217 13122.1
1296.45 886.865 1747.04 1 0.0385541 13125.1
1296.4 886.937 1747.19 1 0.0400711 13586.1
1296.38 887.141 1747.05 1 0.0388323 13586.1
1296.41 886.965 1747.21 1 0.0370304 13588.1
1296.36 886.963 1746.98 1 0.0366614 13589.1
1296.37 887.055 1747.26 1 0.0370067 13590.1
1296.4 887.172 1747.08 1 0.0387539 13590.1
1296.39 886.9 1747.03 1 0.0385541 13590.1
1296.37 886.938 1747.1 1 0.0375618 13591.1
1296.46 887.036 1747.19 1 0.0366713 13592.1
1296.38 886.93 1746.97 1 0.0377661 13592.1
1296.38 887.082 1747.23 1 0.0371789 13644.1
1296.38 887.146 1747.1 1 0.0388323 13644.1
1296.36 887.071 1747.2 1 0.0371789 13646.1
1296.36 887.107 1747.04 1 0.0388323 13646.1
1301.06 888.029 1747.71 1 0.0422464 14072.1
1301.02 887.959 1747.93 1 0.0380588 14074.1
1301.06 888.042 1747.75 1 0.0392868 14078.1
1301.01 888.06 1748.04 1 0.0400794 14079.1
1301.06 888.004 1747.75 1 0.0376857 14118.1
1300.02 867.256 1745.99 1 0.0361432 14185.1
1300.01 867.286 1746 1 0.0361432 14185.1
1300.03 867.318 1746 1 0.0361432 14185.1
1299.99 867.316 1745.99 1 0.0361432 14189.1
1300 867.23 1745.97 1 0.0367273 14190.1
1299.98 867.297 1745.94 1 0.0403051 14190.1
1300.01 867.355 1745.91 1 0.0366293 14191.1
1300.01 867.371 1745.95 1 0.0403051 14191.1
1300.01 867.344 1745.98 1 0.0403051 14191.1
1300 867.408 1745.95 1 0.0404498 14200.1
1299.98 867.341 1746.02 1 0.0424651 14202.1
1299.97 867.226 1746 1 0.0367273 14209.1
1301.16 887.807 1747.76 1 0.0398146 14240.1
1296.4 886.89 1747.19 1 0.0400711 14374.1
1296.44 887.114 1747.02 1 0.0409046 14376.1
1296.36 887.186 1747.08 1 0.0388323 14377.1
1296.38 887.143 1747.21 1 0.0389217 14377.1
1296.36 886.944 1747.04 1 0.0375618 14377.1
1296.36 887.172 1747.04 1 0.0388323 14377.1
1296.39 886.898 1747 1 0.0373634 14385.1
