x y z dx dy dz
1299.13 903.243 1745.6 9.16149e-05 -0.000140553 -5.34026e-05
1299.05 903.694 1745.62 7.18899e-05 -0.000141182 -6.03104e-05
1298.96 904.144 1745.64 9.19715e-05 -0.000143552 -5.11632e-05
1298.88 904.594 1745.65 8.93455e-05 -0.000149046 -5.13939e-05
1298.79 905.045 1745.67 8.76294e-05 -0.000148644 -4.75056e-05
1298.7 905.495 1745.69 9.24118e-05 -0.000149344 -4.36882e-05
1298.61 905.946 1745.7 8.20026e-05 -0.000152331 -4.24997e-05
1298.51 906.396 1745.72 8.45393e-05 -0.000154227 -4.08375e-05
1298.42 906.847 1745.74 8.48074e-05 -0.000157012 -3.62508e-05
1298.32 907.297 1745.76 8.53753e-05 -0.000158457 -2.91702e-05
1298.22 907.748 1745.77 8.29222e-05 -0.000159089 -2.76789e-05
1298.12 908.198 1745.79 7.16208e-05 -0.000158745 -2.65963e-05
1298.01 908.648 1745.81 5.92547e-05 -0.000156306 -2.44944e-05
1297.91 909.099 1745.82 4.45504e-05 -0.000153362 -2.12011e-05
1297.8 909.549 1745.84 2.95427e-05 -0.000147449 -1.67317e-05
1297.69 910 1745.86 -6.42841e-05 -0.0001153 1.91575e-05
1299.03 905.045 1745.46 8.70968e-05 -0.000151587 -4.54477e-05
1298.94 905.495 1745.48 8.89192e-05 -0.000152978 -4.30425e-05
1298.85 905.946 1745.5 8.41221e-05 -0.000154413 -4.02781e-05
1298.75 906.396 1745.51 8.57769e-05 -0.000156681 -3.81721e-05
1298.66 906.847 1745.53 8.12726e-05 -0.000157781 -3.61341e-05
1298.56 907.297 1745.55 8.05476e-05 -0.000158959 -3.19398e-05
1298.46 907.748 1745.57 7.67279e-05 -0.000159849 -2.9553e-05
1298.36 908.198 1745.58 6.93266e-05 -0.000158723 -2.56899e-05
1298.25 908.648 1745.6 6.03651e-05 -0.000157077 -2.26265e-05
1298.14 909.099 1745.62 4.63398e-05 -0.000152737 -1.90516e-05
1298.04 909.549 1745.63 2.62325e-05 -0.000137594 -1.27903e-05
1297.93 910 1745.65 -4.94666e-05 -0.000118472 1.68275e-05
1298.81 907.297 1745.33 8.36045e-05 -0.000165357 -2.63274e-05
1298.71 907.748 1745.35 7.99841e-05 -0.000165255 -2.30395e-05
1298.61 908.198 1745.36 7.42126e-05 -0.000164487 -1.87318e-05
1298.5 908.648 1745.38 6.68422e-05 -0.000163122 -1.45e-05
1298.39 909.099 1745.4 5.67943e-05 -0.000159221 -9.37036e-06
1298.29 909.549 1745.41 4.46517e-05 -0.000148701 -2.67854e-06
1298.17 910 1745.43 2.75366e-05 -0.000148267 4.52647e-06
1298.66 909.099 1745.16 6.67838e-05 -0.000169533 -3.64277e-06
1298.55 909.549 1745.18 6.27164e-05 -0.000167505 2.02436e-06
1298.44 910 1745.2 6.8801e-05 -0.000167392 2.62654e-06
1299.13 904.144 1745.64 8.40095e-05 -0.000136944 -5.35735e-05
1299.05 904.594 1745.66 6.98949e-05 -0.00013977 -5.14305e-05
1298.96 905.045 1745.67 7.23907e-05 -0.000141914 -4.81052e-05
1298.87 905.495 1745.69 8.02517e-05 -0.000141808 -4.62936e-05
1298.78 905.946 1745.71 6.77738e-05 -0.000142207 -4.42974e-05
1298.68 906.396 1745.72 7.90023e-05 -0.000148232 -4.21728e-05
1298.59 906.847 1745.74 6.78065e-05 -0.000146963 -4.21805e-05
1298.49 907.297 1745.76 7.42792e-05 -0.000151075 -3.59317e-05
1298.39 907.748 1745.78 6.94794e-05 -0.00015346 -3.59761e-05
1298.29 908.198 1745.79 5.90883e-05 -0.000151468 -3.08695e-05
1298.18 908.648 1745.81 5.04412e-05 -0.000153149 -3.03755e-05
1298.08 909.099 1745.83 3.34335e-05 -0.000152038 -2.73737e-05
1297.97 909.549 1745.84 1.7522e-05 -0.000148792 -2.67963e-05
1297.86 910 1745.86 -7.80994e-05 -0.000107287 1.98791e-05
1299.09 905.495 1745.51 8.45913e-05 -0.00015063 -4.04849e-05
1299 905.946 1745.53 7.89093e-05 -0.000152117 -3.70922e-05
1298.91 906.396 1745.54 8.21179e-05 -0.000154596 -3.55716e-05
1298.81 906.847 1745.56 7.56545e-05 -0.000155491 -3.31117e-05
1298.71 907.297 1745.58 7.67555e-05 -0.00015668 -3.03722e-05
1298.61 907.748 1745.6 7.24913e-05 -0.000157493 -2.79599e-05
1298.51 908.198 1745.61 6.56903e-05 -0.000157044 -2.39056e-05
1298.4 908.648 1745.63 5.79787e-05 -0.000156156 -2.08004e-05
1298.3 909.099 1745.65 4.50333e-05 -0.000153546 -1.73413e-05
1298.19 909.549 1745.66 2.81277e-05 -0.000141161 -1.30673e-05
1298.08 910 1745.68 -2.99244e-05 -0.000128574 1.16741e-05
1298.95 907.297 1745.39 7.9212e-05 -0.00016468 -2.5037e-05
1298.85 907.748 1745.4 7.56986e-05 -0.00016459 -2.17643e-05
1298.74 908.198 1745.42 7.02541e-05 -0.000164322 -1.78246e-05
1298.64 908.648 1745.44 6.32904e-05 -0.000163474 -1.38038e-05
