sector_deg yband sum_fn_N n_contacts
0 1 -4486.06 584
0 2 -25006.7 922
0 3 113283 978
0 4 7352.38 865
0 5 -136693 528
15 1 -2179.24 543
15 2 -102894 889
15 3 37534.3 992
15 4 -64348.2 908
15 5 62913.8 591
30 1 26655.8 513
30 2 288767 834
30 3 59589.4 951
30 4 -13043.2 906
30 5 16778.8 682
45 1 58554.8 491
45 2 160891 780
45 3 198997 956
45 4 83926.2 890
45 5 -11502.5 733
60 1 89025.7 474
60 2 242424 697
60 3 331044 845
60 4 181428 862
60 5 52253.7 788
75 1 82010.9 443
75 2 195494 577
75 3 163155 739
75 4 228893 783
75 5 118217 797
90 1 139722 458
90 2 150182 484
90 3 190525 610
90 4 217154 714
90 5 192892 781
105 1 109773 462
105 2 99451.6 383
105 3 121537 451
105 4 175329 629
105 5 249203 775
120 1 126411 452
120 2 73034.8 341
120 3 60199 326
120 4 52503.1 522
120 5 248768 746
135 1 110561 494
135 2 50988.3 281
135 3 1526.51 220
135 4 140190 420
135 5 206518 755
150 1 95818.1 537
150 2 36178.2 242
150 3 -171277 193
150 4 28985.8 375
150 5 134869 717
165 1 78907.2 561
165 2 32317.5 240
165 3 -31019.8 159
165 4 17411.2 298
165 5 25489.2 655
180 1 52644.9 604
180 2 28565.6 252
180 3 359029 166
180 4 7101.56 292
180 5 1450.94 652
195 1 18889.9 647
195 2 19305.5 282
195 3 171665 172
195 4 2941.57 329
195 5 63863.9 733
210 1 57360 8866
210 2 23561.4 401
210 3 -144444 235
210 4 -168.542 451
210 5 43493.9 469
225 1 1.59871e+06 29719
225 2 -20445.7 1008
225 3 -113268 423
225 4 -12579.6 656
225 5 -16003.6 103
240 1 457357 7397
240 2 2.48539e+06 21056
240 3 103636 1493
240 4 311218 2279
240 5 0 0
255 1 0 0
255 2 1.7e+06 10962
255 3 5.1972e+06 18330
255 4 153363 1158
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 830583 4504
285 2 0 0
285 3 0 0
285 4 0 0
285 5 37065.8 7
300 1 3.9966e+06 25154
300 2 -154519 34
300 3 0 0
300 4 0 0
300 5 177851 134
315 1 4.58979e+06 14481
315 2 7.38344e+06 27877
315 3 3.01285e+06 9979
315 4 656793 1525
315 5 305331 604
330 1 -143382 727
330 2 2.05586e+06 2700
330 3 2.05702e+06 7839
330 4 314239 1557
330 5 94328.2 587
345 1 -59179.9 602
345 2 35007.6 923
345 3 -202904 986
345 4 -28471.9 887
345 5 8229.22 535
