x y z dx dy dz
1295.93 859.184 1748.62 0.00023337 0.00198538 -0.000549705
1295.98 859.378 1748.63 0.00025355 0.00196586 -0.000545879
1296.03 859.572 1748.64 0.000273727 0.0019469 -0.000541961
1296.07 859.766 1748.64 0.000294284 0.00192645 -0.000538031
1296.12 859.96 1748.65 0.000314517 0.00190775 -0.000534969
1296.16 860.155 1748.66 0.000335155 0.00188759 -0.000531514
1296.21 860.349 1748.67 0.000355399 0.00186851 -0.000528444
1296.25 860.543 1748.67 0.000376043 0.00184949 -0.000526019
1296.29 860.738 1748.68 0.000396626 0.00183004 -0.000523432
1296.34 860.932 1748.69 0.000417712 0.00181129 -0.000521839
1298.5 859.109 1746.15 0.00035851 0.0018837 -0.000778137
1298.54 859.305 1746.16 0.000380584 0.00186488 -0.000770429
1298.59 859.501 1746.16 0.000402467 0.00184609 -0.000761771
1298.63 859.697 1746.17 0.000424337 0.00182717 -0.000754271
1298.68 859.894 1746.18 0.000446906 0.00180969 -0.000746715
1298.72 860.091 1746.19 0.000468907 0.00179038 -0.00073848
1298.77 860.288 1746.19 0.000491047 0.00177177 -0.000730637
1298.81 860.485 1746.2 0.000512643 0.00175272 -0.000721258
1298.85 860.682 1746.21 0.000534571 0.00173526 -0.000713114
1298.9 860.879 1746.22 0.000555681 0.00171541 -0.000705313
1298.56 859.301 1743.25 0.000868199 0.00173508 -0.000641773
1298.67 859.797 1743.27 0.000919362 0.00169609 -0.000621717
1298.78 860.294 1743.29 0.000969164 0.00165883 -0.000597044
1298.89 860.79 1743.31 0.00101839 0.00162041 -0.000572844
1293.44 859.401 1743.19 0.000708903 0.00204121 0.000226049
1293.56 859.899 1743.21 0.000758234 0.00200162 0.000259575
1293.68 860.398 1743.23 0.000807081 0.001962 0.000291945
1293.79 860.897 1743.25 0.000853935 0.0019216 0.000322484
1293.35 859.078 1746.08 0.000223348 0.00209926 0.000126164
1293.39 859.273 1746.09 0.000239328 0.00208408 0.000140458
1293.44 859.469 1746.1 0.000254844 0.00206862 0.000154382
1293.49 859.665 1746.1 0.000270318 0.00205369 0.000167789
1293.54 859.862 1746.11 0.000285762 0.00203829 0.000182016
1293.58 860.058 1746.12 0.00030106 0.00202279 0.000195511
1293.63 860.255 1746.13 0.000316293 0.00200725 0.000209472
1293.68 860.452 1746.13 0.000331166 0.00199164 0.000223223
1293.72 860.648 1746.14 0.000345808 0.00197595 0.000237967
1293.77 860.845 1746.15 0.000360247 0.00196093 0.000251704
1298.41 909.06 1748.02 0.00172689 -0.00109073 -4.50533e-05
1298.36 909.257 1748.03 0.00173109 -0.00109746 -4.71651e-05
1298.31 909.455 1748.04 0.00173527 -0.00110438 -4.90817e-05
1298.26 909.652 1748.05 0.00173911 -0.00111117 -5.09494e-05
1298.22 909.85 1748.05 0.00174306 -0.00111809 -5.30049e-05
1298.17 910.047 1748.06 0.00174712 -0.00112515 -5.50456e-05
1298.12 910.245 1748.07 0.00175096 -0.00113175 -5.70715e-05
1298.07 910.441 1748.08 0.00175471 -0.00113853 -5.88971e-05
1298.02 910.638 1748.08 0.00175841 -0.00114546 -6.08448e-05
1297.97 910.834 1748.09 0.00176195 -0.00115214 -6.28466e-05
1298.48 909.008 1745.12 0.00339327 -0.000883114 0.000243832
1298.44 909.206 1745.13 0.00340059 -0.000887561 0.000242813
1298.39 909.404 1745.13 0.00340784 -0.000891853 0.00024244
1298.34 909.601 1745.14 0.00341396 -0.000895574 0.000240904
1298.29 909.799 1745.15 0.00342123 -0.000900041 0.000239716
1298.25 909.995 1745.16 0.00342804 -0.000903091 0.000238785
1298.2 910.193 1745.16 0.00343567 -0.000906515 0.000238242
1298.15 910.39 1745.17 0.00344287 -0.000909963 0.00023796
1298.1 910.588 1745.18 0.00344975 -0.000913371 0.000238034
1298.05 910.785 1745.19 0.0034567 -0.000916608 0.000237298
1298 910.983 1745.19 0.00346307 -0.00091997 0.000236442
1295.78 909.055 1750.49 0.00187561 -0.000983931 -8.21743e-06
1295.73 909.253 1750.5 0.00188262 -0.000991429 -1.28142e-05
1295.68 909.449 1750.51 0.00188886 -0.000998934 -1.70984e-05
1295.63 909.648 1750.51 0.00189548 -0.00100673 -2.12995e-05
1295.58 909.847 1750.52 0.0019019 -0.00101443 -2.53161e-05
1295.53 910.045 1750.53 0.00190802 -0.0010221 -2.91391e-05
1295.48 910.243 1750.54 0.00191402 -0.00102987 -3.26718e-05
1295.43 910.441 1750.55 0.00191976 -0.00103751 -3.61132e-05
1295.38 910.639 1750.55 0.00192523 -0.00104573 -3.92988e-05
1295.33 910.836 1750.56 0.00193035 -0.0010535 -4.21546e-05
1293.24 909.152 1747.96 0.00254777 -0.00100482 0.00070714
1293.13 909.581 1747.98 0.00256026 -0.0010219 0.00070597
1293.02 910.009 1747.99 0.0025725 -0.00103869 0.00070459
1292.91 910.437 1748.01 0.00258426 -0.00105568 0.000702649
1292.79 910.863 1748.03 0.00259593 -0.00107316 0.000700768
1293.33 909.06 1745.06 0.00357258 -0.000892112 0.000977647
1293.16 909.738 1745.08 0.00360337 -0.000912451 0.000972752
1292.98 910.416 1745.11 0.00363296 -0.000931402 0.000967724
1293.77 859.134 1746.08 0 0 0
1293.82 859.331 1746.09 0 0 0
1293.87 859.528 1746.1 0 0 0
1293.92 859.725 1746.11 0 0 0
1293.96 859.923 1746.11 0 0 0
1294.01 860.12 1746.12 0 0 0
1294.06 860.318 1746.13 0 0 0
1294.1 860.516 1746.14 0 0 0
1294.15 860.714 1746.14 0 0 0
1294.19 860.912 1746.15 0 0 0
1293.79 859.165 1743.59 0 0 0
1293.9 859.618 1743.61 0 0 0
1294.01 860.072 1743.62 0 0 0
1294.12 860.527 1743.64 0 0 0
1294.22 860.982 1743.66 0 0 0
1298.17 859.403 1743.65 0 0 0
1298.27 859.856 1743.67 0 0 0
1298.38 860.311 1743.69 0 0 0
1298.48 860.765 1743.71 0 0 0
1293.75 859.036 1746.2 0 0 0
1293.8 859.23 1746.21 0 0 0
1293.85 859.426 1746.21 0 0 0
1293.89 859.621 1746.22 0 0 0
1293.94 859.816 1746.23 0 0 0
1293.99 860.012 1746.24 0 0 0
1294.03 860.207 1746.24 0 0 0
1294.08 860.403 1746.25 0 0 0
1294.12 860.598 1746.26 0 0 0
1294.17 860.794 1746.27 0 0 0
1294.21 860.989 1746.27 0 0 0
1298.1 859.167 1746.14 0 0 0
1298.15 859.365 1746.15 0 0 0
1298.19 859.562 1746.16 0 0 0
1298.24 859.76 1746.16 0 0 0
1298.28 859.958 1746.17 0 0 0
1298.33 860.156 1746.18 0 0 0
1298.37 860.354 1746.19 0 0 0
1298.42 860.552 1746.19 0 0 0
1298.46 860.75 1746.2 0 0 0
1298.5 860.949 1746.21 0 0 0
1293.76 859.025 1746.31 0 0 0
1293.8 859.22 1746.32 0 0 0
1293.85 859.415 1746.32 0 0 0
1293.9 859.61 1746.33 0 0 0
1293.95 859.805 1746.34 0 0 0
1293.99 860 1746.35 0 0 0
1294.04 860.195 1746.35 0 0 0
1294.08 860.39 1746.36 0 0 0
1294.13 860.585 1746.37 0 0 0
1294.17 860.781 1746.38 0 0 0
1294.22 860.976 1746.38 0 0 0
1298.09 859.148 1746.26 0 0 0
1298.14 859.345 1746.26 0 0 0
1298.18 859.542 1746.27 0 0 0
1298.23 859.739 1746.28 0 0 0
1298.27 859.936 1746.29 0 0 0
1298.32 860.134 1746.3 0 0 0
1298.36 860.332 1746.3 0 0 0
1298.41 860.53 1746.31 0 0 0
1298.45 860.728 1746.32 0 0 0
1298.49 860.925 1746.33 0 0 0
1293.77 859.015 1746.42 0 0 0
1293.82 859.21 1746.43 0 0 0
1293.86 859.404 1746.43 0 0 0
1293.91 859.599 1746.44 0 0 0
1293.96 859.794 1746.45 0 0 0
1294 859.989 1746.46 0 0 0
1294.05 860.183 1746.46 0 0 0
1294.1 860.378 1746.47 0 0 0
1294.14 860.573 1746.48 0 0 0
1294.19 860.768 1746.49 0 0 0
1294.23 860.964 1746.49 0 0 0
1298.08 859.144 1746.37 0 0 0
1298.13 859.341 1746.38 0 0 0
1298.17 859.538 1746.38 0 0 0
1298.22 859.735 1746.39 0 0 0
1298.26 859.933 1746.4 0 0 0
1298.31 860.13 1746.41 0 0 0
1298.35 860.328 1746.41 0 0 0
1298.4 860.526 1746.42 0 0 0
1298.44 860.724 1746.43 0 0 0
1298.48 860.921 1746.44 0 0 0
1293.79 859.006 1746.53 0 0 0
1293.84 859.201 1746.54 0 0 0
1293.88 859.395 1746.54 0 0 0
1293.93 859.59 1746.55 0 0 0
1293.98 859.784 1746.56 0 0 0
1294.02 859.979 1746.57 0 0 0
1294.07 860.174 1746.57 0 0 0
1294.11 860.368 1746.58 0 0 0
1294.16 860.563 1746.59 0 0 0
1294.2 860.758 1746.6 0 0 0
1294.25 860.953 1746.6 0 0 0
1298.06 859.133 1746.48 0 0 0
1298.11 859.33 1746.49 0 0 0
1298.15 859.527 1746.49 0 0 0
1298.2 859.724 1746.5 0 0 0
1298.25 859.921 1746.51 0 0 0
1298.29 860.118 1746.52 0 0 0
1298.33 860.316 1746.52 0 0 0
1298.38 860.513 1746.53 0 0 0
1298.42 860.711 1746.54 0 0 0
1298.47 860.908 1746.55 0 0 0
1293.86 859.193 1746.65 0 0 0
1293.91 859.387 1746.65 0 0 0
1293.96 859.582 1746.66 0 0 0
1294 859.776 1746.67 0 0 0
1294.05 859.971 1746.68 0 0 0
1294.09 860.165 1746.68 0 0 0
1294.14 860.36 1746.69 0 0 0
1294.18 860.554 1746.7 0 0 0
1294.23 860.749 1746.71 0 0 0
1294.27 860.944 1746.71 0 0 0
1298.02 859.037 1746.58 0 0 0
1298.06 859.231 1746.59 0 0 0
1298.11 859.426 1746.6 0 0 0
1298.16 859.621 1746.61 0 0 0
1298.2 859.816 1746.61 0 0 0
1298.24 860.012 1746.62 0 0 0
1298.29 860.207 1746.63 0 0 0
1298.33 860.402 1746.64 0 0 0
1298.38 860.597 1746.64 0 0 0
1298.42 860.793 1746.65 0 0 0
1298.46 860.988 1746.66 0 0 0
1293.89 859.186 1746.75 0 0 0
1293.94 859.38 1746.76 0 0 0
1293.99 859.575 1746.77 0 0 0
1294.03 859.769 1746.78 0 0 0
1294.08 859.963 1746.78 0 0 0
1294.12 860.158 1746.79 0 0 0
1294.17 860.352 1746.8 0 0 0
1294.22 860.547 1746.81 0 0 0
1294.26 860.741 1746.81 0 0 0
1294.3 860.936 1746.82 0 0 0
1298.01 859.103 1746.7 0 0 0
1298.05 859.299 1746.7 0 0 0
1298.1 859.495 1746.71 0 0 0
1298.14 859.692 1746.72 0 0 0
1298.19 859.888 1746.73 0 0 0
1298.23 860.085 1746.73 0 0 0
1298.28 860.281 1746.74 0 0 0
1298.32 860.478 1746.75 0 0 0
1298.36 860.674 1746.76 0 0 0
1298.41 860.871 1746.76 0 0 0
1293.9 859.068 1746.85 0 0 0
1293.95 859.264 1746.86 0 0 0
1294 859.46 1746.87 0 0 0
1294.04 859.656 1746.88 0 0 0
1294.09 859.852 1746.88 0 0 0
1294.14 860.048 1746.89 0 0 0
1294.18 860.244 1746.9 0 0 0
1294.23 860.44 1746.91 0 0 0
1294.27 860.636 1746.91 0 0 0
1294.32 860.832 1746.92 0 0 0
1297.97 859.094 1746.8 0 0 0
1298.02 859.291 1746.81 0 0 0
1298.06 859.487 1746.82 0 0 0
1298.11 859.683 1746.82 0 0 0
1298.15 859.879 1746.83 0 0 0
1298.2 860.075 1746.84 0 0 0
1298.24 860.272 1746.85 0 0 0
1298.29 860.468 1746.85 0 0 0
1298.33 860.665 1746.86 0 0 0
1298.37 860.861 1746.87 0 0 0
1293.95 859.07 1746.96 0 0 0
1293.99 859.266 1746.97 0 0 0
1294.04 859.461 1746.97 0 0 0
1294.09 859.657 1746.98 0 0 0
1294.14 859.853 1746.99 0 0 0
1294.18 860.049 1747 0 0 0
1294.23 860.245 1747 0 0 0
1294.27 860.441 1747.01 0 0 0
1294.32 860.637 1747.02 0 0 0
1294.36 860.834 1747.03 0 0 0
1297.93 859.088 1746.91 0 0 0
1297.98 859.284 1746.91 0 0 0
1298.02 859.48 1746.92 0 0 0
1298.07 859.676 1746.93 0 0 0
1298.11 859.872 1746.94 0 0 0
1298.16 860.069 1746.94 0 0 0
1298.2 860.265 1746.95 0 0 0
1298.24 860.461 1746.96 0 0 0
1298.29 860.657 1746.97 0 0 0
1298.33 860.854 1746.97 0 0 0
1294.02 859.188 1747.06 0 0 0
1294.07 859.382 1747.07 0 0 0
1294.12 859.576 1747.08 0 0 0
1294.17 859.77 1747.09 0 0 0
1294.21 859.965 1747.09 0 0 0
1294.26 860.159 1747.1 0 0 0
1294.3 860.354 1747.11 0 0 0
1294.35 860.548 1747.12 0 0 0
1294.39 860.743 1747.12 0 0 0
1294.44 860.938 1747.13 0 0 0
1297.88 859.084 1747.01 0 0 0
1297.93 859.28 1747.02 0 0 0
1297.98 859.476 1747.02 0 0 0
1298.02 859.672 1747.03 0 0 0
1298.07 859.868 1747.04 0 0 0
1298.11 860.064 1747.05 0 0 0
1298.15 860.26 1747.05 0 0 0
1298.2 860.457 1747.06 0 0 0
1298.24 860.653 1747.07 0 0 0
1298.29 860.849 1747.08 0 0 0
1294.04 859.006 1747.16 0 0 0
1294.08 859.201 1747.16 0 0 0
1294.13 859.395 1747.17 0 0 0
1294.18 859.589 1747.18 0 0 0
1294.22 859.784 1747.19 0 0 0
1294.27 859.978 1747.19 0 0 0
1294.32 860.173 1747.2 0 0 0
1294.36 860.368 1747.21 0 0 0
1294.41 860.562 1747.21 0 0 0
1294.45 860.757 1747.22 0 0 0
1294.5 860.952 1747.23 0 0 0
1297.83 859.086 1747.11 0 0 0
1297.88 859.282 1747.12 0 0 0
1297.93 859.477 1747.12 0 0 0
1297.97 859.673 1747.13 0 0 0
1298.02 859.869 1747.14 0 0 0
1298.06 860.066 1747.15 0 0 0
1298.1 860.262 1747.15 0 0 0
1298.15 860.458 1747.16 0 0 0
1298.19 860.654 1747.17 0 0 0
1298.23 860.85 1747.18 0 0 0
1294.1 859.02 1747.25 0 0 0
1294.15 859.215 1747.26 0 0 0
1294.19 859.409 1747.27 0 0 0
1294.24 859.604 1747.27 0 0 0
1294.29 859.799 1747.28 0 0 0
1294.33 859.994 1747.29 0 0 0
1294.38 860.189 1747.3 0 0 0
1294.43 860.384 1747.3 0 0 0
1294.47 860.579 1747.31 0 0 0
1294.52 860.774 1747.32 0 0 0
1294.56 860.969 1747.33 0 0 0
1297.78 859.09 1747.21 0 0 0
1297.82 859.286 1747.21 0 0 0
1297.87 859.482 1747.22 0 0 0
1297.92 859.678 1747.23 0 0 0
1297.96 859.874 1747.24 0 0 0
1298.01 860.07 1747.24 0 0 0
1298.05 860.266 1747.25 0 0 0
1298.09 860.462 1747.26 0 0 0
1298.14 860.659 1747.27 0 0 0
1298.18 860.855 1747.27 0 0 0
1294.17 859.04 1747.34 0 0 0
1294.22 859.235 1747.35 0 0 0
1294.27 859.43 1747.36 0 0 0
1294.31 859.625 1747.37 0 0 0
1294.36 859.82 1747.37 0 0 0
1294.41 860.016 1747.38 0 0 0
1294.45 860.211 1747.39 0 0 0
1294.5 860.406 1747.4 0 0 0
1294.54 860.602 1747.4 0 0 0
1294.59 860.798 1747.41 0 0 0
1294.63 860.993 1747.42 0 0 0
1297.72 859.097 1747.3 0 0 0
1297.76 859.293 1747.31 0 0 0
1297.81 859.49 1747.32 0 0 0
1297.86 859.686 1747.32 0 0 0
1297.9 859.882 1747.33 0 0 0
1297.95 860.078 1747.34 0 0 0
1297.99 860.275 1747.35 0 0 0
1298.03 860.471 1747.35 0 0 0
1298.08 860.668 1747.36 0 0 0
1298.12 860.864 1747.37 0 0 0
1294.25 859.07 1747.43 0 0 0
1294.3 859.265 1747.44 0 0 0
1294.34 859.461 1747.45 0 0 0
1294.39 859.657 1747.46 0 0 0
1294.44 859.853 1747.46 0 0 0
1294.48 860.049 1747.47 0 0 0
1294.53 860.245 1747.48 0 0 0
1294.57 860.441 1747.49 0 0 0
1294.62 860.637 1747.49 0 0 0
1294.66 860.833 1747.5 0 0 0
1297.64 859.026 1747.39 0 0 0
1297.68 859.22 1747.4 0 0 0
1297.73 859.415 1747.4 0 0 0
1297.77 859.61 1747.41 0 0 0
1297.82 859.804 1747.42 0 0 0
1297.86 859.999 1747.43 0 0 0
1297.91 860.194 1747.43 0 0 0
1297.95 860.389 1747.44 0 0 0
1297.99 860.584 1747.45 0 0 0
1298.04 860.779 1747.46 0 0 0
1298.08 860.974 1747.46 0 0 0
1294.31 859.016 1747.52 0 0 0
1294.36 859.211 1747.53 0 0 0
1294.41 859.405 1747.53 0 0 0
1294.45 859.6 1747.54 0 0 0
1294.5 859.795 1747.55 0 0 0
1294.54 859.989 1747.56 0 0 0
1294.59 860.184 1747.56 0 0 0
1294.64 860.379 1747.57 0 0 0
1294.68 860.574 1747.58 0 0 0
1294.73 860.769 1747.58 0 0 0
1294.77 860.964 1747.59 0 0 0
1297.57 859.043 1747.48 0 0 0
1297.61 859.238 1747.48 0 0 0
1297.66 859.433 1747.49 0 0 0
1297.71 859.628 1747.5 0 0 0
1297.75 859.823 1747.51 0 0 0
1297.79 860.019 1747.51 0 0 0
1297.84 860.214 1747.52 0 0 0
1297.88 860.409 1747.53 0 0 0
1297.93 860.604 1747.54 0 0 0
1297.97 860.8 1747.54 0 0 0
1298.01 860.995 1747.55 0 0 0
1294.4 859.059 1747.6 0 0 0
1294.45 859.255 1747.61 0 0 0
1294.5 859.45 1747.62 0 0 0
1294.54 859.646 1747.62 0 0 0
1294.59 859.841 1747.63 0 0 0
1294.64 860.037 1747.64 0 0 0
1294.68 860.233 1747.65 0 0 0
1294.73 860.428 1747.65 0 0 0
1294.77 860.624 1747.66 0 0 0
1294.82 860.82 1747.67 0 0 0
1297.5 859.067 1747.56 0 0 0
1297.54 859.263 1747.57 0 0 0
1297.59 859.458 1747.58 0 0 0
1297.64 859.654 1747.58 0 0 0
1297.68 859.85 1747.59 0 0 0
1297.72 860.045 1747.6 0 0 0
1297.77 860.241 1747.61 0 0 0
1297.81 860.437 1747.61 0 0 0
1297.86 860.633 1747.62 0 0 0
1297.9 860.828 1747.63 0 0 0
1294.48 859.021 1747.68 0 0 0
1294.52 859.215 1747.68 0 0 0
1294.57 859.41 1747.69 0 0 0
1294.62 859.605 1747.7 0 0 0
1294.66 859.8 1747.71 0 0 0
1294.71 859.994 1747.71 0 0 0
1294.76 860.189 1747.72 0 0 0
1294.8 860.384 1747.73 0 0 0
1294.85 860.579 1747.74 0 0 0
1294.89 860.774 1747.74 0 0 0
1294.93 860.969 1747.75 0 0 0
1297.4 859.01 1747.64 0 0 0
1297.45 859.205 1747.64 0 0 0
1297.5 859.399 1747.65 0 0 0
1297.54 859.593 1747.66 0 0 0
1297.59 859.788 1747.67 0 0 0
1297.63 859.982 1747.67 0 0 0
1297.67 860.177 1747.68 0 0 0
1297.72 860.371 1747.69 0 0 0
1297.76 860.566 1747.7 0 0 0
1297.8 860.76 1747.7 0 0 0
1297.85 860.955 1747.71 0 0 0
1294.6 859.184 1747.75 0 0 0
1294.65 859.378 1747.76 0 0 0
1294.7 859.572 1747.77 0 0 0
1294.74 859.766 1747.78 0 0 0
1294.79 859.96 1747.78 0 0 0
1294.84 860.154 1747.79 0 0 0
1294.88 860.348 1747.8 0 0 0
1294.92 860.543 1747.81 0 0 0
1294.97 860.737 1747.81 0 0 0
1295.01 860.932 1747.82 0 0 0
1297.33 859.05 1747.71 0 0 0
1297.37 859.245 1747.72 0 0 0
1297.42 859.44 1747.73 0 0 0
1297.47 859.635 1747.74 0 0 0
