x y z dx dy dz
1296.34 886.926 1744.23 0.0170261 -0.000156338 -0.00260804
1296.01 875.426 1746.7 0.0196864 0.00150215 -0.00355678
1297.33 866.027 1748.88 0.016992 0.00443599 -0.00272138
1296.41 875.51 1746.7 0 0 0
1296.77 885.273 1744.57 0 0 0
1296.38 875.055 1746.8 0 0 0
1296.35 874.623 1746.9 0 0 0
1296.33 874.194 1746.99 0 0 0
1296.31 873.769 1747.09 0 0 0
1296.29 873.349 1747.18 0 0 0
1296.28 872.937 1747.27 0 0 0
1300.42 873.992 1747.26 0 0 0
1296.27 872.532 1747.36 0 0 0
1300.35 873.57 1747.35 0 0 0
1296.27 872.136 1747.45 0 0 0
1300.27 873.154 1747.44 0 0 0
1296.28 871.751 1747.54 0 0 0
1300.18 872.745 1747.53 0 0 0
1296.29 871.377 1747.62 0 0 0
1300.09 872.344 1747.61 0 0 0
1296.3 871.015 1747.71 0 0 0
1299.99 871.954 1747.69 0 0 0
1296.32 870.667 1747.79 0 0 0
1299.89 871.574 1747.77 0 0 0
1296.35 870.333 1747.86 0 0 0
1299.78 871.206 1747.85 0 0 0
1296.38 870.015 1747.94 0 0 0
1299.67 870.85 1747.92 0 0 0
1296.42 869.713 1748 0 0 0
1299.55 870.509 1747.99 0 0 0
1296.46 869.428 1748.07 0 0 0
1299.43 870.183 1748.06 0 0 0
1296.51 869.162 1748.13 0 0 0
1299.31 869.872 1748.12 0 0 0
1296.57 868.914 1748.19 0 0 0
1299.18 869.578 1748.18 0 0 0
1296.63 868.686 1748.25 0 0 0
1299.06 869.302 1748.24 0 0 0
1296.69 868.478 1748.3 0 0 0
1298.93 869.044 1748.29 0 0 0
1296.77 868.291 1748.34 0 0 0
1298.8 868.806 1748.34 0 0 0
1296.84 868.126 1748.38 0 0 0
1298.66 868.587 1748.38 0 0 0
1296.93 867.982 1748.42 0 0 0
1298.53 868.389 1748.42 0 0 0
1297.02 867.861 1748.45 0 0 0
1298.4 868.212 1748.45 0 0 0
1297.11 867.762 1748.48 0 0 0
1298.27 868.057 1748.48 0 0 0
1297.21 867.687 1748.5 0 0 0
1298.14 867.923 1748.5 0 0 0
1297.31 867.635 1748.52 0 0 0
1298.01 867.813 1748.52 0 0 0
1297.42 867.606 1748.53 0 0 0
1297.89 867.725 1748.53 0 0 0
1297.53 867.6 1748.54 0 0 0
1297.77 867.66 1748.54 0 0 0
1297.65 867.619 1748.54 0 0 0
1296.35 886.73 1744.26 0.0169974 -0.000123816 -0.00260225
1296.35 886.534 1744.3 0.0169986 -9.08483e-05 -0.00261389
1296.35 886.338 1744.34 0.0170106 -6.8811e-05 -0.00262323
1296.36 886.142 1744.38 0.0170317 -3.75567e-05 -0.00263031
1296.36 885.947 1744.42 0.0170632 -1.07854e-05 -0.00263586
1296.36 885.751 1744.45 0.017104 1.64515e-05 -0.00264135
1296.37 885.555 1744.49 0.0171541 4.67987e-05 -0.00265202
1296.37 885.36 1744.53 0.0172104 7.67603e-05 -0.00265416
1296.37 885.164 1744.57 0.0172725 0.000103807 -0.00266512
1296.37 884.969 1744.61 0.0173399 0.0001318 -0.00267595
1296.37 884.773 1744.65 0.0174112 0.000161444 -0.00268631
1296.37 884.578 1744.69 0.0174855 0.000188095 -0.00269649
1296.37 884.383 1744.73 0.0175608 0.000217282 -0.00270755
1296.37 884.187 1744.77 0.0176354 0.000244821 -0.002719
1296.37 883.992 1744.81 0.0177101 0.000272011 -0.00273267
1296.37 883.797 1744.86 0.0177821 0.00030049 -0.00274505
1296.37 883.602 1744.9 0.0178522 0.000328019 -0.0027589
1296.37 883.406 1744.94 0.0179191 0.000352789 -0.00277137
1296.37 883.211 1744.98 0.017984 0.000379715 -0.00278699
1296.37 883.016 1745.02 0.0180448 0.000405996 -0.00280248
1296.36 882.821 1745.07 0.0181026 0.000431475 -0.00281952
1296.36 882.626 1745.11 0.0181558 0.000455629 -0.00283256
1296.36 882.431 1745.15 0.0182071 0.000480851 -0.00284502
1296.35 882.236 1745.19 0.0182556 0.000505499 -0.00285816
1296.35 882.042 1745.24 0.0183005 0.000528085 -0.00287434
1296.35 881.847 1745.28 0.018343 0.000554378 -0.00288824
1296.34 881.653 1745.32 0.0183829 0.000581067 -0.00290904
1296.34 881.458 1745.36 0.0184216 0.000605636 -0.00292622
1296.33 881.264 1745.41 0.0184573 0.000630085 -0.00294017
1296.33 881.069 1745.45 0.0184901 0.000655868 -0.00295811
1296.32 880.875 1745.49 0.0185208 0.000682994 -0.00297583
1296.31 880.681 1745.54 0.0185482 0.000709016 -0.00299127
1296.31 880.486 1745.58 0.0185753 0.000731782 -0.0030135
1296.3 880.292 1745.62 0.0186017 0.000759428 -0.00302972
1296.29 880.097 1745.67 0.0186269 0.000783917 -0.00304928
1296.28 879.903 1745.71 0.0186516 0.000810817 -0.00306537
1296.28 879.708 1745.75 0.0186762 0.000837981 -0.00308409
1296.27 879.514 1745.8 0.0186997 0.000863369 -0.00309746
1296.26 879.319 1745.84 0.0187231 0.000887968 -0.00311399
1296.25 879.125 1745.88 0.0187464 0.000912364 -0.0031352
1296.24 878.93 1745.93 0.0187696 0.000942331 -0.00315606
1296.23 878.735 1745.97 0.0187938 0.000970867 -0.00317356
1296.22 878.541 1746.01 0.0188189 0.000999937 -0.00319493
1296.21 878.346 1746.06 0.0188448 0.00102731 -0.00321381
1296.2 878.152 1746.1 0.0188718 0.00105461 -0.00323319
1296.19 877.957 1746.14 0.018901 0.00108708 -0.00325242
1296.18 877.763 1746.18 0.0189332 0.00111632 -0.0032736
1296.16 877.568 1746.23 0.0189692 0.0011456 -0.00329536
1296.15 877.373 1746.27 0.0190091 0.00117912 -0.00331573
1296.14 877.179 1746.31 0.0190524 0.00120996 -0.00333637
1296.13 876.984 1746.36 0.019102 0.00123964 -0.00335776
1296.11 876.789 1746.4 0.0191559 0.00127305 -0.00337958
1296.1 876.594 1746.44 0.0192174 0.0013031 -0.00340601
1296.08 876.399 1746.49 0.0192852 0.00133535 -0.00343021
1296.07 876.205 1746.53 0.0193595 0.00136824 -0.0034529
1296.05 876.01 1746.57 0.0194411 0.00140234 -0.00347613
1296.04 875.815 1746.61 0.0195313 0.00144072 -0.00349891
1296.02 875.62 1746.66 0.0196172 0.00147126 -0.00351619
1298.33 887.226 1744.26 0.0165842 -0.000301436 0.00332825
1298.13 887.197 1744.26 0.0166276 -0.000297165 0.00299953
1297.93 887.167 1744.26 0.0166698 -0.000286544 0.00252411
1297.73 887.137 1744.25 0.016711 -0.00027134 0.00192652
1297.53 887.107 1744.25 0.0167563 -0.000251823 0.00123353
1297.34 887.077 1744.25 0.0168029 -0.00023007 0.00047859
1297.14 887.047 1744.24 0.0168462 -0.000207249 -0.000296816
1296.94 887.016 1744.24 0.0168935 -0.000186865 -0.00105046
1296.74 886.986 1744.23 0.0169402 -0.00017028 -0.00172681
1296.54 886.956 1744.23 0.0169823 -0.00016117 -0.00227015
1297.52 866.082 1748.88 0.0169457 0.00436266 -0.0029842
1297.7 866.173 1748.87 0.0169059 0.00429061 -0.00322905
1297.86 866.288 1748.85 0.0168691 0.00422068 -0.00345391
1298.01 866.422 1748.83 0.0168322 0.00414801 -0.00366376
1298.15 866.563 1748.8 0.016798 0.00408239 -0.00385053
1298.28 866.713 1748.78 0.0167573 0.00401951 -0.00402018
1298.4 866.868 1748.75 0.0167178 0.00395874 -0.00417994
1298.52 867.028 1748.72 0.0166775 0.00389932 -0.00432641
1298.63 867.192 1748.69 0.0166328 0.00384308 -0.00446524
1298.73 867.36 1748.66 0.0165886 0.00378588 -0.00459727
1298.83 867.53 1748.62 0.0165389 0.00372897 -0.0047226
1298.93 867.702 1748.59 0.0164798 0.00367855 -0.00484051
1299.02 867.876 1748.56 0.0164168 0.00362559 -0.00495498
1299.11 868.053 1748.52 0.0163452 0.00357615 -0.0050652
1299.2 868.231 1748.49 0.0162653 0.00352948 -0.0051727
1299.28 868.41 1748.45 0.0161713 0.00348154 -0.00527394
1299.36 868.59 1748.41 0.016071 0.00343795 -0.00536999
1299.44 868.771 1748.38 0.0159544 0.00339668 -0.00545678
1299.51 868.954 1748.34 0.0158238 0.00335862 -0.00553504
1299.58 869.137 1748.3 0.0156855 0.00332712 -0.00560696
1299.66 869.321 1748.27 0.0155395 0.00330053 -0.00567231
1299.72 869.507 1748.23 0.0153843 0.0032763 -0.0057266
1299.79 869.692 1748.19 0.0152267 0.00326151 -0.00577624
1299.85 869.878 1748.15 0.0150666 0.00325162 -0.00581793
1299.92 870.065 1748.11 0.0148989 0.00324241 -0.00584787
1299.98 870.252 1748.07 0.0147363 0.00323179 -0.00587486
1300.03 870.44 1748.04 0.0145748 0.00322327 -0.00589227
1300.09 870.629 1748 0.0144217 0.00321397 -0.00590665
1300.15 870.817 1747.96 0.0142744 0.00320842 -0.00591082
1300.2 871.006 1747.92 0.0141357 0.00319793 -0.00590819
1300.25 871.195 1747.88 0.0140093 0.00319093 -0.00590202
1300.3 871.385 1747.84 0.0138943 0.00317202 -0.00588993
1300.35 871.575 1747.8 0.0137942 0.00315507 -0.00588078
1300.4 871.766 1747.76 0.0137067 0.00313832 -0.00587172
1300.44 871.957 1747.72 0.0136257 0.00311951 -0.00586243
1300.48 872.148 1747.68 0.0135524 0.00310637 -0.00584932
1295.99 875.231 1746.74 0.0197542 0.00152952 -0.00359795
1295.98 875.035 1746.79 0.0197996 0.00157849 -0.00361462
1295.96 874.84 1746.83 0.0198301 0.00162711 -0.00363067
1295.95 874.644 1746.87 0.0198556 0.00168245 -0.00364429
1295.93 874.449 1746.92 0.0198777 0.00173465 -0.0036576
1295.92 874.253 1746.96 0.0198956 0.0017885 -0.00366729
1295.91 874.057 1747 0.0199074 0.00184236 -0.00367458
1295.9 873.862 1747.05 0.0199187 0.00190081 -0.00367684
1295.89 873.667 1747.09 0.0199275 0.00196372 -0.00367574
1295.88 873.471 1747.13 0.0199372 0.00202897 -0.00367093
1295.87 873.275 1747.18 0.0199474 0.0020929 -0.0036631
1295.86 873.08 1747.22 0.0199624 0.00216144 -0.00365216
1295.85 872.884 1747.26 0.0199837 0.00223318 -0.00363555
1295.85 872.688 1747.31 0.0200122 0.00230617 -0.00361157
1295.84 872.492 1747.35 0.020049 0.00238183 -0.00358256
1295.83 872.296 1747.39 0.0200904 0.00245907 -0.0035536
1295.83 872.1 1747.44 0.020137 0.00253393 -0.00352079
1295.83 871.904 1747.48 0.0201853 0.00261234 -0.00348482
1295.82 871.709 1747.53 0.0202343 0.00269826 -0.00344111
1295.82 871.513 1747.57 0.0202739 0.0027768 -0.0033994
1295.82 871.317 1747.61 0.020306 0.00286036 -0.00335107
1295.82 871.122 1747.66 0.0203287 0.00294822 -0.00329888
1295.82 870.926 1747.7 0.0203368 0.00303141 -0.00324539
1295.83 870.73 1747.74 0.02033 0.00311901 -0.00318889
1295.83 870.535 1747.79 0.0203111 0.00320735 -0.0031197
1295.84 870.339 1747.83 0.0202728 0.00329798 -0.00305159
1295.84 870.144 1747.88 0.0202195 0.00338421 -0.00297986
1295.85 869.947 1747.92 0.0201513 0.00347244 -0.00289994
1295.86 869.751 1747.97 0.0200583 0.00356232 -0.00282286
1295.87 869.555 1748.01 0.01995 0.00364958 -0.00273898
1295.89 869.359 1748.06 0.0198199 0.00373334 -0.00266093
1295.9 869.162 1748.1 0.0196748 0.00381097 -0.00258047
