x y z nx ny nz state
1299.99 867.76 1747.67 0.834397 -0.157016 -0.528325 1
1301.25 884.529 1746.04 -0.811353 -0.560463 -0.166093 1
1301.29 884.595 1746.04 0.0179864 0.983264 -0.181298 1
1293.69 907.922 1749.21 0.995314 -0.0697345 0.0669788 1
1293.67 907.951 1749.18 0.293315 0.729832 -0.617504 1
1300.52 871.466 1747.55 0.62926 -0.232897 0.741478 1
1295.19 901.951 1745.69 -0.265483 0.754389 0.600346 1
1300.86 887.956 1749.11 -0.401473 0.654012 0.641161 1
1296.67 883.894 1747.58 0.0601257 -0.238228 0.969346 1
1300.27 896.595 1749.06 -0.387017 -0.011857 -0.921996 1
1300.69 873.938 1748.12 0.437496 0.436211 -0.786331 1
1301.24 887.336 1745.68 -0.0538613 -0.248648 0.967095 1
1300.51 896.745 1747.92 0.0412121 -0.00266969 -0.999147 1
1300.26 897.979 1748.75 0.914904 0.285392 0.285486 1
1301.07 890.952 1745.8 0.122113 -0.852583 -0.508124 1
1296.32 891.569 1748.43 0.746189 -0.197524 -0.635756 1
1300.66 878.073 1748.9 0.213186 0.36006 0.908245 1
1299.83 901.609 1747.41 -0.335135 0.743517 -0.578677 1
1296.94 906.755 1750.92 -0.344665 -0.593587 0.727228 1
1300.83 873.889 1745.83 -0.0378686 -0.960816 -0.274589 1
1294.43 904.505 1749.11 -0.388011 0.860744 0.329497 1
1294.08 907.022 1745.77 -0.445669 -0.304348 0.841874 1
1294.12 907.024 1745.77 0.566176 -0.247574 0.786227 1
1301.19 887.321 1746.74 0.936544 -0.335351 0.102101 1
1300.4 878.851 1749.31 0.241471 -0.890761 -0.385016 1
1299.53 903.378 1746.86 0.320685 0.518227 -0.792844 1
1301.19 887.296 1747.49 -0.844574 -0.529841 -0.0772218 1
1301.2 887.826 1746.03 0.636949 0.770019 -0.0369657 1
1301.2 887.199 1747.26 0.741875 0.664725 -0.088103 1
1301.28 883.04 1746.77 0.0401423 0.646807 -0.761597 1
1301.28 883.005 1746.85 -0.00137899 -0.191519 0.981488 1
1301.24 883.017 1746.79 -0.886918 0.108081 -0.449106 1
1300.99 876.435 1746.02 -0.944172 -0.115022 0.308721 1
1301 876.428 1745.98 -0.742562 -0.266887 -0.614307 1
1301.03 876.397 1746.01 -0.0250339 -0.987673 0.154515 1
1301.09 890.142 1745.97 -0.805556 -0.546028 -0.230073 1
1300.38 893.842 1749.47 -0.284499 -0.755756 0.589824 1
1295.17 901.932 1745.65 -0.881947 0.297075 -0.365946 1
1295.22 901.923 1745.63 0.45837 0.0730516 -0.885754 1
1300.18 868.495 1745.37 -0.731865 0.129273 -0.669076 1
1300.21 868.529 1745.4 0.177682 0.979466 -0.0952674 1
1300.2 868.476 1745.44 -0.161781 -0.347372 0.923666 1
