x y z type diam age
1301.01 886.935 1747.99 1 0.0360789 31348.1
1300.95 886.99 1747.98 1 0.0372916 31358.1
1301.04 886.965 1747.97 1 0.0360789 31370.1
1301.08 886.972 1747.96 1 0.0370144 31373.1
1300.97 886.839 1748.09 1 0.0387247 31380.1
1301.1 887.679 1747.71 1 0.0365528 31398.1
1301.12 887.626 1747.7 1 0.0390762 31413.1
1296.44 884.428 1747.52 1 0.0366436 31447.1
1301.04 886.897 1748.07 1 0.0404261 31450.1
1296.48 884.364 1747.49 1 0.0384817 31548.1
1301.15 888.39 1747.75 1 0.0372664 31562.1
1301.13 888.376 1747.85 1 0.0364136 31568.1
1301.15 888.365 1747.88 1 0.0417263 31572.1
1301.14 888.416 1747.87 1 0.0410712 31579.1
1301.12 888.443 1747.8 1 0.0376215 31585.1
1301.12 887.99 1747.19 1 0.0391403 31681.1
1296.6 884.09 1747.58 1 0.0377006 31702.1
1296.57 884.143 1747.54 1 0.0377006 31708.1
1296.63 884.081 1747.65 1 0.0404465 31709.1
1296.65 884.168 1747.69 1 0.0387611 31732.1
1296.43 884.39 1747.57 1 0.0376289 31889.1
1296.43 884.355 1747.59 1 0.0368116 31896.1
1296.45 884.474 1747.63 1 0.0421036 31905.1
1296.43 884.562 1747.59 1 0.0406271 31914.1
1301.15 888.351 1747.6 1 0.0408524 32008.1
1296.43 883.328 1748.1 1 0.0390076 32223.1
1301.11 887.93 1747.57 1 0.0417345 33218.1
1295.91 895.156 1748.38 1 0.037082 33560.1
1297.96 888.025 1750.18 1 0.0429323 33781.1
1298.02 888.057 1750.17 1 0.0416053 33784.1
1295.93 895.274 1748.77 1 0.0395009 33813.1
1295.87 894.915 1748.42 1 0.0381319 33826.1
1298.04 888.062 1750.21 1 0.0371978 33858.1
1298 888.029 1750.17 1 0.0365167 33860.1
1295.9 894.878 1748.76 1 0.0370621 33872.1
1295.93 894.835 1748.71 1 0.0422641 33875.1
1295.91 894.833 1748.75 1 0.0415978 34101.1
1295.9 894.851 1748.68 1 0.0408196 34110.1
1301.08 888.027 1747.78 1 0.0418876 34226.1
1301.01 888.253 1747.59 1 0.0403634 34230.1
1300.96 888.071 1747.7 1 0.0405547 34250.1
1301.12 888.063 1747.73 1 0.0425295 34592.1
1300.03 867.345 1745.97 1 0.0361432 34640.1
1300.01 867.318 1745.96 1 0.0361432 34641.1
1301.2 887.799 1747.37 1 0.0406886 34642.1
1300 867.246 1746.01 1 0.0364436 34645.1
1299.98 867.263 1745.98 1 0.0364436 34645.1
1300.01 867.308 1746.03 1 0.0364436 34646.1
1301.17 887.728 1747.33 1 0.0370624 34648.1
1301.16 887.694 1747.38 1 0.0424758 34651.1
1301.18 887.703 1747.3 1 0.0370624 34651.1
1300.08 867.701 1746.33 1 0.0377315 34656.1
1301.17 887.631 1747.33 1 0.0427555 34658.1
1301.14 887.812 1747.19 1 0.0433737 34659.1
1300.01 867.355 1745.91 1 0.0366293 34664.1
1300 867.253 1746.05 1 0.0364436 34673.1
1300.93 888.074 1747.72 1 0.0405547 34677.1
1299.97 867.226 1746 1 0.0367273 34677.1
1299.96 867.341 1745.97 1 0.0403051 34679.1
1299.99 867.204 1745.94 1 0.0434701 34679.1
1299.94 867.285 1746 1 0.0376742 34680.1
1299.98 867.341 1746.02 1 0.0424651 34680.1
1300 867.23 1745.97 1 0.0367273 34681.1
1300.01 867.286 1746 1 0.0361432 34681.1
1299.95 867.163 1745.93 1 0.0434035 34682.1
1299.96 867.122 1745.94 1 0.0426006 34687.1
1299.93 867.139 1745.9 1 0.038579 34688.1
1301.18 887.654 1747.41 1 0.0412685 34689.1
1299.98 867.159 1745.98 1 0.0433751 34689.1
1299.99 867.189 1746.01 1 0.0367273 34690.1
1300.01 867.371 1745.95 1 0.0403051 34690.1
1299.96 867.366 1746.04 1 0.0407993 34690.1
1299.93 867.113 1745.87 1 0.038579 34691.1
1300 867.408 1745.95 1 0.0404498 34692.1
1299.98 867.138 1745.91 1 0.038579 34692.1
1300.01 867.221 1746.04 1 0.0367273 34693.1
1301.16 887.655 1747.37 1 0.0424758 34694.1
1300 867.124 1745.96 1 0.0413887 34695.1
1299.96 867.174 1745.8 1 0.0391446 34696.1
1299.95 867.091 1746 1 0.0398831 34696.1
1300 867.369 1745.88 1 0.0366293 34697.1
1300.01 867.423 1745.98 1 0.0385875 34698.1
1301.17 887.794 1747.32 1 0.0364024 34700.1
1299.97 867.305 1746.02 1 0.0364436 34700.1
1301.17 887.69 1747.34 1 0.0370624 34701.1
1300.01 867.344 1745.98 1 0.0403051 34701.1
1300.01 867.329 1745.88 1 0.0366293 34702.1
1299.99 867.32 1746.07 1 0.0426581 34702.1
1299.98 867.297 1745.94 1 0.0403051 34702.1
1301.18 887.67 1747.27 1 0.0386585 34703.1
1301.17 887.667 1747.31 1 0.0370624 34704.1
1300 867.369 1746.05 1 0.0407993 34705.1
1301.18 887.55 1747.32 1 0.0384184 34709.1
1301.18 887.589 1747.34 1 0.0434079 34709.1
1301.17 887.631 1747.29 1 0.0405389 34711.1
1300.02 867.408 1745.88 1 0.0366293 34712.1
1300.03 867.372 1746 1 0.0404498 34712.1
1299.99 867.316 1745.99 1 0.0361432 34713.1
1300.03 867.437 1745.95 1 0.0404498 34713.1
1300 867.312 1746.11 1 0.037541 34715.1
1300 867.308 1745.85 1 0.0374946 34716.1
1300.01 867.452 1746.01 1 0.0366281 34716.1
1300.03 867.334 1746.08 1 0.037541 34716.1
1299.99 867.349 1745.84 1 0.0377676 34717.1
1300.04 867.381 1745.92 1 0.0366293 34717.1
1299.99 867.271 1745.84 1 0.0374946 34717.1
1299.93 867.037 1745.89 1 0.0369754 34717.1
1301.18 887.589 1747.28 1 0.0363759 34717.1
1300 867.392 1745.85 1 0.0374675 34718.1
1300.04 867.388 1745.86 1 0.0366293 34718.1
1299.9 867.319 1745.94 1 0.0370891 34718.1
1299.91 867.298 1745.9 1 0.0387059 34718.1
1299.97 867.359 1745.9 1 0.0377676 34719.1
1299.93 867.362 1745.89 1 0.0377676 34719.1
1300.03 867.345 1745.86 1 0.0366293 34719.1
1299.93 867.383 1745.92 1 0.0387059 34719.1
1299.99 867.448 1745.94 1 0.0423641 34719.1
1299.92 867.313 1745.98 1 0.0370891 34719.1
1301.2 887.512 1747.36 1 0.0415766 34719.1
1299.97 867.333 1745.87 1 0.0374946 34720.1
1299.96 867.394 1745.89 1 0.0377676 34720.1
1299.94 867.321 1745.89 1 0.0374946 34720.1
1299.94 867.161 1745.97 1 0.0433751 34720.1
1299.96 867.433 1745.97 1 0.0385875 34720.1
1299.95 867.378 1745.97 1 0.0424168 34720.1
1299.92 867.239 1745.95 1 0.0376742 34720.1
1299.96 867.085 1745.96 1 0.0413887 34720.1
1300.02 867.465 1746.05 1 0.0366281 34720.1
1299.95 867.061 1745.92 1 0.0426006 34720.1
1299.92 867.344 1745.96 1 0.0387059 34720.1
1299.94 867.059 1745.81 1 0.041967 34721.1
1299.94 867.269 1745.88 1 0.0374946 34721.1
1299.91 867.204 1745.91 1 0.0425616 34721.1
1299.92 867.202 1745.96 1 0.0376742 34722.1
1300.04 867.428 1745.99 1 0.0366281 34722.1
1299.9 867.268 1745.93 1 0.0370891 34722.1
1300.04 867.493 1746.02 1 0.0366281 34722.1
1300.04 867.467 1745.99 1 0.0366281 34722.1
1299.89 867.278 1745.87 1 0.0388232 34722.1
1299.98 867.323 1745.82 1 0.0368714 34723.1
1299.97 867.286 1745.82 1 0.0368714 34723.1
1299.94 867.406 1745.86 1 0.0377676 34724.1
1299.94 866.96 1745.91 1 0.0381699 34724.1
1299.88 867.186 1745.96 1 0.0434035 34724.1
1299.95 867.317 1746.05 1 0.0424651 34724.1
1299.94 867.018 1745.82 1 0.0387247 34724.1
1300.01 867.191 1745.97 1 0.0367273 34724.1
1299.86 867.315 1745.96 1 0.0370891 34724.1
1299.94 867 1745.89 1 0.0381699 34724.1
1299.92 867.374 1745.84 1 0.0365815 34725.1
1299.93 866.955 1745.96 1 0.0381225 34725.1
1299.96 867.094 1745.79 1 0.0393924 34725.1
1299.91 867.349 1745.82 1 0.0365815 34725.1
1299.92 867.382 1745.81 1 0.0365815 34725.1
1299.96 867.049 1745.77 1 0.0378448 34725.1
1299.93 867.422 1745.99 1 0.0385875 34725.1
1299.82 867.281 1745.91 1 0.0365377 34725.1
1299.88 867.353 1746.01 1 0.0399853 34725.1
1299.9 867.419 1746.02 1 0.0403888 34725.1
1299.88 867.251 1745.97 1 0.0370891 34725.1
1300.04 867.547 1746.04 1 0.0373873 34725.1
1300.05 867.463 1746.07 1 0.0366281 34725.1
1299.97 866.974 1745.88 1 0.0387247 34726.1
1300.02 867.432 1745.85 1 0.0374675 34726.1
1299.87 867.382 1745.86 1 0.0365815 34726.1
1299.93 867.268 1745.78 1 0.0378812 34726.1
1299.94 867.1 1745.91 1 0.038579 34726.1
1299.9 867.025 1745.98 1 0.0416835 34726.1
1299.95 867.453 1745.82 1 0.041903 34726.1
1299.91 867.368 1746 1 0.0411021 34726.1
1301.18 887.552 1747.27 1 0.0363759 34726.1
1299.94 866.93 1745.93 1 0.039174 34727.1
1299.97 867.138 1745.79 1 0.0393924 34727.1
1299.98 867.055 1745.86 1 0.0426524 34727.1
1299.93 867.05 1745.96 1 0.0420175 34727.1
1299.9 867.451 1745.89 1 0.042919 34727.1
1299.94 866.938 1745.76 1 0.0386156 34727.1
1299.92 866.902 1745.86 1 0.038583 34727.1
1299.85 867.326 1746 1 0.038137 34727.1
1299.96 867.345 1746.08 1 0.0407993 34728.1
1299.94 866.977 1745.86 1 0.0381699 34728.1
1299.98 867.102 1745.93 1 0.038579 34728.1
1299.98 867.121 1746 1 0.0413887 34728.1
1299.97 867.08 1745.89 1 0.038579 34728.1
1299.92 866.842 1745.92 1 0.039134 34728.1
1300.03 867.558 1746.09 1 0.0393393 34728.1
1299.99 867.356 1745.8 1 0.0394277 34729.1
1300.04 867.584 1746.06 1 0.0393393 34729.1
1299.95 867.173 1745.75 1 0.0383724 34729.1
1299.98 867.262 1745.79 1 0.0378812 34729.1
1299.93 866.935 1745.87 1 0.0381699 34729.1
1300.05 867.561 1746 1 0.0373873 34729.1
1299.98 867.028 1745.83 1 0.0387247 34730.1
1299.96 867.028 1745.94 1 0.0420175 34730.1
1299.98 867.162 1745.76 1 0.0383724 34730.1
1299.93 866.898 1745.83 1 0.0403921 34730.1
1299.86 867.267 1745.94 1 0.0370891 34730.1
1299.93 867.301 1745.86 1 0.0374946 34731.1
1301.18 887.515 1747.28 1 0.0384184 34731.1
1299.98 867.014 1745.87 1 0.0387247 34731.1
1299.93 867.009 1746.04 1 0.0386172 34731.1
1299.92 866.984 1745.99 1 0.0381225 34731.1
1299.93 867.057 1746.01 1 0.0398831 34731.1
1299.94 866.912 1745.79 1 0.0386156 34731.1
1300.05 867.605 1745.98 1 0.0378401 34731.1
1300.07 867.572 1745.97 1 0.0378401 34731.1
1299.97 867.094 1745.75 1 0.0370194 34732.1
1299.97 867.052 1745.98 1 0.0413887 34732.1
1301.18 887.984 1747.21 1 0.0417037 34732.1
1299.93 866.906 1745.9 1 0.039174 34732.1
1299.96 866.929 1745.97 1 0.0421568 34733.1
1299.92 867.292 1745.81 1 0.0368714 34733.1
1300.04 867.624 1746.05 1 0.0382378 34733.1
1299.97 866.961 1745.81 1 0.0386156 34733.1
1300.01 867.472 1746.1 1 0.0413025 34733.1
1300.04 867.595 1746.1 1 0.0393393 34733.1
1299.93 866.878 1745.93 1 0.039134 34733.1
1299.86 867.393 1745.94 1 0.0411021 34733.1
1299.89 867.3 1745.91 1 0.0370891 34733.1
1299.97 866.998 1745.92 1 0.0421568 34734.1
1300.04 867.661 1746.07 1 0.0382378 34734.1
1300.04 867.597 1746.02 1 0.0378401 34734.1
1299.99 867.051 1746.02 1 0.0385369 34734.1
1299.95 867.009 1746.07 1 0.0385369 34734.1
1299.96 867.085 1745.71 1 0.0370194 34734.1
1299.82 867.308 1745.98 1 0.038137 34734.1
1299.99 867.249 1745.75 1 0.0378812 34734.1
1299.96 866.896 1745.75 1 0.0365716 34734.1
1299.92 867.347 1746.05 1 0.0414887 34734.1
1299.96 867.051 1745.73 1 0.0370194 34734.1
1299.95 866.82 1745.9 1 0.039134 34734.1
1299.96 866.986 1745.96 1 0.0420175 34735.1
1299.96 866.93 1745.9 1 0.0414374 34735.1
1299.97 867.095 1745.85 1 0.038579 34735.1
1299.99 867.071 1745.77 1 0.0370194 34735.1
1299.93 866.868 1745.8 1 0.0403921 34735.1
1299.97 866.949 1745.85 1 0.0387247 34735.1
1299.9 867.223 1745.99 1 0.0376742 34735.1
1299.98 867.138 1745.85 1 0.038579 34735.1
1299.88 867.416 1745.88 1 0.042919 34735.1
1300.07 867.578 1746.04 1 0.0378401 34735.1
1300 867.4 1745.81 1 0.0374675 34736.1
1300.08 867.658 1746.03 1 0.0382378 34736.1
1299.95 866.821 1745.95 1 0.039134 34736.1
1299.91 866.832 1745.82 1 0.0406553 34736.1
1299.96 866.873 1745.84 1 0.0413202 34736.1
1299.99 867.3 1745.79 1 0.0378812 34736.1
1299.89 867.285 1745.83 1 0.0388232 34736.1
1299.96 867.017 1746.02 1 0.0385369 34736.1
1299.99 867.228 1745.71 1 0.037388 34736.1
1299.9 867.324 1746.02 1 0.0399853 34736.1
1299.88 867.198 1746.02 1 0.039238 34736.1
1299.96 866.901 1745.93 1 0.039134 34737.1
1299.91 866.872 1745.84 1 0.038583 34737.1
1299.99 867.064 1745.94 1 0.0413887 34737.1
1300.01 867.192 1745.78 1 0.0406473 34737.1
1301.21 887.495 1747.39 1 0.0410634 34737.1
1300.02 867.273 1745.77 1 0.0403043 34738.1
1299.98 867.261 1746.09 1 0.0430124 34738.1
1299.96 866.853 1745.77 1 0.0365716 34738.1
1299.77 867.39 1745.95 1 0.0387677 34738.1
1299.96 866.876 1745.9 1 0.039134 34738.1
1299.78 867.362 1745.87 1 0.038367 34738.1
1300.01 867.472 1746.14 1 0.0360868 34738.1
1300.07 867.632 1746 1 0.0378401 34738.1
1300.06 867.69 1746.07 1 0.0382378 34739.1
1299.96 867.449 1745.86 1 0.0401237 34739.1
1300.03 867.555 1746.13 1 0.0388704 34739.1
1300.05 867.634 1746.09 1 0.0382378 34740.1
1300.07 867.603 1746.07 1 0.0382378 34740.1
1299.83 867.349 1745.9 1 0.0365377 34740.1
1300.06 867.561 1746.11 1 0.0388704 34740.1
1299.99 867.191 1746.05 1 0.0430124 34740.1
1300.02 867.511 1746.11 1 0.0401504 34740.1
1299.95 866.792 1745.81 1 0.0366415 34741.1
1299.99 867.383 1745.77 1 0.0396259 34741.1
1299.99 867.287 1745.74 1 0.0378812 34741.1
1299.95 866.814 1745.78 1 0.0413202 34741.1
1300.03 867.349 1745.79 1 0.0394277 34741.1
1299.96 866.874 1745.96 1 0.039134 34741.1
1299.77 867.411 1745.91 1 0.039647 34741.1
1301.18 887.612 1747.24 1 0.0397937 34741.1
1299.86 867.348 1745.88 1 0.0388232 34741.1
1300.08 867.663 1746.09 1 0.0382378 34742.1
1299.85 867.285 1745.85 1 0.0388232 34742.1
1299.84 867.217 1746.02 1 0.0424187 34742.1
1299.86 867.26 1746.01 1 0.0399853 34742.1
1299.97 867.223 1746.1 1 0.0397192 34742.1
1300.02 867.436 1745.81 1 0.0374675 34743.1
1299.99 867.116 1745.81 1 0.0438297 34743.1
1299.96 866.888 1745.8 1 0.0386156 34743.1
1301.18 888.343 1747.5 1 0.0375686 34743.1
1299.76 867.373 1745.99 1 0.0387677 34744.1
1300.03 867.436 1746.14 1 0.0413025 34744.1
1299.95 866.816 1745.85 1 0.0413202 34744.1
1301.17 887.654 1747.23 1 0.0405389 34744.1
1299.85 867.281 1745.98 1 0.0370891 34744.1
1300 867.358 1746.09 1 0.037541 34744.1
1299.85 867.277 1745.89 1 0.0388232 34744.1
1299.99 867.324 1745.72 1 0.0426672 34745.1
