sector_deg yband sum_fn_N n_contacts
0 1 70610.2 584
0 2 45596.3 922
0 3 315725 978
0 4 253466 864
0 5 -314611 528
15 1 7874.63 543
15 2 91618.3 889
15 3 -250454 992
15 4 -25164.1 908
15 5 288026 591
30 1 57593.7 513
30 2 150458 834
30 3 194182 951
30 4 210341 906
30 5 11962.6 682
45 1 67414.5 491
45 2 307214 780
45 3 375081 956
45 4 226920 890
45 5 91576.3 733
60 1 88016 474
60 2 166657 697
60 3 717696 844
60 4 214428 862
60 5 20620.1 788
75 1 155160 443
75 2 497563 577
75 3 155781 739
75 4 567417 783
75 5 305406 797
90 1 138288 458
90 2 221588 484
90 3 542964 611
90 4 543822 714
90 5 502632 781
105 1 136007 462
105 2 211075 383
105 3 225541 450
105 4 426055 629
105 5 686236 775
120 1 164862 452
120 2 103860 341
120 3 218474 327
120 4 -17330.9 524
120 5 774860 747
135 1 193473 494
135 2 7340.79 280
135 3 40637.6 219
135 4 841335 418
135 5 687635 754
150 1 179867 537
150 2 39014.7 242
150 3 -94756 193
150 4 42527.9 375
150 5 497299 717
165 1 210532 561
165 2 -77525.3 240
165 3 396.343 159
165 4 -248473 298
165 5 51325.8 655
180 1 -48710 604
180 2 1405.55 252
180 3 225063 164
180 4 42797.5 292
180 5 -23460.1 652
195 1 323105 647
195 2 399470 282
195 3 159786 172
195 4 223555 329
195 5 4.28866e+06 7513
210 1 34399.7 1013
210 2 -164928 401
210 3 -71527.9 235
210 4 -105443 514
210 5 4.36714e+06 9977
225 1 3.04322e+06 13895
225 2 172049 654
225 3 -120182 423
225 4 2.29243e+06 7144
225 5 880021 2522
240 1 2.35439e+06 6049
240 2 4.16698e+06 11012
240 3 451448 2010
240 4 4.32845e+06 10796
240 5 0 0
255 1 0 0
255 2 3.77402e+06 9093
255 3 7.66399e+06 18250
255 4 674987 1874
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 -185220 3427
285 2 0 0
285 3 0 0
285 4 0 0
285 5 291763 109
300 1 4.98e+06 11767
300 2 -83748.1 34
300 3 0 0
300 4 0 0
300 5 2.67727e+06 4030
315 1 2.04678e+06 3819
315 2 1.63045e+07 17416
315 3 7.53343e+06 9942
315 4 5.51961e+06 7811
315 5 9.63105e+06 12847
330 1 -12656.4 726
330 2 695598 1063
330 3 4.17204e+06 8531
330 4 5.0077e+06 10392
330 5 214566 910
345 1 27197.8 603
345 2 65818 923
345 3 -299198 986
345 4 -194353 886
345 5 177988 535
