x y z dx dy dz
1299.13 903.242 1745.6 0.0011187 -0.000926777 -0.000659401
1299.05 903.693 1745.62 0.00104757 -0.000902718 -0.000663253
1298.97 904.143 1745.64 0.00106996 -0.000897548 -0.000611674
1298.88 904.594 1745.65 0.00108588 -0.000928143 -0.00059554
1298.79 905.044 1745.67 0.00107029 -0.000910786 -0.000562353
1298.7 905.495 1745.69 0.00108174 -0.000893473 -0.000553317
1298.61 905.945 1745.7 0.00102341 -0.000908574 -0.000531591
1298.52 906.395 1745.72 0.000968406 -0.00091711 -0.000549493
1298.42 906.846 1745.74 0.000994142 -0.000921432 -0.00050366
1298.32 907.296 1745.76 0.000986334 -0.000916317 -0.000466759
1298.22 907.747 1745.77 0.000965172 -0.000910012 -0.000451539
1298.12 908.197 1745.79 0.000851243 -0.000882414 -0.000472331
1298.02 908.648 1745.81 0.000741379 -0.000860093 -0.000459253
1297.91 909.098 1745.82 0.000601626 -0.000842143 -0.000463182
1297.8 909.549 1745.84 0.000383854 -0.000789895 -0.000372711
1297.69 909.999 1745.86 -0.000496635 -0.00065593 8.42303e-05
1299.03 905.044 1745.46 0.00105219 -0.000927492 -0.000556772
1298.94 905.495 1745.48 0.00104605 -0.000919514 -0.000536923
1298.85 905.945 1745.5 0.0010206 -0.000918015 -0.000523259
1298.75 906.395 1745.51 0.000991253 -0.000920973 -0.000514994
1298.66 906.846 1745.53 0.000961241 -0.000916092 -0.000503335
1298.56 907.296 1745.55 0.0009403 -0.000913133 -0.000480512
1298.46 907.747 1745.57 0.000903141 -0.000907001 -0.000468942
1298.36 908.197 1745.58 0.000826424 -0.000876873 -0.0004497
1298.25 908.648 1745.6 0.000742147 -0.000847085 -0.000438818
1298.14 909.098 1745.62 0.00061005 -0.00078995 -0.000430024
1298.04 909.549 1745.63 0.000401911 -0.000656542 -0.000377801
1297.92 909.999 1745.65 -0.000340402 -0.000638741 3.15644e-05
1298.81 907.296 1745.33 0.000966984 -0.000948352 -0.000417049
1298.71 907.747 1745.35 0.000926086 -0.000931646 -0.000401424
1298.61 908.197 1745.36 0.000863427 -0.000905912 -0.000377776
1298.5 908.648 1745.38 0.000787025 -0.00087007 -0.000358632
1298.39 909.098 1745.4 0.000684777 -0.000804135 -0.00033604
1298.29 909.549 1745.41 0.000561746 -0.000668868 -0.000310894
1298.18 909.999 1745.43 0.000386085 -0.000653612 -0.000239339
1298.66 909.098 1745.16 0.000761742 -0.000877483 -0.000282897
1298.55 909.549 1745.18 0.000714575 -0.000812357 -0.000273353
1298.44 909.999 1745.2 0.000780575 -0.000756116 -0.000335068
1299.13 904.143 1745.64 0.00096379 -0.000865216 -0.000647107
1299.05 904.594 1745.66 0.000962263 -0.000880562 -0.000626352
1298.96 905.044 1745.67 0.000947542 -0.000892632 -0.000600913
1298.87 905.495 1745.69 0.000945519 -0.000860669 -0.000573051
1298.78 905.945 1745.71 0.000952919 -0.000848499 -0.000574162
1298.68 906.396 1745.72 0.000883785 -0.000874701 -0.000566971
1298.59 906.846 1745.74 0.000843035 -0.000863141 -0.000566511
