x y z dx dy dz
1278.57 937.489 1800.49 -0.316093 0.273816 -0.0202689
1278.45 913.058 1802.38 -0.309763 0.291965 -0.0225849
1277.25 949.092 1801.64 -0.319451 0.264916 -0.0203463
1269.3 943.464 1795.71 -0.310074 0.270495 -0.0221309
1268.05 954.943 1797.45 -0.317852 0.263673 -0.0227214
1270.24 931.284 1795.89 -0.304374 0.28015 -0.0222469
1260.02 949.803 1790.96 -0.3054 0.268134 -0.0258853
1252.33 931.123 1786.34 -0.290123 0.280461 -0.0274936
1253.04 919.488 1788.95 -0.287977 0.286493 -0.0270588
1253.77 908.542 1792.24 -0.289863 0.293784 -0.0244015
1254.58 897.715 1795.85 -0.288819 0.300522 -0.0236908
1245.54 890.874 1793.65 -0.280614 0.302542 -0.0284068
1255.27 886.549 1799.5 -0.28725 0.30416 -0.0258319
1246.14 879.489 1797.35 -0.281345 0.308816 -0.0275783
1255.74 875.187 1803.04 -0.286201 0.309831 -0.0252639
1246.8 867.949 1801.01 -0.278981 0.31386 -0.0290209
1247.5 856.469 1804.54 -0.279632 0.31597 -0.0278874
1263.56 904.505 1797.85 -0.296263 0.295984 -0.0235341
1265.28 882.142 1804.97 -0.294766 0.305993 -0.0243469
1262.38 914.611 1794.65 -0.297606 0.295614 -0.0195241
1264.8 893.717 1801.44 -0.296584 0.300688 -0.0245559
1275.13 902.031 1803.46 -0.306155 0.295689 -0.0241617
1279.18 925.389 1800.94 -0.313023 0.288434 -0.0192518
1251.36 943.67 1785.04 -0.291416 0.27503 -0.0264474
1260.92 937.425 1790.57 -0.298379 0.27679 -0.0264372
1261.73 925.535 1792.11 -0.296546 0.28258 -0.0248821
1271.25 919.382 1797.83 -0.305042 0.289033 -0.0236574
1270.88 910.241 1799.57 -0.302277 0.294377 -0.0189954
1279.01 849.672 1795.54 -0.281308 0.316541 -0.0291831
1268.73 846.087 1790.72 -0.271968 0.317311 -0.0320629
1271.67 857.387 1790.19 -0.276083 0.313632 -0.0304688
1261.34 853.871 1785.54 -0.267146 0.314726 -0.0336042
1264.24 865.156 1785.12 -0.271127 0.31097 -0.0324243
1253.88 861.726 1780.63 -0.262137 0.312638 -0.0351512
1251.03 850.382 1780.79 -0.2585 0.315983 -0.0366017
1246.4 869.696 1775.9 -0.258056 0.308867 -0.036107
1282.06 860.904 1794.69 -0.28466 0.31206 -0.0276754
1319.89 894.057 1803.49 -0.314666 0.308228 -0.016313
