x z szz sxx pp state
1176.32 1753.03 -256352 -225727 0 0
1176.68 1746.19 -449112 -321485 0 0
1172.59 1756.65 -189817 -180488 0 0
1118.09 1715.21 -905997 -618973 0 0
1061.38 1703.04 -1.08408e+06 -734489 0 0
1159.84 1739.95 -559328 -381935 0 0
1332.84 1832.15 -72229.9 -32020.7 0 0
1245 1777.21 -393157 -265972 0 0
1259.94 1789.48 -287200 -213349 0 0
1124.16 1718.31 -899306 -615545 0 0
1132.62 1720.97 -904037 -620379 0 0
1164.08 1742.47 -538916 -367199 0 0
1181.64 1747.49 -446727 -324951 0 0
1157.26 1734.97 -681423 -471304 0 0
1299.06 1809.98 -85972.8 -51214.6 0 0
1245.85 1782.92 -264922 -173320 0 0
1181.28 1754.34 -251383 -218869 0 0
830.91 1678.52 -461782 -416311 0 0
1261.83 1784.15 -381598 -280924 0 0
1282.7 1798.61 -268311 -180077 0 0
1234.15 1771.15 -391289 -264032 0 0
1149.4 1751.94 -181698 -148289 0 0
1077.34 1703.39 -1.02782e+06 -697071 0 0
1214.35 1773.11 -169814 -129114 0 0
1304.05 1813.67 -142337 -88974.8 0 0
1218.36 1768.97 -271532 -198986 0 0
1319.01 1822.85 -87239.8 -41047.9 0 0
1253.03 1785.96 -264948 -162666 0 0
1274.74 1795.68 -261194 -179978 0 0
1113.89 1717.75 -859329 -573987 0 0
1024.03 1696.16 -1.06608e+06 -744893 0 0
1127.87 1723.62 -805131 -533437 0 0
1158.8 1731.65 -724409 -502178 0 0
1330.4 1831.58 -69992.1 -17405.4 0 0
1156.14 1731.84 -671729 -467397 0 0
1169.78 1753.6 -274613 -232507 0 0
1151.81 1733.04 -723952 -501061 0 0
1060.68 1700.9 -1.04767e+06 -720240 0 0
1257.35 1782.08 -384158 -289436 0 0
1322.34 1823.96 -139089 -72107 0 0
814.766 1672.89 -399253 -390584 0 0
1273.66 1793.11 -276969 -189932 0 0
1261.24 1794.96 -149086 -80979.1 0 0
1254.04 1789.06 -148068 -97533.9 0 0
1163.38 1738.68 -638291 -431233 0 0
1253.69 1784.7 -263852 -196195 0 0
1229.92 1768.72 -382607 -272037 0 0
884.486 1679.64 -759771 -581539 0 0
1175.29 1761.34 -100071 -120209 0 0
1175.36 1744.35 -443683 -317332 0 0
863.84 1676.61 -596008 -503308 0 0
993.38 1688.21 -1.03415e+06 -724398 0 0
1312.26 1818.18 -81167.6 -46523.1 0 0
894.789 1681.7 -802204 -597987 0 0
1270.78 1793.56 -208020 -133648 0 0
1150.63 1728.78 -787209 -545492 0 0
943.681 1691.61 -819011 -592437 0 0
1225.55 1772.09 -277922 -194575 0 0
1294.3 1808.27 -148510 -97383.3 0 0
1217.42 1763.05 -388591 -258235 0 0
975.399 1687.85 -1.00778e+06 -705653 0 0
944.088 1683.52 -901897 -651150 0 0
1292.92 1805.76 -153171 -101083 0 0
1281.24 1799.36 -154265 -106861 0 0
874.153 1673.42 -710698 -559550 0 0
1251.62 1785.11 -156060 -100085 0 0
1202.62 1761.34 -246926 -190240 0 0
1253.75 1792.13 -149299 -79951.8 0 0
858.473 1675.76 -631522 -512097 0 0
1135.36 1724.66 -808878 -559281 0 0
1301.86 1811.58 -142429 -85216.3 0 0
1153.04 1728.26 -753668 -524177 0 0
1254.22 1783.33 -271829 -187036 0 0
1279.34 1801.57 -150088 -97845.8 0 0
1054.88 1702.81 -956810 -648797 0 0
1260.2 1788.59 -199691 -142269 0 0
1178.91 1741.05 -496247 -357198 0 0
1310.55 1817.7 -137057 -76414.4 0 0
1227.14 1767.83 -266858 -217179 0 0
960.534 1684.43 -970687 -685989 0 0
723.117 1675.98 -450760 -424496 0 0
1184.1 1744.11 -505840 -360695 0 0
1249.37 1788.57 -146966 -74682 0 0
678.036 1677.82 -639038 -553494 0 0
1105.58 1719.33 -919097 -621160 0 0
1095.68 1716.39 -934102 -625131 0 0
1170.07 1758.58 -188455 -170857 0 0
664.218 1678.25 -629049 -510310 0 0
1203.27 1768.33 -97473.4 -161377 0 0
648.15 1681.59 -612969 -492975 0 0
1083.51 1705.71 -1.0517e+06 -717220 0 0
984.313 1687.45 -1.01703e+06 -717328 0 0
1164.02 1754.02 -245063 -197038 0 0
1171.82 1746.75 -477106 -333721 0 0
1226.83 1762.21 -377919 -279794 0 0
1226.11 1778.16 -165370 -113181 0 0
1253.88 1778.97 -388781 -284579 0 0
843.116 1672.02 -563147 -473584 0 0
709.686 1674.75 -565169 -502617 0 0
1180.25 1758.51 -173790 -163207 0 0
922.49 1683.66 -796117 -584907 0 0
1066.36 1704.32 -1.08702e+06 -736329 0 0
848.388 1675.34 -590403 -484636 0 0
1049.35 1698.04 -1.05598e+06 -727242 0 0
1232.63 1767.41 -381334 -287969 0 0
724.378 1674.29 -514212 -472890 0 0
1169.43 1741.58 -569997 -398535 0 0
1173.51 1755.19 -174689 -172031 0 0
884.446 1688.43 -607183 -469372 0 0
1020.3 1689.51 -1.06165e+06 -733399 0 0
1199.66 1756.95 -268587 -171772 0 0
1172.28 1750.66 -260078 -229662 0 0
617.295 1694.14 -438450 -373072 0 0
1217.6 1766.6 -266915 -187624 0 0
1174.99 1742.95 -537599 -376865 0 0
1081.54 1707.25 -1.06743e+06 -728671 0 0
692.345 1676.43 -604940 -504213 0 0
869.241 1674.08 -690797 -544670 0 0
897.235 1686.59 -748472 -557853 0 0
638.249 1684.25 -598981 -489426 0 0
1284.96 1802.49 -146394 -102566 0 0
1221.91 1774.45 -163012 -117412 0 0
1244.77 1786.51 -154958 -97560.9 0 0
966.35 1687.26 -980698 -689684 0 0
1217.31 1772.56 -163744 -129020 0 0
1260.38 1793.51 -79526.2 -47239.3 0 0
913.862 1680.26 -861859 -634422 0 0
820.399 1677.97 -417776 -388713 0 0
1160.71 1748.05 -412251 -321200 0 0
1268.27 1797.71 -88587.5 -78271.3 0 0
964.645 1680.43 -962812 -686880 0 0
1213.22 1768.92 -168041 -142132 0 0
1102.09 1710.31 -1.00677e+06 -682257 0 0
1090.52 1709.04 -951660 -636231 0 0
1291.58 1808.17 -157150 -105472 0 0
831.045 1680.71 -458287 -413008 0 0
696.976 1673.85 -597029 -509160 0 0
1242.66 1782.56 -155983 -102291 0 0
1239.08 1773.94 -296552 -244542 0 0
1233.94 1776.75 -165362 -117556 0 0
1233.93 1770.93 -264637 -177205 0 0
1200.55 1766.28 -76255.9 -130120 0 0
1156.46 1745.52 -413148 -307018 0 0
1214.51 1761.97 -267206 -197085 0 0
726.056 1671 -511310 -467144 0 0
1224.24 1767.04 -395322 -274921 0 0
1062.54 1705.93 -996083 -686388 0 0
1274.07 1799.53 -153841 -104631 0 0
1110.89 1712.44 -982274 -663524 0 0
888.646 1683.02 -710933 -542178 0 0
1182.89 1745.42 -515018 -361197 0 0
1244.81 1780.62 -262961 -171688 0 0
1220.84 1766.05 -263870 -170898 0 0
643.991 1686.47 -529823 -417777 0 0
1283.8 1805.15 -150160 -94447.3 0 0
1079.12 1707.83 -962465 -648969 0 0
1216.82 1761.62 -381287 -253237 0 0
661.902 1682.71 -560976 -462699 0 0
1259.51 1779.85 -399727 -293424 0 0
616.241 1690.19 -449128 -384144 0 0
1222.6 1771.6 -160353 -121378 0 0
1025.93 1692.24 -1.07357e+06 -745249 0 0
862.788 1683.55 -522391 -443494 0 0
1244.11 1775.83 -383283 -259806 0 0
734.907 1673.53 -411649 -424634 0 0
1238.92 1771.24 -375887 -264950 0 0
1131.62 1738.21 -450274 -311632 0 0
1145.99 1734.43 -677565 -444040 0 0
1243.14 1776.72 -253131 -156113 0 0
1147.46 1729.27 -699303 -452008 0 0
1068.32 1702.75 -960730 -651677 0 0
1136.18 1719.98 -861944 -587784 0 0
1247.58 1779.83 -281031 -212178 0 0
1218.85 1758.22 -366387 -253914 0 0
710.791 1678.48 -501051 -465422 0 0
941.756 1693.1 -717067 -516688 0 0
628.331 1686.39 -560711 -458220 0 0
1082.63 1711.03 -882948 -595339 0 0
1117.08 1715.61 -982941 -664209 0 0
