x y z fx fy fz
1297.1 883.918 1749.49 7275.62 -3152.06 8519.6
1301.19 889.011 1747.76 -3021.81 -7264.35 18836
1301.02 888.121 1748.87 -10113.2 -11049.7 24310.6
1301.26 887.316 1747.5 -128.168 -21.7313 -2.73061
1300.43 893.877 1749.47 3522.47 3599.47 -9603.19
1300.76 889.002 1749.3 -2312.07 -4107.09 1593.08
1301.29 887.347 1745.64 7328.87 -3492.51 31827.4
1301.3 886.563 1745.83 -1809.07 -5948.57 -27537.2
1296.57 893.361 1749.75 9016.7 1101.99 12868.3
1296.38 901.61 1750.68 -1403.54 -1461.97 1003.13
1295.79 901.505 1750.32 5048.04 3605.97 8017.13
1294.1 907.036 1745.69 -9546.03 -2944.93 -226.701
1296.15 890.711 1748.23 -3248.94 -6280.02 -28560.6
1296.92 885.836 1749.4 -12676.6 -1800.5 -11054.9
1297.32 893.849 1750.35 7007.97 -1297.68 4463.63
1297.3 899.448 1750.76 -1477.45 -598.81 1278.87
1298.71 893.761 1750.55 7394.93 -913.226 188.097
1300.8 890.08 1749.19 1851.31 10048.3 -6376.56
1300.46 891.094 1749.61 14653.5 3815.56 -18216.3
1300.07 897.012 1749.62 -4585.8 -2966.1 -11126.2
1301.15 890 1747.13 127.126 -9278.42 8337.62
1301.2 889.25 1746.14 -1964.03 2093.96 -16969.7
1301.32 885.4 1746.65 11430.5 1528.16 12113.7
1300.72 894.72 1748.61 -924.36 -3450.99 -11483.9
1301.28 887.036 1746.85 9431.9 2703.02 -8378.64
1301.32 886.078 1745.75 120.688 13581.1 -21335.9
1301.32 885.878 1745.76 -255.449 -2384.42 10157.1
1301.27 887.616 1745.82 973.008 -5400.33 3102.65
1301.26 887.987 1745.94 1277 6070.21 -13664.9
1301.3 886.865 1745.51 226.443 -11126.4 5482.09
1301.27 887.703 1745.91 -204.013 -4928.13 17482
1301.33 885.337 1745.38 1274.94 2905.69 -11359
1301.33 885.486 1745.11 3486.25 -10770.4 23779.9
1301.32 886.245 1745.38 3121.22 8311.76 -13407.1
1301.31 886.364 1745.39 1814.24 5045.86 13086.8
1301.08 885.043 1744.93 -15261.7 -27.501 -2780.18
1301 885.348 1744.94 17345.2 18322.2 -9332.07
1301.23 885.209 1744.94 32441.4 2766.85 363.272
1301.06 885.27 1744.93 29208.6 -13816.7 -6506.26
1301.09 885.828 1744.96 14029.3 -8436.32 -1465.26
1300.98 885.102 1744.93 -69404.6 9772.76 -16807.7
1301.11 884.919 1744.92 -7372.22 -2729.19 -94.3998
1301.11 885.48 1744.94 -27638.6 -677.364 -3627.06
