x z szz sxx pp state
1280.63 1797.12 86792.3 -119971 0 8
1282.01 1784.55 -244386 -227476 0 0
1322.36 1794.99 -177762 -182137 0 0
1279.58 1798.2 80886.4 -89843.9 0 8
1300.18 1797.71 32453.5 -114502 0 8
1337.66 1791.16 -494731 -299505 0 4
1346.76 1783.85 -759219 -330368 0 4
1303.49 1796.54 27727.2 -133683 0 8
1322.74 1792.43 -233217 -220126 0 0
1338.01 1792.81 -462816 -282866 0 4
1299.09 1792.39 -87479 -179370 0 0
1325.53 1782.61 -523829 -371156 0 4
1323.59 1783.87 -485521 -351958 0 0
1348.09 1785.66 -743545 -322219 0 4
1323.32 1790.07 -318073 -261728 0 4
1331.41 1790.11 -421428 -296217 0 0
1277.67 1780.61 -330593 -250491 0 0
1324.81 1793.94 -238011 -210726 0 0
1331.23 1784.95 -549458 -352883 0 4
1297.33 1791.03 -117059 -208104 0 0
1282.77 1794.39 -24680.5 -115510 0 0
1347.1 1790.01 -692354 -299385 0 4
1267.73 1792.43 -58071.7 -83384.5 0 0
1279.35 1795.54 36548.9 -80131.2 0 8
1318.26 1796.92 -76496.7 -144303 0 0
1254.66 1785.02 -184153 -73433.6 0 0
1304.14 1796.71 23374.9 -125837 0 8
1298.75 1794.06 -65541.4 -165914 0 0
1272.44 1787.95 -157468 -140955 0 0
1283.91 1793.34 -40609.7 -128902 0 0
1251.94 1780.12 -203447 -93598.4 0 4
1349.29 1784.98 -785145 -330231 0 4
1345.18 1792.64 -643277 -303030 0 4
1251.9 1778.25 -275931 -69532 0 4
1308.82 1797.05 -365.038 -122778 0 8
1274.5 1784.67 -223201 -190276 0 0
1280.48 1793.71 -20074.4 -118427 0 0
1312.61 1793.17 -137134 -197856 0 0
1313.26 1791.95 -146306 -203592 0 0
1304.7 1798.75 20386.9 -98301.3 0 8
1338.62 1789.62 -570661 -326098 0 4
1275.92 1797.23 80415.2 -84681.3 0 8
1319.66 1797.03 -88691.7 -146982 0 0
1252.8 1785.04 -180155 -54565.7 0 12
1323.86 1781.53 -509158 -366734 0 4
1280.18 1785.86 -217318 -204715 0 0
1322.69 1782.47 -494021 -359291 0 0
1267.71 1794.41 36745.7 -65160.7 0 8
1285.12 1792.32 -42539.7 -135098 0 0
1256.12 1782.13 -228501 -88145.7 0 4
1275.1 1796.76 52144.1 -128934 0 8
1325.57 1784.07 -503841 -359877 0 0
1309.13 1798.3 19712.3 -120596 0 8
1276.62 1797.61 52676.3 -78246.6 0 8
1307.27 1797.96 14135.9 -100293 0 8
1257.45 1782.26 -252906 -99943.6 0 4
1338.96 1791.28 -516419 -299398 0 0
1271.98 1786.22 -189695 -157591 0 0
1308.29 1785.29 -300102 -291315 0 4
1274.4 1796.39 93744.1 -154483 0 8
1275.76 1782.76 -292446 -225155 0 0
1262.7 1791.64 -66302.5 -60174.2 0 0
1284.78 1786.14 -237362 -220376 0 0
1298.89 1782.35 -306868 -290129 0 0
1315.37 1794.8 -117398 -163119 0 0
1292.85 1796.95 61732.7 -129737 0 8
1307.58 1799.21 35275.4 -100562 0 8
1265.12 1789.95 -104353 -88410.6 0 0
1345.88 1782.41 -781461 -346785 0 4
1344.89 1781.76 -778730 -360823 0 4
1266.69 1791.32 -72877 -81666.8 0 0
1336.86 1796.51 -353756 -236297 0 0
1345.53 1783.91 -773854 -345958 0 4
1344.54 1783.26 -777814 -356566 0 4
1276.88 1781.11 -320922 -246259 0 0
1256.44 1788.47 -118127 -56143.5 0 0
1298.69 1796.49 37116.7 -139760 0 8
1270 1791.64 -76182.9 -97232.3 0 0
1327.59 1795.02 -230649 -200792 0 0
1305.27 1797.96 18403.5 -100060 0 8
1327.02 1793.5 -258101 -222145 0 0
1328.18 1791.75 -338692 -260098 0 0
1304.58 1799.21 39867.7 -100517 0 8
1323.12 1797.95 -102231 -141782 0 0
1308.99 1787.13 -269042 -270889 0 4
1266.43 1798.51 87378.2 -102896 0 8
1262.89 1790.38 -76992.3 -59478.3 0 0
1338.53 1796.44 -383998 -256791 0 0
1276.54 1784.4 -237151 -204591 0 0
1263.51 1787.13 -165030 -93631.3 0 0
1301.02 1780.64 -354652 -322500 0 4
1310.55 1799.09 5109.07 -94579.1 0 8
1322.56 1797.14 -110339 -152954 0 0
1257.88 1788.33 -127911 -72244.6 0 0
1331.53 1783.33 -600581 -375126 0 4
1259.62 1782.37 -250493 -128671 0 0
1279.4 1799.18 90068.2 -80730.3 0 8
1276.4 1799.18 90456.9 -76018 0 8
1310.02 1781.13 -401731 -341399 0 4
1320.8 1798.11 -87150.1 -126176 0 0
1265.6 1787.68 -169838 -114178 0 0
1347.18 1786.47 -730609 -312420 0 4
1253.89 1788.89 -122513 -21777.5 0 8
1327.87 1796.75 -207577 -183156 0 0
1324 1788.48 -370013 -291392 0 4
1317 1793.68 -138331 -185490 0 0
1316.23 1783 -409417 -332138 0 4
1332.91 1786.47 -538363 -331358 0 4
1262.81 1785.25 -204159 -114002 0 0
1278.29 1796.62 12099.5 -68197.3 0 8
1310.12 1793.97 -111944 -175936 0 0
1293.37 1791.72 -83184 -181587 0 0
1289.89 1790.35 -126083 -182925 0 0
1270.97 1793.55 1297.32 -82534.6 0 0
1334.04 1793.75 -369619 -259025 0 0
1254.99 1787.27 -160725 -50713 0 0
1347 1789.36 -685022 -300383 0 4
1276.61 1790.9 -88782.9 -126937 0 0
1252.57 1788.5 -142086 -26001.9 0 8
1302.87 1782.1 -345171 -314774 0 4
1349.29 1783.51 -794448 -336158 0 4
1272.37 1794.23 3100.68 -84636.1 0 0
1347.96 1782.48 -799452 -339531 0 4
1302.66 1786.01 -250872 -266369 0 4
1319.7 1793.64 -172229 -190646 0 0
1291.8 1789.87 -156939 -204617 0 0
1310.3 1785.92 -295769 -283438 0 4
1317.89 1783.33 -428983 -338787 0 4
1347.89 1787.97 -756368 -319941 0 4
1318.43 1794.88 -129081 -168374 0 0
1287.04 1793.11 -49661 -143911 0 0
1348.8 1783.45 -793227 -337300 0 4
1257.45 1780.3 -283737 -132223 0 0
1347.59 1784.82 -740407 -321326 0 4
1295.48 1791.14 -103907 -191336 0 0
1308.56 1791.9 -135484 -199632 0 0
1307.69 1790.69 -155672 -216740 0 4
1302.74 1790.56 -132785 -216706 0 4
1317.18 1786.99 -323783 -292666 0 4
1273.78 1786.36 -206681 -175143 0 0
1261.79 1788.53 -125024 -74558.1 0 0
1289.35 1797.27 71137.6 -132082 0 8
1286.97 1782.31 -324519 -274067 0 0
1287.51 1799.1 82529.5 -104689 0 8
1291.81 1795.1 -11286.3 -128592 0 0
1329.11 1797.72 -191437 -159960 0 0
1340.49 1785.55 -687609 -349299 0 4
1274.99 1790.32 -86483.7 -124349 0 0
1313.48 1787.69 -284186 -271905 0 4
1326.89 1787.61 -416120 -307806 0 4
1274.42 1792.3 -39495.7 -87107.8 0 0
1345.03 1790.51 -653649 -313515 0 4
1265.5 1780.82 -322298 -196920 0 0
1331.07 1798.4 -200575 -173358 0 0
1279.52 1779.69 -374049 -278861 0 0
1285.67 1779.64 -377766 -290752 0 0
1287.51 1799.1 84382.1 -98839.2 0 8
1330.64 1796.86 -231176 -194382 0 0
1331.07 1795.82 -260867 -209271 0 0
1255.34 1790.09 -76761.2 -39304.9 0 8
1348.8 1787.16 -770189 -331170 0 4
1318.32 1785.14 -386459 -316788 0 4
1292.34 1793.27 -60986.4 -159732 0 0
1318.62 1788.76 -300907 -267399 0 4
1311.02 1780.54 -418291 -346439 0 4
1265.45 1797.06 27876.9 -56219.1 0 8
1267.14 1794.85 22585.2 -78752.3 0 0
1296.01 1798.78 53913.3 -109198 0 8
1260.9 1793.15 -26170.6 -39092.8 0 0
1298.87 1797.53 44874.6 -130326 0 8
1309.61 1784.08 -324965 -301044 0 4
1328.63 1787.85 -442193 -325846 0 4
1315.13 1786.79 -307913 -292671 0 4
1330.29 1782.34 -581113 -370045 0 4
1285.36 1788.49 -165811 -202191 0 0
1295.62 1788.91 -166534 -222582 0 0
1297.47 1788.8 -174490 -231650 0 0
1269.68 1795.01 31435.4 -54787.4 0 8
1278.67 1790.22 -115262 -148795 0 0
1336.1 1794.08 -398482 -280052 0 0
1288.78 1798.32 81564.8 -117296 0 8
1251.81 1786.89 -185364 -47365 0 0
1313.17 1789.32 -227566 -237968 0 0
1339.98 1796.99 -366294 -245448 0 0
1304.28 1792.02 -117203 -193115 0 0
1300.82 1791.11 -113607 -198420 0 0
1283.69 1785.15 -245619 -227582 0 0
1252.68 1798.35 79160.6 -36245.7 0 8
1344.93 1789.86 -668977 -320040 0 4
1251.95 1799.18 80167.2 -28594.9 0 8
1343.05 1784.32 -746167 -359193 0 0
1331.96 1787.73 -502126 -325439 0 4
1294.98 1781.46 -327987 -293847 0 0
1320.37 1798.91 -74115.2 -118495 0 0
1340.27 1783.81 -706174 -360028 0 4
1265.88 1782.69 -285165 -173203 0 0
1296.53 1783.36 -262387 -279380 0 0
1279.04 1786.84 -189054 -186734 0 0
1251.59 1788.68 -122693 -29575 0 8
1283.56 1798.02 87988.3 -97163.5 0 8
1321.57 1783.1 -473663 -347283 0 4
1294.7 1786.17 -215330 -251971 0 0
1308.86 1782.5 -382059 -332092 0 4
1294.03 1783.06 -287539 -276860 0 0
1296.01 1798.78 55315.4 -107704 0 8
1290.17 1781.73 -346643 -287773 0 0
1318.17 1781.85 -470826 -361369 0 0
1312.22 1781.17 -414783 -343192 0 0
1320.41 1785.61 -399099 -323106 0 4
1318.27 1792.43 -194403 -210873 0 0
1329.37 1781.52 -591827 -378288 0 0
1256.12 1780.16 -286063 -137043 0 4
1320.64 1787.6 -342522 -294511 0 0
1304.31 1786.81 -238023 -260010 0 4
1315.65 1781.4 -445527 -353683 0 4
1329.14 1790.26 -394050 -282314 0 0
1347.59 1796.68 -578656 -248274 0 4
1294.28 1798 68051.4 -129538 0 8
1348.66 1797.89 -646209 -275959 0 4
1294.76 1780.83 -349218 -301702 0 4
1340.06 1788.49 -613912 -328696 0 4
1342.4 1786.13 -684212 -336462 0 0
1296.54 1781.56 -321333 -298383 0 0
1301.37 1782.03 -329306 -307848 0 4
1273.72 1783.04 -282891 -211866 0 0
1326.79 1798.29 -148615 -156798 0 0
1325.79 1798.29 -134959 -149377 0 0
1316.91 1780.95 -457632 -357529 0 4
1295.06 1784.2 -253047 -267693 0 0
1324.26 1799.04 -100728 -124602 0 0
1306.64 1781.6 -379419 -329850 0 4
1339 1786.69 -611765 -333546 0 0
1342.06 1788.02 -640845 -317412 0 0
1304.03 1780.76 -372914 -331954 0 4
1270.98 1789 -131929 -122404 0 0
1265.5 1797.77 47261.3 -52159 0 8
1326.71 1781.09 -571105 -380649 0 4
1343.48 1788.74 -639870 -312237 0 4
1287.13 1790.91 -123461 -179469 0 0
1339.47 1794.33 -484527 -281582 0 0
1337.56 1787.82 -580415 -337321 0 4
1346.64 1797.53 -529303 -300300 0 0
1340.83 1798.21 -390265 -249954 0 0
1307.25 1782.26 -363755 -322403 0 0
1292.56 1788.07 -190575 -227371 0 0
1303.7 1784.3 -282149 -283921 0 0
1330.28 1786.21 -497005 -336938 0 4
1304.75 1784.89 -286491 -282611 0 4
1289.01 1784.89 -252530 -247418 0 0
1302.64 1787.9 -217819 -248104 0 0
1290.68 1784.88 -258880 -253376 0 0
1323.39 1793.51 -233657 -213247 0 0
1271 1784.25 -260312 -180845 0 0
1285.21 1790.12 -114561 -174373 0 0
1288.23 1794.06 -47550.8 -138819 0 0
1320.31 1788.9 -297521 -267170 0 4
1332.77 1794.13 -340434 -237140 0 0
1312.34 1785.8 -310848 -293981 0 0
1294.36 1780.23 -357518 -304777 0 0
1252.48 1795.41 -5274.35 21032.7 0 8
1281.85 1780.42 -362997 -275642 0 0
1343.82 1786.84 -680216 -329376 0 4
1251.75 1794.44 -24285.3 21110.5 0 8
1272.02 1782.75 -280966 -206073 0 0
1256.43 1787.13 -169945 -67899.6 0 0
1300.5 1781.3 -341647 -312318 0 4
1342.77 1797 -432956 -247393 0 0
1268.8 1786.26 -202913 -142330 0 0
1332.57 1798.27 -237574 -184099 0 0
1300.72 1788.45 -200869 -234811 0 0
1270.07 1789.84 -111291 -111602 0 0
1252.89 1782.89 -211832 -82049.2 0 0
1310.14 1796.77 -5341.95 -125737 0 8
1331.64 1796.74 -256045 -211858 0 0
1254.86 1779.28 -320647 -145863 0 4
1335.53 1799.15 -244254 -183894 0 0
1291.67 1786.58 -224979 -241705 0 0
1269.47 1798.38 83846.2 -78749 0 8
1281.93 1781.86 -328324 -261922 0 0
1294.26 1787.69 -194566 -239668 0 0
1264.01 1798.55 83017 -61963.4 0 8
1298.77 1784.68 -253367 -268044 0 0
1265.53 1782.26 -283150 -170964 0 0
1328.04 1799.25 -142574 -141716 0 0
1291.34 1798.17 66707.2 -112722 0 8
1341.69 1782.95 -751329 -373649 0 0
1254.19 1798.35 65986.9 -35196.6 0 8
1268.04 1783.22 -252989 -175135 0 0
1275.77 1779.94 -343173 -258831 0 0
1278.86 1790.49 -107945 -142433 0 0
1260.89 1779.34 -314302 -160960 0 4
1280.34 1779.42 -385968 -281437 0 0
1313.1 1782.42 -424074 -343150 0 4
1336.66 1797.93 -301149 -212706 0 0
1268.15 1789.47 -102108 -94828.4 0 0
1259.79 1787.44 -149199 -76356.5 0 0
1253.5 1779.76 -259704 -79313.6 0 0
1289.31 1795.42 -2374.64 -128973 0 0
1340.92 1794.88 -486736 -282575 0 4
1287.34 1780.46 -365407 -291854 0 0
1286.01 1799.1 86385.9 -90830.7 0 8
1288.19 1789.85 -125672 -188693 0 0
1327.66 1781.46 -581851 -383901 0 4
1284.51 1799.1 87313.2 -86604.7 0 8
1263.96 1797.84 65045.5 -68210.1 0 8
1271.43 1781.23 -316299 -225210 0 0
1260.97 1796.57 79628.4 -99127.5 0 8
1299.12 1787.5 -193911 -244302 0 0
1345.4 1797.17 -520568 -280340 0 0
1259.59 1778.16 -361512 -206548 0 4
1305.41 1781.55 -371949 -331195 0 4
1298.03 1786.09 -201341 -255052 0 0
1320.19 1781.41 -482335 -359175 0 4
1284.51 1799.1 86012.8 -91861.7 0 8
1251.73 1797.49 -64554.4 29358.8 0 8
1290.68 1779.67 -382159 -307067 0 4
1290.18 1780.5 -361583 -295244 0 0
1250.95 1778.95 -229712 -94790.9 0 4
1250.5 1778.11 -209843 -87459.3 0 4
1264.37 1784.14 -250015 -141574 0 0
1297.78 1781.01 -335481 -305188 0 4
1250.5 1779.14 -212236 -88958.3 0 4
1252.56 1781.23 -198494 -97203 0 0
1314.12 1781.55 -435398 -351060 0 4
1262.02 1796.74 44943.2 -66668.3 0 8
1344.95 1798.37 -463945 -253352 0 0
1348.94 1794.46 -703208 -298021 0 4
1256.43 1792.69 -60645.9 -29012.4 0 0
1284.1 1779.57 -370354 -284196 0 0
1255.14 1794.2 -30050.4 -6826.34 0 8
1251.49 1780.99 -191185 -86539.5 0 4
1348.2 1795.47 -670187 -284438 0 4
1270.47 1798.38 83324 -81853.5 0 8
1265.16 1780.39 -321684 -195333 0 0
1274.18 1794.16 -3085.6 -67391.9 0 0
1335.53 1799.15 -244486 -184286 0 0
1344.14 1793.96 -558562 -286874 0 0
1307.7 1798.75 19062.9 -95246.3 0 8
1316.39 1798.01 -43553.3 -110173 0 0
1309.42 1780.04 -415026 -349247 0 4
1283.22 1779.24 -377426 -289217 0 0
1287.89 1785.9 -240329 -243051 0 0
1347.6 1781.72 -799297 -336887 0 0
1256.58 1798.08 65528.7 -42940.5 0 8
1256.42 1792.15 -32670 -28470.4 0 8
1347.31 1794.48 -614978 -256075 0 4
1250.76 1790.35 -134935 -3716.52 0 8
1318.3 1790.06 -260111 -242162 0 4
1271.47 1779.65 -352968 -241602 0 0
1267.34 1787.61 -180463 -126633 0 0
1342.72 1794.89 -507406 -300653 0 4
1316.03 1799.09 -5521.68 -95778.2 0 8
1259.57 1798.9 81114.4 -62505 0 8
1263.94 1799.29 86603.2 -79236.1 0 8
1259.46 1798.01 79312 -69892.4 0 8
1260.26 1794.24 -12648.7 -29135.9 0 8
1259.23 1779.35 -335322 -193849 0 0
1251.49 1794.37 -67380.6 13607 0 8
1312.05 1799.09 1570.72 -95871.2 0 8
1332.53 1799.15 -217215 -172804 0 0
1286.26 1779.36 -393719 -298687 0 0
1291.36 1783.35 -285033 -270883 0 0
1313.03 1783.87 -368113 -321337 0 4
1250.5 1780.56 -197347 -78296 0 4
1306.52 1784.4 -306924 -298937 0 4
