x y z sxx syy szz sxy sxz syz pp
1300.18 884.163 1797.71 -331159 -327932 -136383 -6927.2 -204222 41990.9 0
1299.82 882.873 1798.96 -324981 -319673 -118250 -7745.06 -196091 37043.9 0
1296.97 882.389 1794.2 -382215 -385954 -254803 -17230.1 -198180 33959.9 0
1299.09 885.448 1792.39 -392963 -408515 -280412 -25223.7 -200477 35162.6 0
1299.28 887.275 1792.78 -373722 -383932 -259495 -24486.8 -198781 35693.3 0
1297.33 885.918 1791.03 -358707 -392744 -283161 -34559.3 -207474 36446.1 0
1297.53 887.745 1791.41 -345575 -377319 -273332 -30460.4 -205617 36037.9 0
1298.75 883.982 1794.06 -378207 -380585 -255833 -16135.5 -195987 37915 0
1298.89 883.53 1782.35 -427288 -456294 -498585 -81480.9 -264953 48443.4 0
1298.69 884.441 1796.49 -361985 -339635 -128807 -8735.64 -208288 41331.8 0
1298.83 887.963 1796.67 -367269 -352356 -125110 -193.679 -210149 30711 0
1298.59 887.545 1780.13 -484127 -506525 -560558 -72127.1 -270135 49899.4 0
1300.49 883.181 1792.78 -375073 -381905 -271459 -22252.1 -200863 38739.7 0
1300.19 887.602 1781.14 -454148 -484446 -536666 -73961.2 -265158 50283.1 0
1298.87 886.209 1797.53 -333132 -295958 -98323 -8434.01 -204399 34213 0
1297.47 885.968 1788.8 -353839 -402883 -313131 -51726.2 -259894 47314.1 0
1298.32 882.007 1798.96 -362238 -345243 -144919 -13353.6 -196347 37675.1 0
1300.39 886.818 1783.73 -443125 -466027 -484546 -71116.3 -256863 45851.8 0
1300.82 884.647 1791.11 -388104 -406590 -295416 -31856.1 -205798 36121.7 0
1297.33 883.151 1797.74 -404750 -367548 -152900 -11515.7 -204776 35783.5 0
1299.24 886.525 1786.45 -401941 -432147 -392920 -66135 -245419 49031.8 0
1300.5 884.115 1781.3 -471922 -492102 -550004 -80257.7 -266590 44086.3 0
1300.72 883.884 1788.45 -419824 -450160 -399385 -47932.2 -253759 44396.8 0
1298.77 886.295 1784.68 -420437 -451426 -446660 -68506.7 -246700 49368.6 0
1297.16 887.489 1784.01 -418174 -453606 -457899 -68839 -250825 51923.6 0
1299.12 884.735 1787.5 -380524 -421377 -359093 -53981.9 -253867 42506.9 0
1298.03 883.538 1786.09 -408104 -431567 -370236 -59813.4 -267082 29007.4 0
1297.78 883.828 1781.01 -476565 -496371 -548772 -74832.2 -271135 51413 0
1297.58 887.757 1787.74 -360989 -401953 -331875 -63925.1 -254213 52395.2 0
1300.36 885.931 1798.75 -310207 -292176 -115781 -8425.14 -202679 39123.7 0
1298.14 884.332 1784.03 -436929 -454969 -448497 -72176.5 -252228 41107.2 0
1300.15 884.833 1779.91 -488571 -510540 -573546 -77085.4 -269084 44013.2 0
1297.9 886.108 1779.56 -491450 -507358 -566321 -76720.6 -273444 49692.2 0
1297.51 886.651 1798.78 -344731 -306809 -102753 799.803 -199202 33112.1 0
1297.25 882.626 1780.43 -494545 -509271 -588632 -78355.7 -279631 42405.1 0
1298.65 884.839 1779.84 -489574 -506133 -567968 -77713.6 -274629 45397.3 0
1297.17 883.553 1771.18 -723222 -731666 -761689 -54359.4 -273819 49920.2 0
1298.56 885.66 1770.63 -732544 -742272 -761215 -52601.1 -264577 58251.5 0
1297.02 884.542 1771.62 -725842 -742897 -758770 -53573 -270773 53643.8 0
1298.75 886.769 1770.96 -730610 -748354 -760515 -54511.2 -261162 68523.4 0
1297.35 882.457 1772.12 -726258 -739173 -753816 -54376.4 -271981 48239.4 0
1299.42 885.62 1770.03 -751647 -758775 -790559 -54209 -261402 61003.1 0
1299.62 886.729 1770.36 -747455 -762944 -785907 -55524.2 -258918 70650.3 0
1298.83 884.891 1771.36 -742619 -750210 -761959 -51639 -260718 65207.5 0
1300.49 885.93 1776.14 -718666 -732804 -666669 -55015.2 -272149 87722.5 0
1297.75 887.687 1770.71 -743880 -756959 -770620 -51396.8 -262800 68959.5 0
1297.86 883.664 1770.34 -745124 -748217 -784276 -54360.6 -271328 50839.8 0
1297.7 884.653 1770.77 -745458 -757016 -780557 -55364.6 -270260 54742.8 0
1300.55 887.124 1770.32 -737377 -755068 -786913 -50957.7 -254027 72484.6 0
1299.09 887.523 1772.27 -722380 -739586 -722453 -54409.1 -267101 67907.4 0
1298.79 885.315 1772.76 -734658 -739089 -730891 -52476.9 -271109 68149.3 0
1297.45 884.189 1775.8 -690603 -719892 -683831 -59870 -272032 71000 0
1297.43 887.718 1775.73 -712915 -723916 -659681 -52358.2 -279622 84312.1 0
1298.59 882.037 1770.72 -737959 -744215 -779389 -57146.9 -265660 43010.4 0
1297.58 884.898 1773.06 -727073 -731133 -714338 -55138.7 -275208 61334.5 0
1300.35 883.011 1770.58 -734511 -741221 -770126 -52428.2 -254060 55217 0
1298.85 886.837 1773.34 -737076 -759617 -737003 -52276.2 -264778 78788.3 0
1300.67 883.128 1771.72 -740888 -746815 -762343 -51112.4 -254219 58836.8 0
1300.64 883.849 1771 -741858 -746224 -762799 -53405.7 -253819 55193.2 0
1297.45 887.351 1774.08 -733250 -750963 -712389 -49951.5 -261328 76819.7 0
1299.71 884.687 1776.18 -717725 -720348 -654655 -56003.3 -276690 74964.5 0
1297.43 885.421 1770.05 -739092 -753754 -793219 -57226.6 -274782 51494 0
1297.65 882.458 1773.58 -736721 -738881 -733839 -51334.2 -276168 52949.6 0
1300.19 882.786 1773.87 -715970 -728182 -718068 -59801 -264548 63223.9 0
1300.38 882.29 1771.3 -736678 -745510 -770217 -51621.4 -253801 56316.6 0
1299.91 887.279 1776.98 -715712 -744365 -646568 -53317.7 -267554 92174.2 0
1298.65 887.39 1777.65 -735429 -746640 -631747 -50740.3 -257939 90478.4 0
1300.83 882.43 1775.09 -741266 -751433 -727587 -48095.2 -266452 67425 0
1300.09 887.093 1774.32 -752747 -762866 -721988 -51530.8 -256195 78250.6 0
1299.64 883.484 1770.45 -739161 -743952 -777626 -53000.9 -254320 54652.2 0
1300.43 883.671 1776.62 -705874 -718097 -651599 -60042.1 -270715 76809.8 0
1299.94 884.322 1770.87 -740882 -748718 -771153 -53270.3 -254716 57431.9 0
1300.8 885.775 1774.4 -734245 -744183 -709106 -64270.6 -254016 79455.2 0
1299.53 883.99 1774.51 -723067 -743931 -713413 -54016.3 -262501 69219.3 0
1298.69 883.065 1770.5 -740989 -745637 -787543 -55763.9 -266869 46309.7 0
1297.88 886.114 1777.86 -741294 -742027 -622525 -51858.3 -256926 86832.7 0
1299.22 887.416 1769.62 -730703 -748134 -772795 -60384.5 -261653 59897.6 0
1299.83 883.311 1777.8 -703138 -728787 -641646 -58782.3 -264934 87109.3 0
1298.36 884.76 1777.24 -754091 -735824 -659432 -56270.1 -254108 72267.6 0
1298.03 883.911 1774.08 -734269 -744468 -715497 -52567.3 -271746 68135 0
1300.24 885.027 1770.18 -740712 -751465 -784193 -55142.2 -256029 55322.2 0
1298.6 883.944 1778.29 -758136 -750477 -648240 -48280.7 -247580 82741.7 0
1300.12 884.774 1773.51 -722756 -732190 -713410 -53304.6 -266163 65271.4 0
1300.78 883.57 1772.87 -722795 -730281 -726007 -54956.4 -266723 62916 0
1297.84 882.698 1778.52 -747606 -742846 -630635 -43295.8 -248937 76031.1 0
1300.15 887.811 1769.59 -727300 -749619 -783927 -58837.8 -250819 65277.3 0
1299.93 883.865 1766.91 -1.0577e+06 -1.00286e+06 -829489 -15084.8 -252562 97160.4 0
1299.29 885.475 1765.25 -1.04452e+06 -995143 -874312 -19128.9 -259486 73889.1 0
1299.7 884.042 1768.06 -1.056e+06 -995125 -808672 -10689 -258815 102649 0
1300.21 887.259 1764.6 -1.04214e+06 -1.00464e+06 -881681 -24162 -247225 80574.5 0
1299.93 886.145 1765.68 -1.04211e+06 -1.00557e+06 -851445 -22966.8 -248637 93905.5 0
1298.71 883.805 1767.82 -1.05262e+06 -1.00326e+06 -829066 -14862.5 -280447 94804.2 0
1300.48 885.757 1763.94 -1.02446e+06 -967367 -868964 -23068.5 -248109 101517 0
1298.61 882.721 1761.74 -974124 -940827 -883688 -46549.9 -307416 79672 0
1299.66 885.311 1764.14 -1.02121e+06 -974952 -842881 -24243.8 -264554 83522.8 0
1299.86 884.564 1764.39 -1.01835e+06 -966339 -837512 -24170.3 -263854 103082 0
1298.25 887.793 1761.27 -912356 -915267 -824119 -57049.6 -308240 99413.7 0
1300.63 882.893 1762.24 -989645 -958942 -903994 -42580.5 -255359 72409.9 0
1298.94 883.628 1766.67 -1.05988e+06 -1.00963e+06 -845366 -17259.9 -274879 89468.7 0
1299.5 884.728 1765.5 -1.04122e+06 -984248 -871464 -18316.5 -258108 96308.3 0
1297.64 887.995 1761.57 -949732 -927033 -827732 -55707.1 -322426 110360 0
1298.84 887.527 1761.7 -953442 -935455 -808850 -41847.4 -295503 87710.6 0
1300.56 886.457 1764.87 -1.04738e+06 -1.0051e+06 -882729 -20966.1 -246664 88819 0
1300.73 886.749 1761.05 -918735 -909374 -877227 -42729.9 -237929 101280 0
1300.27 885.627 1761.65 -900621 -911921 -848497 -26302.6 -245313 98576.5 0
1300.25 883.705 1768.74 -1.08057e+06 -997524 -812828 -4325.81 -268163 101670 0
1298.7 887.804 1764.7 -1.03725e+06 -979654 -848510 -27368.6 -280841 101929 0
