x y z sxx syy szz sxy sxz syz pp
1296.97 882.389 1794.2 -509037 -468729 -350661 -53219.4 -216850 667.292 0
1297.33 885.918 1791.03 -458511 -454956 -348867 -68468.7 -215783 4896.62 0
1297.53 887.745 1791.41 -455250 -448594 -346680 -70132 -216482 3245.01 0
1298.75 883.982 1794.06 -491330 -462043 -344194 -52466 -213460 4367.25 0
1298.89 883.53 1782.35 -561844 -570596 -587917 -93502.4 -260655 5233.81 0
1298.69 884.441 1796.49 -369885 -344477 -184317 -38917.8 -180080 1426.8 0
1298.83 887.963 1796.67 -367224 -347148 -177350 -35948.6 -180169 -4858.78 0
1295.45 882.753 1792.64 -430375 -418698 -308817 -58013.9 -216295 1918.86 0
1298.59 887.545 1780.13 -612692 -620937 -649188 -88085.2 -275636 9917.64 0
1295.48 884.816 1791.14 -457349 -453114 -344769 -67507.3 -219765 396.984 0
1296.01 885.785 1798.78 -527631 -433779 -251021 -49706.4 -198051 -3507.08 0
1298.87 886.209 1797.53 -349457 -303261 -164631 -48298.8 -180238 -402.358 0
1296.06 883.339 1787.39 -527201 -524026 -474606 -83218.6 -255975 -5949.72 0
1295.62 884.865 1788.91 -499201 -497468 -423929 -75687.1 -245788 3932.74 0
1297.47 885.968 1788.8 -490410 -489755 -418623 -74540 -237492 6638.19 0
1298.32 882.007 1798.96 -437578 -391490 -200738 -51073.9 -188014 -1580.61 0
1297.33 883.151 1797.74 -496586 -429835 -249130 -54303.2 -201972 -2654.24 0
1296.53 885.526 1783.36 -554519 -556087 -540078 -87579.3 -258025 4087.46 0
1296.01 884.053 1798.78 -555118 -464138 -267464 -48806.7 -205243 -5965.26 0
1296.54 885.158 1781.56 -581345 -583329 -602603 -91371.8 -268472 8703.21 0
1295.06 885.546 1784.2 -526501 -533159 -513309 -83540.8 -253130 3175.55 0
1295.78 882.709 1780.35 -606574 -614841 -627682 -86869.8 -256602 -552.086 0
1296.65 886.584 1780.28 -591589 -598614 -633488 -89466.4 -272728 8966.34 0
1295.4 886.654 1779.4 -623929 -633843 -648478 -84290.3 -257948 3274.71 0
