x y z sxx syy szz sxy sxz syz pp
1304.54 887.794 1747.4 -439981 -698302 -1.35501e+06 -4296.9 -11564.1 32441.8 0
1301.51 885.755 1746.72 -347187 -455111 -607120 45287.5 -170655 102719 0
1302.67 886.457 1745.88 -451319 -665719 -1.19026e+06 17553.5 -160165 20923.5 0
1301.86 883.448 1748.56 -391880 -536790 -874868 6953.58 110873 -15735.3 0
1301.95 883.47 1745.78 -109217 -312029 -376718 13023.3 -96777.1 44069.6 0
1301.49 886.29 1746.48 -233183 -329015 -471349 -6199.9 -129597 -3327.99 0
1301.43 885.76 1746.75 -211660 -295944 -318092 -8721.13 -86554.8 49530.9 0
1302.94 885.398 1747.74 -377892 -605584 -1.14647e+06 -2011.51 73380 -6298.89 0
1303.75 883.412 1745.7 -760765 -808749 -1.59651e+06 -2777.36 -455195 28794.9 0
1301.02 887.858 1748.41 -282773 -430341 -505602 -50299.1 -15961.7 12068.6 0
1300.27 884.444 1749.18 -403968 -458154 -615109 47834.7 150179 50852 0
1301.32 882.552 1748.6 -183056 -269606 -423862 -7477.57 -31339.1 12953.2 0
1300.71 885.334 1748.98 -361483 -430116 -649535 59852.1 154151 -17152.6 0
1301.42 886.342 1746.45 -358710 -418087 -509820 39102.2 -146668 37783.3 0
1301.44 884.894 1745.84 -360047 -403131 -591619 40811.8 -190557 51459.4 0
1300.59 885.685 1749.12 -169024 -242404 -336285 -2614.24 74865.4 -50036.6 0
1302.71 883.423 1746.5 -306373 -505779 -946524 6638.5 -66095.6 8840.94 0
1302.13 882.943 1747.26 -231513 -417883 -697463 -5387.1 -62804.9 21429.3 0
1300.58 885.686 1749.02 -411005 -527066 -754307 44586.2 126330 58455.5 0
1301.18 885.373 1749.34 -297018 -383933 -486908 43461 42276.3 -9018.89 0
1303.4 887.88 1748.87 -393199 -602075 -1.15212e+06 -49124.1 122721 17151.6 0
1300.38 885.392 1749.14 -498948 -499195 -736614 67247.8 172115 48520.7 0
1300.7 883.215 1749.3 -466732 -445513 -602281 62977.3 130105 4133.48 0
1304.99 885.271 1748.01 -600086 -859446 -1.84629e+06 -31728.9 -93710.8 -9578.76 0
1306.56 887.297 1748.32 -629038 -811318 -1.76561e+06 -59232.8 -237754 -5073.92 0
1301.05 882.72 1748.47 -69052.3 -172377 -177690 -72815.9 1991.58 -18878.6 0
1301.95 883.33 1748.65 -424607 -542806 -903568 16283.2 115557 -38802.8 0
1300.66 886.044 1748.91 -517387 -584899 -911709 75241.3 130011 46292.4 0
1301.38 885.816 1746.68 -134853 -211276 -251070 -38759.4 -62727.3 47653.5 0
1301.61 885.709 1748.44 -189612 -265448 -336610 -18300.6 -21981.2 -29008.2 0
1301.5 883.223 1746.94 -168950 -318542 -412590 -45330.6 -84044.2 21936.4 0
1302.79 882.933 1748.69 -411914 -574669 -1.05908e+06 -24561.8 169849 -21004.3 0
1301.58 887.739 1747.15 -40188 -132977 -188298 -84678 7900.01 9636.22 0
1301.91 883.201 1748.6 -357178 -499142 -760442 24128 81869.6 11240.3 0
1301.75 887.689 1748.34 -291303 -460699 -556603 -11854.3 51259.2 -19261.4 0
1303.66 884.148 1745.95 -441645 -629501 -1.13569e+06 -56245.6 -184571 -52157.7 0
1301.51 885.824 1746.63 21363.6 -41130.6 -72532.9 -57491.7 -3318.78 14232.3 0
1301.75 884.476 1748.73 -219187 -382329 -481663 13881.6 266.577 -8514.63 0
1300.74 885.63 1749.22 -171005 -222224 -308833 508.776 14582.8 -54330.5 0
1303.11 885.507 1747.75 -408061 -640036 -1.23432e+06 2946.11 95307.9 -12864 0
1301.09 884.951 1748.36 -97432.2 -179904 -249570 -83225.1 -1248.63 -8985.65 0
1303.93 882.033 1746.62 -532618 -713644 -1.47747e+06 -31659.9 -197459 -32471.5 0
1304.91 887.024 1749.11 -403968 -655173 -1.27975e+06 -18208.8 59293.5 17710.1 0
1301.42 882.906 1747.57 37999.7 -11074.6 -35245.4 -43330.4 29329 -4103.63 0
1301.68 886.14 1747.07 -253480 -459276 -458711 16003.6 -90949 76254.5 0
1304.72 887.053 1746.46 -800653 -933114 -2.07386e+06 -80108.6 -313401 -77576.7 0
1301.42 885.852 1746.6 -220976 -332829 -371442 1237.09 -109074 51115.5 0
1300.94 885.876 1749.05 -419588 -488900 -730796 75698.1 31335.6 20133.9 0
1305.04 885.296 1748.32 -459649 -709745 -1.45555e+06 -16286.9 -36752.2 28343.8 0
1301.03 882.34 1748.42 -319599 -517424 -746682 24178 -17293 13496.9 0
1302.08 886.379 1748.85 -417019 -507163 -865290 1421.8 148786 -6282.54 0
1300.93 882.571 1748.47 -453695 -634318 -1.0703e+06 59863.6 21071.6 11477.9 0
1301.76 884.01 1746.37 -276542 -447451 -658424 15928.3 -186078 38503.8 0
1305.86 887.29 1748.2 -597304 -838958 -1.77845e+06 -16520 -173720 63074 0
1300.44 884.016 1749.2 -362990 -483194 -575310 71322.4 137035 31911.2 0
1301.45 885.515 1745.82 6795.31 -56312.3 -81099.3 -52077.4 -35509.2 30618.8 0
1302.72 885.981 1747.67 -395215 -623763 -1.21397e+06 -6021.21 66351 -20722.1 0
1304.18 882.272 1747.49 -592682 -855839 -1.77268e+06 -54305.8 -92142.6 -62928.4 0
1305.82 884.013 1747.92 -678937 -864656 -1.91151e+06 -51090 -250139 73.8643 0
1301.11 887.081 1748.34 -426524 -605761 -856457 24204.4 -538.038 6529.91 0
1301.45 883.396 1746.4 -134491 -323480 -323147 -12498.9 -92863.8 75224.2 0
1301.65 883.616 1747.43 -334518 -538055 -793070 17438.3 -126708 37537.2 0
1302.72 883.39 1746.68 -359182 -560884 -1.12533e+06 7388.88 -36773.6 -4828.15 0
1301.89 885.523 1747.19 -262467 -493144 -615693 3757.5 -76613.6 53815.8 0
1304.31 882.819 1749.31 -473484 -725190 -1.45572e+06 -25116.7 84469 14602.3 0
1301.4 884.438 1745.91 -15585.3 -146775 -172676 -42380.3 -53095.6 60570.5 0
1302.75 886.53 1745.71 -177630 -354031 -366393 6028.18 -77859.4 19971.3 0
1300.28 886.435 1749.38 -217148 -225626 -298162 3863.87 77317 -70212.7 0
1301.76 885.079 1745.9 -337213 -490853 -797133 26615.3 -205801 32253 0
1302.4 884.154 1745.76 -274274 -462670 -783274 31636.8 -143331 54558.7 0
1300.56 885.615 1748.98 -296605 -428061 -588530 6895.3 42630.2 42091.2 0
1301.46 883.166 1747 -76847.3 -215729 -304593 -88766.2 -30370.5 29629.8 0
1312.56 886.47 1749.35 -689528 -768319 -1.62724e+06 -67474.1 -306062 21763.3 0
1300.54 885.604 1749.17 -308312 -506369 -575556 26604.1 54241.8 59936.7 0
1310.39 883.416 1746.63 -814702 -831498 -1.69284e+06 -48891.3 -290982 14932.3 0
1302.15 886.462 1747.49 -333742 -543154 -1.03443e+06 -12508.9 45137.8 753.967 0
1300.37 886.497 1749.18 -521766 -550615 -808277 52013.8 146272 59370.5 0
1305.93 883.897 1748.23 -572300 -775190 -1.65419e+06 -52117.6 -179236 -16082.9 0
1306.2 883.741 1748.11 -747465 -881503 -1.9217e+06 -50297.8 -347760 23316.7 0
1314.22 887.657 1746.04 -781487 -808255 -1.66362e+06 -60397 -271906 24916.7 0
1300.88 887.101 1748.83 -241817 -330312 -424511 -46678.7 -10883.5 7217.11 0
1303.46 884.498 1747.7 -479601 -716560 -1.44538e+06 -10935.1 89184.5 -12309 0
1300.66 885.335 1749.07 -13983.3 -30817.7 7719.77 -43015.2 6494.37 -24220.2 0
1303.36 884.04 1747.53 -404097 -651410 -1.22101e+06 -6644.11 67002.1 -10094.1 0
1301.37 883.653 1747.6 -281966 -451112 -565641 -2745.8 -86945.3 26513.4 0
1303.31 887.888 1748.65 -378942 -560216 -975522 -12498.6 182164 1537.9 0
1301.84 886.53 1746.51 -205042 -409391 -431322 16104.6 -109185 65968.4 0
1301.93 883.199 1747.81 -309623 -483536 -954165 -7907.9 15729.9 -19047.3 0
1301.81 887.394 1747.88 -277474 -462598 -650922 -16360 23345.3 -14662.2 0
1302.81 885.929 1747.53 -141664 -356423 -463300 -7762.88 1867.67 18497 0
1301.47 882.759 1748.65 -193624 -344854 -390319 -171.954 -60403.1 10874.9 0
1301.91 882.533 1748.13 -270689 -472820 -794482 13925.6 23282.5 11614.3 0
1301.79 887.513 1747.79 -218805 -436675 -568148 -19972.9 12638.1 -11771.6 0
1301.73 887.811 1748.44 -427488 -472903 -762213 1912.09 135728 -5654.39 0
1301.74 882.441 1746.62 -207002 -410597 -581459 -12167.6 -111064 20008.8 0
1301.52 885.645 1746.69 -623948 -879063 -968299 143642 -290950 142593 0
1301.74 887.948 1748.21 -258752 -337643 -509509 -5818.8 35173.5 -13040.4 0
1301.74 885.704 1748.44 -192071 -350661 -414722 -1470.43 -20394.8 -14864.2 0
1300.96 887.762 1748.71 -65340.9 -44819.6 -45292.7 -55056.2 30131.8 -31955.6 0
1300.2 882.499 1749.42 -452540 -477033 -494155 49512.4 119748 19737.5 0
1301.42 886.774 1745.63 -326531 -377668 -445880 26244.5 -113067 34254.7 0
1300.95 882.432 1748.79 -157451 -259812 -286214 -21163.4 -41136.9 13596.5 0
1301.59 884.563 1747.37 -210322 -350147 -543759 2549.02 -52798.3 -20555.7 0
1301.59 887.631 1747.18 -258093 -397502 -522371 2559.63 -63940.1 59238.6 0
1303.94 883.31 1747.92 -550699 -762825 -1.70655e+06 -2279.55 50189.3 -1277.53 0
1301.48 887.525 1746.16 -462945 -606811 -620225 96049.5 -187520 111228 0
1305.32 882.419 1746.14 -986772 -955648 -1.95102e+06 -6425.9 -372272 4427.21 0
1301.83 887.862 1748.27 -262852 -384793 -535488 -2835.95 37359.2 -2646.28 0
1304.44 883.069 1749.27 -465997 -718580 -1.42797e+06 -30675.1 78046.3 -6281.8 0
1301.9 882.395 1748.34 -345080 -501920 -883746 13898.8 91481 -19741.3 0
1301.65 884.05 1745.95 -265613 -395996 -649310 17378.1 -194367 21562.8 0
1301.79 882.725 1745.87 -159124 -263392 -542806 25725.4 -108241 29611.5 0
1302.25 887.499 1748.25 -353374 -464984 -771601 -4383.48 118087 4870.76 0
1300.98 882.203 1748.84 -438207 -495081 -872622 78006.3 113434 213.291 0
1302.24 882.917 1747.34 -328208 -511515 -996379 -4467.23 -44867.5 6844.91 0
1312.46 885.77 1749.02 -694390 -770473 -1.62804e+06 -67289.4 -304668 20190.7 0
1301.04 884.915 1748.54 -85224 -169425 -202648 -72635.8 -18031.6 11753.9 0
1303.51 887.83 1747.54 -455515 -723444 -1.39965e+06 2100.56 74773.9 34119.5 0
1301.78 886.736 1745.54 -262856 -388999 -485372 9990.73 -131292 8078.97 0
1301.09 885.253 1749.38 -342086 -414912 -522840 28332.6 54282.4 -9407.39 0
1302.51 886.644 1747.97 -434481 -634286 -1.22678e+06 5043.71 143082 33394.8 0
1301.41 887.044 1746.53 -124728 -230147 -222165 -25755.4 -60661.3 43276.7 0
1302.46 886.857 1748.56 -341889 -516636 -867882 -10294.8 118754 16071.1 0
1301.63 882.417 1747.33 -161847 -355839 -433382 -20868.1 -74407.5 9078.48 0
1303.01 882.662 1749.26 -348327 -568075 -998945 7285.9 130979 -20819.5 0
1300.94 887.105 1748.75 -128079 -174868 -212483 -79856.2 41215.3 -72309.8 0
1302.45 885.985 1749.43 -468878 -562937 -916125 6416.01 173435 -12840.7 0
1304.5 882.65 1749.19 -398059 -643189 -1.21897e+06 -36828.6 59202.1 9774.45 0
1301.7 882.022 1746.15 -229827 -470802 -638150 18207.7 -155796 42608.1 0
1301.02 884.53 1749.17 -272310 -363407 -447784 46778.7 7021.13 10628.5 0
1300.15 886.505 1749.44 -288779 -255650 -331984 25517.4 110263 -54423.3 0
1301.46 883.683 1745.72 45421.9 -72740.4 -71118.3 -34240.4 -30462.6 30006.8 0
1301.01 882.634 1748.61 -111956 -233808 -303829 -37879.3 9912.84 -50215.8 0
1301.4 884.873 1747.43 -100740 -217403 -270908 -64379 -19596.3 48484.7 0
1308.29 883.638 1747.75 -774734 -826190 -1.72199e+06 -53492.3 -332847 16516.4 0
1300.97 882.658 1748.52 -367170 -591543 -869200 36662.9 -6750.86 51168.4 0
1300.38 885.327 1749.2 -501087 -471523 -692821 81160.6 201043 23383 0
1300.59 885.178 1749.02 -212181 -318951 -401999 -5168.06 21503.5 21186.2 0
1303.08 883.178 1745.91 -824015 -972008 -1.86847e+06 4987.07 -460601 90386.1 0
1303.52 884.261 1745.66 -1.03593e+06 -939479 -2.17905e+06 -10480.4 -605658 1836.8 0
1315.46 887.951 1746.26 -760821 -797136 -1.66161e+06 -65284.9 -274895 31059.1 0
1302.5 883.167 1748.11 -339065 -548636 -1.00599e+06 -754.104 83916.8 -13173.4 0
1301.68 884.502 1747.28 -102965 -213140 -314409 -40427.3 -43635.4 27087.8 0
1300.71 885.691 1749.14 -246959 -361120 -493347 5356.18 -42654.8 54112.8 0
1301.81 887.622 1746.17 -163640 -236595 -326588 -19826.5 -84836.6 39425 0
1301.5 885.484 1745.9 -339807 -444031 -573153 35386.8 -173386 37246.1 0
1300.96 884.454 1749.26 -220078 -335952 -381919 35812.9 -19504.3 1645.57 0
1301.92 883.237 1747.31 -172555 -365979 -418052 2898.18 -78217.8 15476.2 0
1301.01 887.93 1748.58 -240793 -334147 -403052 -76303.1 -11580.6 3295.13 0
1301.39 883.354 1746.45 -30827.6 -144815 -177381 -60887.6 -45750.1 56052.3 0
