x y z sxx syy szz sxy sxz syz pp
1304.54 887.794 1747.4 -705018 -981194 -1.2814e+06 -84485 -147013 91071 243878
1301.51 885.755 1746.72 -325316 -733210 -779329 -6659.28 -69099.3 97765.6 0
1302.67 886.457 1745.88 -826224 -1.07364e+06 -1.40964e+06 -60702.2 -325045 41784.6 249787
1301.86 883.448 1748.56 -844632 -830268 -696539 -81512.4 129894 69146.5 111377
1301.95 883.47 1745.78 -237602 -549198 -558733 -114727 -135915 39661.2 62890.9
1301.49 886.29 1746.48 -231407 -576425 -645428 -28369.7 -96368.6 11593.4 0
1301.43 885.76 1746.75 -97878.9 -538432 -453225 -60873 5986.62 51022.8 0
1302.94 885.398 1747.74 -674401 -948966 -1.11684e+06 -60665.9 54903.8 73122 233773
1303.75 883.412 1745.7 -876592 -1.04818e+06 -1.33263e+06 -99198.7 -431874 53396.8 259708
1301.02 887.858 1748.41 -1.35524e+06 -1.09343e+06 -819950 -27849.3 211600 49642.7 0
1300.27 884.444 1749.18 -843893 -598527 -474841 -26162.3 -119992 -9883.51 0
1301.32 882.552 1748.6 -564091 -479106 -123266 -68670.7 3646.46 13088.4 0
1300.71 885.334 1748.98 -1.40126e+06 -940815 -542383 -19603.8 -99250.2 15308.1 0
1301.42 886.342 1746.45 -265712 -624449 -656018 10696.9 -137398 39605.4 0
1301.44 884.894 1745.84 -436180 -667535 -754504 -50808.5 -296039 56825.4 0
1300.59 885.685 1749.12 -1.12778e+06 -736570 -561392 -41052.5 -155590 16408.3 0
1302.71 883.423 1746.5 -435170 -801794 -1.04244e+06 -37909 -110045 56453.1 246278
1302.13 882.943 1747.26 -283437 -596511 -647138 -73717.2 34127 23264.9 236039
1300.58 885.686 1749.02 -1.00367e+06 -722848 -496511 -40930.5 -60102 31073.3 0
1301.18 885.373 1749.34 -914244 -667106 -366075 -25089.7 -159001 11073 0
1303.4 887.88 1748.87 -733844 -896915 -1.05559e+06 -106555 24277.6 90953.6 223201
1300.38 885.392 1749.14 -1.07283e+06 -702166 -568690 -21595.6 -130831 21407.8 0
1300.7 883.215 1749.3 -1.28305e+06 -831151 -530419 5601.25 -174030 52555.1 0
1304.99 885.271 1748.01 -960919 -1.228e+06 -1.67541e+06 -119048 -169633 63100 242199
1306.56 887.297 1748.32 -981241 -1.17186e+06 -1.63057e+06 -118580 -292129 67392.7 246060
1301.05 882.72 1748.47 -650512 -518284 -214765 -56800.9 107690 -23154.4 0
1301.95 883.33 1748.65 -884394 -829336 -731844 -70107.7 128216 54016.1 166121
1300.66 886.044 1748.91 -1.1865e+06 -753673 -547800 -45943.9 -56471.9 24549.9 0
1301.38 885.816 1746.68 -64028.1 -466737 -365679 -50410.9 36234.9 42329.3 0
1301.61 885.709 1748.44 -776793 -624477 -233179 -52569.1 84859.3 77688 0
