x y z dx dy dz
1299.13 903.243 1745.6 -2.23363e-08 2.78824e-08 -2.41065e-08
1299.05 903.694 1745.62 -1.42676e-08 2.82098e-08 -2.0586e-08
1298.96 904.144 1745.64 -2.13546e-08 2.53704e-08 -2.26026e-08
1298.88 904.595 1745.65 -1.90146e-08 2.50363e-08 -2.12194e-08
1298.79 905.045 1745.67 -1.55178e-08 2.32433e-08 -2.07983e-08
1298.7 905.496 1745.69 -1.5236e-08 2.15032e-08 -2.0856e-08
1298.61 905.946 1745.7 -1.15064e-08 1.95846e-08 -1.86635e-08
1298.51 906.396 1745.72 -1.28979e-08 1.95317e-08 -1.79909e-08
1298.42 906.847 1745.74 -1.17524e-08 1.6834e-08 -1.63374e-08
1298.32 907.297 1745.76 -1.05431e-08 1.47219e-08 -1.45668e-08
1298.22 907.748 1745.77 -1.0413e-08 1.40792e-08 -1.29898e-08
1298.12 908.198 1745.79 -8.2192e-09 1.21125e-08 -1.08984e-08
1298.01 908.649 1745.81 -7.21446e-09 1.10777e-08 -9.26623e-09
1297.91 909.099 1745.82 -5.98954e-09 9.07307e-09 -6.98576e-09
1297.8 909.55 1745.84 -4.73374e-09 7.59214e-09 -5.9197e-09
1299.03 905.045 1745.46 -1.40973e-08 2.04441e-08 -2.07073e-08
1298.94 905.495 1745.48 -1.34541e-08 1.93177e-08 -2.01994e-08
1298.85 905.946 1745.5 -1.15406e-08 1.80327e-08 -1.88098e-08
1298.75 906.396 1745.51 -1.19636e-08 1.7015e-08 -1.76918e-08
1298.66 906.847 1745.53 -1.05312e-08 1.57922e-08 -1.61353e-08
1298.56 907.297 1745.55 -9.83325e-09 1.43652e-08 -1.45146e-08
1298.46 907.748 1745.57 -9.22709e-09 1.32111e-08 -1.28576e-08
1298.36 908.198 1745.58 -7.64437e-09 1.12961e-08 -1.10827e-08
1298.25 908.649 1745.6 -6.90194e-09 9.70599e-09 -9.35888e-09
1298.14 909.099 1745.62 -5.56983e-09 7.82597e-09 -7.50864e-09
1298.04 909.55 1745.63 -3.91089e-09 5.10324e-09 -6.19457e-09
1298.81 907.297 1745.33 -8.30206e-09 1.16931e-08 -1.40199e-08
1298.71 907.748 1745.35 -7.53426e-09 1.03947e-08 -1.23514e-08
1298.61 908.198 1745.36 -6.41227e-09 8.86487e-09 -1.07343e-08
1298.5 908.649 1745.38 -5.45218e-09 7.23579e-09 -8.93801e-09
1298.39 909.099 1745.4 -4.13273e-09 5.31676e-09 -7.12865e-09
1298.29 909.55 1745.41 -2.46302e-09 3.01872e-09 -5.2516e-09
1298.66 909.099 1745.16 -2.97282e-09 3.69475e-09 -6.45545e-09
1298.55 909.55 1745.18 -1.55741e-09 1.94555e-09 -4.20588e-09
1299.13 904.144 1745.64 -2.37967e-08 3.12941e-08 -2.1084e-08
1299.05 904.595 1745.66 -1.72463e-08 2.95819e-08 -2.04745e-08
1298.96 905.045 1745.67 -1.39268e-08 2.71729e-08 -2.05322e-08
1298.87 905.496 1745.69 -1.58581e-08 2.53162e-08 -2.0412e-08
1298.78 905.946 1745.71 -1.12261e-08 2.33135e-08 -1.87438e-08
