sector_deg yband sum_fn_N n_contacts
0 1 -4631.92 584
0 2 46684.8 922
0 3 331662 978
0 4 199139 864
0 5 -194471 528
15 1 -11989.1 543
15 2 13005.3 889
15 3 115828 992
15 4 29962 908
15 5 199753 591
30 1 -16555.9 513
30 2 -17980.8 834
30 3 34437.8 951
30 4 -5392.93 906
30 5 15974.3 682
45 1 -19068.4 491
45 2 -30293.8 780
45 3 8145.88 956
45 4 -25374.8 890
45 5 10701.8 733
60 1 -20796 474
60 2 -31204.1 697
60 3 99484.5 845
60 4 -35333.4 862
60 5 -11301.5 788
75 1 -21284.4 443
75 2 -25819.6 577
75 3 -105192 739
75 4 -32136.2 783
75 5 -26250.7 797
90 1 -18450.8 458
90 2 -17227.1 484
90 3 30170.6 610
90 4 -14388.5 714
90 5 -32406.6 781
105 1 -19614.2 462
105 2 -11337.8 383
105 3 28676 451
105 4 -8734.86 629
105 5 -33523.7 775
120 1 -18182 452
120 2 -7450.26 341
120 3 19718.8 326
120 4 -159018 522
120 5 -24427.7 746
135 1 -16490.4 494
135 2 -5090.12 281
135 3 -20710.5 220
135 4 193621 420
135 5 -13766.7 755
150 1 -13035.3 537
150 2 -3033.03 241
150 3 -133609 193
150 4 -22769.4 375
150 5 -700.927 717
165 1 -7731.73 561
165 2 -257.027 241
165 3 -31844.8 159
165 4 -474.979 298
165 5 1567.52 655
180 1 -243.57 604
180 2 551.86 252
180 3 214413 164
180 4 1484.35 292
180 5 1352.29 652
195 1 835.06 648
195 2 195.972 282
195 3 137406 172
195 4 2349.28 329
195 5 168215 7513
210 1 8718.12 1012
210 2 1775.29 401
210 3 -90927.6 235
210 4 3416.23 514
210 5 208717 9978
225 1 479343 13899
225 2 -6273.02 654
225 3 -113060 423
225 4 192735 7146
225 5 63645.9 2521
240 1 174633 6046
240 2 423813 11021
240 3 20169.7 2011
240 4 359157 10796
240 5 0 0
255 1 0 0
255 2 302786 9083
255 3 1.52739e+06 18249
255 4 143577 1872
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 104402 3427
285 2 0 0
285 3 0 0
285 4 0 0
285 5 9176.89 109
300 1 270102 11769
300 2 2569.48 34
300 3 0 0
300 4 0 0
300 5 139393 4032
315 1 85373.4 3817
315 2 7.74084e+06 17416
315 3 1.71459e+06 9947
315 4 408231 7811
315 5 363778 12846
330 1 952.18 726
330 2 601077 1063
330 3 622129 8526
330 4 531518 10391
330 5 21404.7 910
345 1 1256.22 603
345 2 41594.2 923
345 3 -329625 986
345 4 -229304 887
345 5 18647.8 535
