x y z type diam age
1301.01 886.935 1747.99 1 0.0360789 31298.1
1300.95 886.99 1747.98 1 0.0372916 31304.1
1301.04 886.965 1747.97 1 0.0360789 31316.1
1301.08 886.972 1747.96 1 0.0370144 31319.1
1300.97 886.839 1748.09 1 0.0387247 31326.1
1295.91 895.156 1748.38 1 0.037082 31348.1
1295.93 895.274 1748.77 1 0.0395009 31350.1
1301.04 886.897 1748.07 1 0.0404261 31397.1
1296.44 884.428 1747.52 1 0.0366436 31447.1
1301.12 887.626 1747.7 1 0.0390762 31471.1
1296.48 884.364 1747.49 1 0.0384817 31549.1
1301.1 887.679 1747.71 1 0.0365528 31644.1
1301.15 888.39 1747.75 1 0.0372664 31705.1
1301.13 888.376 1747.85 1 0.0364136 31710.1
1301.15 888.365 1747.88 1 0.0417263 31714.1
1301.14 888.416 1747.87 1 0.0410712 31721.1
1301.12 888.443 1747.8 1 0.0376215 31726.1
1296.6 884.09 1747.58 1 0.0377006 31740.1
1296.57 884.143 1747.54 1 0.0377006 31745.1
1296.63 884.081 1747.65 1 0.0404465 31746.1
1296.61 884.158 1747.53 1 0.0377006 31746.1
1296.65 884.168 1747.69 1 0.0387611 31767.1
1301.12 887.99 1747.19 1 0.0391403 31813.1
1296.43 883.366 1748.1 1 0.0376254 31825.1
1296.43 883.328 1748.1 1 0.0390076 31825.1
1296.43 884.39 1747.57 1 0.0376289 32019.1
1296.43 884.355 1747.59 1 0.0368116 32026.1
1296.45 884.474 1747.63 1 0.0421036 32034.1
1296.43 884.562 1747.59 1 0.0406271 32042.1
1301.15 888.351 1747.6 1 0.0408524 32043.1
1301.15 888.318 1747.68 1 0.0380578 32163.1
1301.16 888.316 1747.72 1 0.0366765 32173.1
1301.15 888.341 1747.56 1 0.0360763 32182.1
1301.15 888.362 1747.51 1 0.0360763 32233.1
1296.64 884.184 1747.53 1 0.0434124 32529.1
1295.87 894.915 1748.42 1 0.0381319 33236.1
1295.9 894.878 1748.76 1 0.0370621 33377.1
1295.93 894.835 1748.71 1 0.0422641 33380.1
1301.11 887.93 1747.57 1 0.0417345 33505.1
1300.96 888.071 1747.7 1 0.0405547 33518.1
1300.94 888.221 1747.6 1 0.0372405 33557.1
1300.95 888.335 1748.01 1 0.0400048 33590.1
