isec iband E
1 1 2.500000e+10
1 2 2.487602e+10
1 3 2.464242e+10
1 4 2.460202e+10
1 5 2.500000e+10
2 1 2.500000e+10
2 2 2.494070e+10
2 3 2.453320e+10
2 4 2.462015e+10
2 5 2.500000e+10
3 1 2.500000e+10
3 2 2.480720e+10
3 3 2.435092e+10
3 4 2.462872e+10
3 5 2.500000e+10
4 1 2.500000e+10
4 2 2.470092e+10
4 3 2.425788e+10
4 4 2.470988e+10
4 5 2.500000e+10
5 1 2.500000e+10
5 2 2.417842e+10
5 3 2.338402e+10
5 4 2.407155e+10
5 5 2.500000e+10
6 1 2.500000e+10
6 2 2.337350e+10
6 3 2.268552e+10
6 4 2.360085e+10
6 5 2.500000e+10
7 1 2.500000e+10
7 2 2.223198e+10
7 3 2.257185e+10
7 4 2.338730e+10
7 5 2.500000e+10
8 1 2.500000e+10
8 2 2.200245e+10
8 3 2.360610e+10
8 4 2.356605e+10
8 5 2.500000e+10
9 1 2.500000e+10
9 2 2.194842e+10
9 3 2.428320e+10
9 4 2.500000e+10
9 5 2.500000e+10
10 1 2.500000e+10
10 2 2.500000e+10
10 3 2.500000e+10
10 4 2.500000e+10
10 5 2.500000e+10
11 1 2.500000e+10
11 2 2.500000e+10
11 3 2.500000e+10
11 4 2.500000e+10
11 5 2.500000e+10
12 1 2.500000e+10
12 2 2.500000e+10
12 3 2.500000e+10
12 4 2.500000e+10
12 5 2.500000e+10
13 1 2.500000e+10
13 2 2.498430e+10
13 3 2.499080e+10
13 4 2.500000e+10
13 5 2.500000e+10
14 1 2.500000e+10
14 2 2.497660e+10
14 3 2.499248e+10
14 4 2.499898e+10
14 5 2.500000e+10
15 1 2.500000e+10
15 2 2.496740e+10
15 3 2.497735e+10
15 4 2.495028e+10
15 5 2.500000e+10
16 1 2.500000e+10
16 2 2.497518e+10
16 3 2.496500e+10
16 4 2.445605e+10
16 5 2.500000e+10
17 1 2.500000e+10
17 2 2.498180e+10
17 3 2.495840e+10
17 4 2.419145e+10
17 5 2.500000e+10
18 1 2.500000e+10
18 2 2.499100e+10
18 3 2.497350e+10
18 4 2.420102e+10
18 5 2.500000e+10
19 1 2.500000e+10
19 2 2.499370e+10
19 3 2.498715e+10
19 4 2.468248e+10
19 5 2.500000e+10
20 1 2.500000e+10
20 2 2.498328e+10
20 3 2.499512e+10
20 4 2.465442e+10
20 5 2.500000e+10
21 1 2.500000e+10
21 2 2.497028e+10
21 3 2.498518e+10
21 4 2.454612e+10
21 5 2.500000e+10
22 1 2.500000e+10
22 2 2.470780e+10
22 3 2.497315e+10
22 4 2.449965e+10
22 5 2.500000e+10
23 1 2.500000e+10
23 2 2.464092e+10
23 3 2.492198e+10
23 4 2.475672e+10
23 5 2.500000e+10
24 1 2.500000e+10
24 2 2.462920e+10
24 3 2.489848e+10
24 4 2.488298e+10
24 5 2.500000e+10
